"subject","study","condition","pretty_condition","session","exp_id","sona_id","pool","mode","attn_check","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","totaltime_m"
"NARNW","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","60f6132952a37df66a042ef4","prolific","asynch","TRUE","I tried my best on each question",3,4,4,"It was really difficult trying to figure out how to read the graph and I pretty much just had to guess on the 1st question, but once I figured it out, all of the questions were very easy. ",28,"USA","English","Primary School","Math or Computer Sciences","Male","","chrome",1536,722,"Windows 10","2022-08-26T03:52:30.608Z","success","summer22",1,10,20.4409
"4TVOM","SGC4C","11311331","TRI-rotate-90","suPROLIFIC","63095beae0e9908c6594269c","611063d6237395a47bc3c083","prolific","asynch","TRUE","I tried my best on each question",4,2,4,"",20,"United States","English","some college","Social Sciences (incl. CogSci)","Female","no","chrome",1440,726,"Mac OS","2022-08-27T02:31:11.610Z","success","summer22",2,1,15.3461833333333
"23D03","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","5f08fba1b722b7189ac46394","prolific","asynch","TRUE","I tried my best on most questions",3,2,1,"I noticed that some of the questions I couldn't answer because I wasn't able to click on certain letters. ",20,"USA","English","some college","Natural Sciences","Female","I do have ADHD. I don't know if if affected me though for this task.","chrome",1920,961,"Windows 10","2022-08-26T04:11:16.094Z","success","summer22",3,0,13.0194666666667
"0PAWH","SGC4C","111112","ORTH-rotate-45","suPROLIFIC","62d846e008ffdac5ea24b94e","5f107aa051372032695c8e2f","prolific","asynch","TRUE","I tried my best on each question",3,4,5,"",21,"United States","English","Secondary School/Highschool","Math or Computer Sciences","Male","","chrome",2558,1369,"Windows 10","2022-07-20T19:20:21.889Z","success","summer22",4,11,11.6479833333333
"SR3BY","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","61577cfb758541d9e85d5d4e","prolific","asynch","FALSE","I tried my best on each question",5,1,2,"",27,"United States","English","Primary School","Social Sciences (incl. CogSci)","Female","","chrome",1920,1081,"Chrome OS","2022-08-26T03:58:05.979Z","success","summer22",1,2,6.9368
"60FOH","SGC4C","11311221","TRI-rotate-45","suPROLIFIC","6308eb43c8b615504ceb88b6","629e4d79be0e1ecd4ce30ab4","prolific","asynch","FALSE","I tried my best on each question",5,2,3,"It was really hard to comprehend the graph, I tried my best but I'm not good at graphs.",24,"USA","English","Secondary School/Highschool","Fine Arts","Female","No","chrome",1920,969,"Windows 10","2022-08-26T19:21:04.870Z","success","summer22",1,2,8.0982
"XL3JA","SGC4C","11311331","TRI-rotate-90","suPROLIFIC","63095beae0e9908c6594269c","61206e8d3e6a6ccdd064637c","prolific","asynch","FALSE","I tried my best on each question",5,3,4,"As I answered more questions, I also started to learn how to read the graph as intended.  Without instructions and no familiarity with this kind of graph, it was a learn as you go experience.",61,"United States","English","some college","Fine Arts","Male","none","chrome",1280,720,"Windows 10","2022-08-27T02:27:53.421Z","success","summer22",1,4,17.4399333333333
"QYK0J","SGC4C","11311221","TRI-rotate-45","suPROLIFIC","6308eb43c8b615504ceb88b6","611a5d2b082c4245f38e272a","prolific","asynch","TRUE","I tried my best on each question",3,4,4,"",24,"United States","English","Graduate Degree","Engineering","Female","","chrome",1280,720,"Windows 10","2022-08-26T19:17:25.975Z","success","summer22",1,11,5.33031666666667
"110ML","SGC4C","11311331","TRI-rotate-90","suPROLIFIC","63095beae0e9908c6594269c","60259f94a70f04165ff2a5b9","prolific","asynch","TRUE","I tried my best on most questions",3,2,3,"",22,"United States","English","Secondary School/Highschool","Humanities","Female","","chrome",1366,768,"Windows 10","2022-08-27T00:39:30.517Z","success","summer22",1,0,13.2607333333333
"L5L85","SGC4C","111112","ORTH-rotate-45","suPROLIFIC","62d846e008ffdac5ea24b94e","62cf3efe6b75b1e4ee3c372f","prolific","asynch","TRUE","I tried my best on each question",4,5,3,"There was slight confusion in selecting the shifts",31,"USA","English","Bachelors Degree","Humanities","Male","None at all","chrome",1536,746,"Windows 10","2022-07-20T19:37:53.395Z","success","summer22",1,0,13.19215
"91UX7","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","5ee2e7bf21501a83d55642cd","prolific","asynch","TRUE","I tried my best on each question",5,2,3,"",55,"USA","English","Associates Degree","Fine Arts","Female","no","chrome",1600,781,"Windows 10","2022-08-26T04:12:27.252Z","success","summer22",1,0,11.51825
"WQNHB","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","611d7da2640a2e31818c3e18","prolific","asynch","TRUE","I tried my best on each question",4,2,3,"I don't think I did a very good job, but I swear I tried and paid close attention.",26,"USA","English","some college","Humanities","Female","I'm a little tipsy eek","chrome",1280,720,"Windows 10","2022-08-26T04:11:43.103Z","success","summer22",1,0,11.5844833333333
"NY17O","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","62eee9fbde439d5853ce2efb","prolific","asynch","TRUE","I tried my best on each question",5,2,1,"",21,"United States","English","Secondary School/Highschool","Biomedical & Health Sciences","Male","","chrome",1373,736,"Mac OS","2022-08-26T03:53:34.504Z","success","summer22",1,1,3.56646666666667
"LTGRR","SGC4C","11311331","TRI-rotate-90","suPROLIFIC","63095beae0e9908c6594269c","61118bf1386d4ae21c217df3","prolific","asynch","TRUE","I tried my best on each question",5,3,5,"",19,"usa","English","some college","Social Sciences (incl. CogSci)","Other-Not Listed","","chrome",1440,721,"Mac OS","2022-08-27T00:51:32.023Z","success","summer22",3,6,17.84565
"WA1P6","SGC4C","11311331","TRI-rotate-90","suPROLIFIC","63095beae0e9908c6594269c","62e2428927698b2ff7b69cfc","prolific","asynch","FALSE","I tried my best on each question",4,5,5,"",29,"USA","English","Bachelors Degree","Math or Computer Sciences","Male","no","chrome",1600,762,"Windows 10","2022-08-27T04:20:56.638Z","success","summer22",4,7,17.2466833333333
"QOHN7","SGC4C","113112","TRI-rotate-45","suPROLIFIC","62d78f270296bdf7e6cf9515","5e3a7e26ca5cf328020dc4b6","prolific","asynch","TRUE","I tried my best on most questions",4,2,1,"",32,"United States","English","Bachelors Degree","Social Sciences (incl. CogSci)","Female","","chrome",1334,1000,"Mac OS","2022-07-20T06:07:33.858Z","success","summer22",1,8,12.3229666666667
"2FBFN","SGC4C","11311221","TRI-rotate-45","suPROLIFIC","6308eb43c8b615504ceb88b6","630838969a5553c078516682","prolific","asynch","TRUE","I tried my best on each question",3,4,3,"",34,"United states","English","Bachelors Degree","Fine Arts","Male","No i don't have any ","chrome",1440,821,"Mac OS","2022-08-26T19:28:29.604Z","success","summer22",1,6,10.0559166666667
"L4D30","SGC4C","11311221","TRI-rotate-45","suPROLIFIC","6308eb43c8b615504ceb88b6","62dabc9d3a584120de29162e","prolific","asynch","TRUE","I tried my best on most questions",3,5,3,"",27,"United States ","English","Bachelors Degree","Math or Computer Sciences","Male","","chrome",1366,768,"Windows 10","2022-08-26T16:27:18.282Z","success","summer22",2,0,18.8152
"NCPSF","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","6277cd4fea5f69868617658b","prolific","asynch","FALSE","I tried my best on each question",5,1,2,"I didn't understand the graph",28,"united states","English","Bachelors Degree","Fine Arts","Female","no","chrome",1536,804,"Windows 10","2022-08-26T04:05:07.599Z","success","summer22",1,0,7.72958333333333
"SCB5T","SGC4C","111112","ORTH-rotate-45","suPROLIFIC","62d846e008ffdac5ea24b94e","6296267b2ae249a205d319d3","prolific","asynch","TRUE","I tried my best on each question",4,4,3,"",20,"United States","English","Secondary School/Highschool","Math or Computer Sciences","Male","","chrome",1366,695,"Windows 10","2022-07-20T19:38:52.794Z","success","summer22",2,1,16.40225
"0V2GP","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","63062501b80b139870ea2af4","prolific","asynch","TRUE","I tried my best on most questions",4,3,1,"I deal in graphs that are a bit more user friendly",24,"USA","English","some college","Biomedical & Health Sciences","Male","no","chrome",1280,689,"Windows 10","2022-08-26T03:35:40.458Z","success","summer22",1,0,12.9837333333333
"CGLFH","SGC4C","11311221","TRI-rotate-45","suPROLIFIC","6308eb43c8b615504ceb88b6","607335a810ca68636e4172b7","prolific","asynch","TRUE","I tried my best on each question",3,3,3,"",42,"United States","English","Bachelors Degree","Humanities","Female","","chrome",1440,789,"Mac OS","2022-08-26T19:21:11.491Z","success","summer22",1,6,9.4944
"HWR64","SGC4C","11311331","TRI-rotate-90","suPROLIFIC","63095beae0e9908c6594269c","627432e762e042e1335bcf19","prolific","asynch","TRUE","I tried my best on each question",2,4,4,"",45,"United States","English","some college","Math or Computer Sciences","Female","no","chrome",1536,849,"Windows 10","2022-08-27T02:28:24.136Z","success","summer22",1,3,18.64745
"TNR4D","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","5f3f5ad05ec7d1257993b196","prolific","asynch","FALSE","I tried my best on each question",4,3,3,"The last 3 boxes would not allow me to click in them.  ",57,"United States","English","Associates Degree","Biomedical & Health Sciences","Female","No","chrome",1842,1009,"Windows 10","2022-08-26T03:41:27.768Z","success","summer22",1,4,15.8668666666667
"27YEC","SGC4C","11311331","TRI-rotate-90","suPROLIFIC","63095beae0e9908c6594269c","611996125048c49e512c73db","prolific","asynch","TRUE","I tried my best on most questions",4,1,4,"",27,"US","English","Graduate Degree","Fine Arts","Female","","chrome",1440,789,"Mac OS","2022-08-27T04:02:45.628Z","success","summer22",1,0,13.21445
"5ECY7","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","630570a3781d969522ceedae","prolific","asynch","TRUE","I tried my best on each question",4,4,4,"",34,"United States","English","Bachelors Degree","Social Sciences (incl. CogSci)","Male","No","chrome",1440,714,"Mac OS","2022-08-26T01:11:12.640Z","success","summer22",2,0,26.32265
"V0BZG","SGC4C","11311221","TRI-rotate-45","suPROLIFIC","6308eb43c8b615504ceb88b6","5bbe6691ba8d7d0001951ef9","prolific","asynch","TRUE","I tried my best on most questions",4,3,2,"",23,"united states","English","Bachelors Degree","Math or Computer Sciences","Female","","chrome",1368,761,"Windows 10","2022-08-26T19:20:20.344Z","success","summer22",2,9,15.5603666666667
