"subject","study","condition","pretty_condition","session","exp_id","sona_id","pool","mode","attn_check","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","totaltime_m","reason"
"R0AON","SGC4C","113112","TRI-rotate-45","suPROLIFIC","62d78f270296bdf7e6cf9515","5d166d9e3727c40001915aa3","prolific","asynch","TRUE","I tried my best on each question",3,3,4,"The way the graphs were tilted made them hard to read.",30,"USA","English","Graduate Degree","Math or Computer Sciences","Female","no","chrome",1280,689,"Mac OS","2022-07-20T05:46:09.745Z","success","summer22",17.5,9,15.4824,"exceeded-violations"
"110Z2","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","5c4fa169ee5ae100010a2057","prolific","asynch","TRUE","I tried my best on each question",4,3,3,"",41,"United States","English","Secondary School/Highschool","Engineering","Male","","chrome",1536,754,"Windows 10","2022-08-26T04:12:27.896Z","success","summer22",6.5,1,11.7077666666667,"exceeded-violations"
"W608J","SGC4C","11111221","ORTH-rotate-45","suPROLIFIC","630788d1dba2be77aacb6701","5df4892578322533c70aecdf","prolific","asynch","TRUE","I tried my best on each question",4,3,3,"",24,"United States","English","Bachelors Degree","Math or Computer Sciences","Male","","chrome",1920,969,"Windows 10","2022-08-25T22:21:38.420Z","success","summer22",10.5,8,10.9762666666667,"exceeded-violations"
"EAZQN","SGC4C","11111221","ORTH-rotate-45","suPROLIFIC","630788d1dba2be77aacb6701","62e49d54d098755e2b955ad6","prolific","asynch","TRUE","I started out trying hard, but gave up at some point",5,1,1,"A different graph, that was so confusing. Those poor schedulers. ",28,"USA ","English","Bachelors Degree","Social Sciences (incl. CogSci)","Male","N/A ","chrome",1920,937,"Windows 10","2022-08-25T22:36:22.987Z","success","summer22",1,5,10.94985,"selfrated-effort"
"NTBF9","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","6307fab320d6d9da2ceb12c5","prolific","asynch","FALSE","I started out trying hard, but gave up at some point",3,2,1,"",38,"usa","English","Bachelors Degree","Humanities","Male","","chrome",1920,937,"Windows 10","2022-08-26T01:05:40.066Z","success","summer22",1,0,3.56018333333333,"selfrated-effort"
"KKZTW","SGC4C","11111331","ORTH-rotate-90","suPROLIFIC","630812551c99d3161df93f85","56fab287997828000a8078b9","prolific","asynch","FALSE","I started out trying hard, but gave up at some point",5,1,3,"I evidently don't do graphs well, I am sorry if I messed up your test.",59,"United States","English","Associates Degree","Humanities","Female","no","chrome",1600,722,"Windows 10","2022-08-26T03:57:19.009Z","success","summer22",1,1,13.4238,"selfrated-effort"
"W5JPY","SGC4C","11111221","ORTH-rotate-45","suPROLIFIC","630788d1dba2be77aacb6701","5ee9201596dd421333942d06","prolific","asynch","TRUE","I started out trying hard, but gave up at some point",5,3,1,"",30,"USA","English","Graduate Degree","Social Sciences (incl. CogSci)","Female","","chrome",1600,757,"Windows 10","2022-08-25T15:18:23.262Z","success","summer22",1,5,11.2899166666667,"selfrated-effort"
"FP54F","SGC4C","11111221","ORTH-rotate-45","suPROLIFIC","630788d1dba2be77aacb6701","5b26da1934ffd00001b45d8d","prolific","asynch","FALSE","I tried my best on each question",5,3,5,"Nothing more",38,"EEUU","English","Bachelors Degree","Engineering","Male","I do not have any handicap or disability ","chrome",1366,768,"Windows 10","2022-08-25T17:02:34.452Z","success","summer22",1,1,27.73235,"failed-attnchk"
"G87WU","SGC4C","11111221","ORTH-rotate-45","suPROLIFIC","","","prolific","asynch","FALSE","I tried my best on each question",4,2,3,"I wish the chart could be moved around from side to side instead of just on a weird slant ",35,"USA","English","Bachelors Degree","Humanities","Male","Cerebral palsy, also I had my browser in dark mode for easier viewing ","chrome",1280,841,"Windows 10","2022-08-25T06:41:09.452Z","success","summer22",3,8,18.5473333333333,"failed-attnchk"
"DT9GT","SGC4C","11111221","ORTH-rotate-45","suPROLIFIC","630788d1dba2be77aacb6701","5e28e8730fd86a0a19e084cd","prolific","asynch","FALSE","I tried my best on each question",4,2,2,"",38,"United States","English","some college","Fine Arts","Male","No","chrome",1511,741,"Windows 7","2022-08-25T20:16:19.523Z","success","summer22",1,3,8.8445,"failed-attnchk"
"B9O8U","SGC4C","11111221","ORTH-rotate-45","suPROLIFIC","630788d1dba2be77aacb6701","62aa4399fa1aadf5ab91fff8","prolific","asynch","FALSE","I tried my best on each question",4,5,4,"N/A",50,"United States","English","Graduate Degree","Humanities","Male","None","chrome",1600,757,"Windows 10","2022-08-25T15:46:10.914Z","success","summer22",2,8,27.9853166666667,"failed-attnchk"
