"subject","mode","pretty_condition","question","score"
"PN0SV","asynch","arrow",7,-7
"PN0SV","asynch","arrow",8,-8
"PN0SV","asynch","arrow",9,-9
"PN0SV","asynch","arrow",10,-10
"PN0SV","asynch","arrow",11,-11
"PN0SV","asynch","arrow",12,-12
"PN0SV","asynch","arrow",13,-13
"3LEDW","asynch","cross",1,-1
"3LEDW","asynch","cross",2,-2
"3LEDW","asynch","cross",3,-2.5
"3LEDW","asynch","cross",4,-3
"3LEDW","asynch","cross",5,-2
"3LEDW","asynch","cross",6,-3
"3LEDW","asynch","cross",7,-2
"3LEDW","asynch","cross",8,-2.5
"3LEDW","asynch","cross",9,-3.5
"3LEDW","asynch","cross",10,-4.5
"3LEDW","asynch","cross",11,-5
"3LEDW","asynch","cross",12,-4
"3LEDW","asynch","cross",13,-3
"JALHA","asynch","cross",1,-1
"JALHA","asynch","cross",2,0
"JALHA","asynch","cross",3,1
"JALHA","asynch","cross",4,2
"JALHA","asynch","cross",5,3
"JALHA","asynch","cross",6,4
"JALHA","asynch","cross",7,5
"JALHA","asynch","cross",8,6
"JALHA","asynch","cross",9,7
"JALHA","asynch","cross",10,8
"JALHA","asynch","cross",11,9
"JALHA","asynch","cross",12,10
"JALHA","asynch","cross",13,11
"AHV3D","asynch","arrow",1,-1
"AHV3D","asynch","arrow",2,-2
"AHV3D","asynch","arrow",3,-3
"AHV3D","asynch","arrow",4,-4
"AHV3D","asynch","arrow",5,-3
"AHV3D","asynch","arrow",6,-4
"AHV3D","asynch","arrow",7,-5
"AHV3D","asynch","arrow",8,-6
"AHV3D","asynch","arrow",9,-7
"AHV3D","asynch","arrow",10,-8
"AHV3D","asynch","arrow",11,-9
"AHV3D","asynch","arrow",12,-10
"AHV3D","asynch","arrow",13,-11
"ZR3GD","asynch","arrow",1,-1
"ZR3GD","asynch","arrow",2,-2
"ZR3GD","asynch","arrow",3,-2.5
"ZR3GD","asynch","arrow",4,-3
"ZR3GD","asynch","arrow",5,-2
"ZR3GD","asynch","arrow",6,-1
"ZR3GD","asynch","arrow",7,0
"ZR3GD","asynch","arrow",8,1
"ZR3GD","asynch","arrow",9,2
"ZR3GD","asynch","arrow",10,3
"ZR3GD","asynch","arrow",11,4
"ZR3GD","asynch","arrow",12,5
"ZR3GD","asynch","arrow",13,6
"88UNV","asynch","cross",1,-1
"88UNV","asynch","cross",2,-2
"88UNV","asynch","cross",3,-3
"88UNV","asynch","cross",4,-3.5
"88UNV","asynch","cross",5,-2.5
"88UNV","asynch","cross",6,-3.5
"88UNV","asynch","cross",7,-4
"88UNV","asynch","cross",8,-4.5
"88UNV","asynch","cross",9,-5.5
"88UNV","asynch","cross",10,-6.5
"88UNV","asynch","cross",11,-7.5
"88UNV","asynch","cross",12,-8
"88UNV","asynch","cross",13,-8.5
"NCUFD","asynch","arrow",1,-1
"NCUFD","asynch","arrow",2,-2
"NCUFD","asynch","arrow",3,-3
"NCUFD","asynch","arrow",4,-4
"NCUFD","asynch","arrow",5,-3.5
"NCUFD","asynch","arrow",6,-4.5
"NCUFD","asynch","arrow",7,-5.5
"NCUFD","asynch","arrow",8,-6.5
"NCUFD","asynch","arrow",9,-7.5
"NCUFD","asynch","arrow",10,-8.5
"NCUFD","asynch","arrow",11,-9.5
"NCUFD","asynch","arrow",12,-10.5
"NCUFD","asynch","arrow",13,-11.5
"QDD0S","asynch","cross",1,-1
"QDD0S","asynch","cross",2,-2
"QDD0S","asynch","cross",3,-3
"QDD0S","asynch","cross",4,-2
"QDD0S","asynch","cross",5,-1
"QDD0S","asynch","cross",6,0
"QDD0S","asynch","cross",7,1
"QDD0S","asynch","cross",8,2
"QDD0S","asynch","cross",9,3
"QDD0S","asynch","cross",10,4
"QDD0S","asynch","cross",11,5
"QDD0S","asynch","cross",12,6
"QDD0S","asynch","cross",13,7
"F0WGD","asynch","cross",1,1
"F0WGD","asynch","cross",2,2
"F0WGD","asynch","cross",3,3
"F0WGD","asynch","cross",4,4
"F0WGD","asynch","cross",5,5
"F0WGD","asynch","cross",6,6
"F0WGD","asynch","cross",7,7
"F0WGD","asynch","cross",8,8
"F0WGD","asynch","cross",9,9
"F0WGD","asynch","cross",10,10
"F0WGD","asynch","cross",11,11
"F0WGD","asynch","cross",12,12
"F0WGD","asynch","cross",13,13
"ZGUR4","asynch","cross",1,-1
"ZGUR4","asynch","cross",2,-2
"ZGUR4","asynch","cross",3,-3
"ZGUR4","asynch","cross",4,-4
"ZGUR4","asynch","cross",5,-5
"ZGUR4","asynch","cross",6,-6
"ZGUR4","asynch","cross",7,-7
