"subject","mode","pretty_condition","question","score"
"NQOP0","asynch","arrow",5,1
"NQOP0","asynch","arrow",6,1
"NQOP0","asynch","arrow",7,1
"NQOP0","asynch","arrow",8,1
"NQOP0","asynch","arrow",9,1
"NQOP0","asynch","arrow",10,1
"NQOP0","asynch","arrow",11,1
"NQOP0","asynch","arrow",12,1
"NQOP0","asynch","arrow",13,1
"OYBTD","asynch","arrow",1,1
"OYBTD","asynch","arrow",2,2
"OYBTD","asynch","arrow",3,3
"OYBTD","asynch","arrow",4,4
"OYBTD","asynch","arrow",5,5
"OYBTD","asynch","arrow",6,6
"OYBTD","asynch","arrow",7,7
"OYBTD","asynch","arrow",8,8
"OYBTD","asynch","arrow",9,9
"OYBTD","asynch","arrow",10,10
"OYBTD","asynch","arrow",11,11
"OYBTD","asynch","arrow",12,12
"OYBTD","asynch","arrow",13,13
"PN0SV","asynch","arrow",1,0
"PN0SV","asynch","arrow",2,0
"PN0SV","asynch","arrow",3,0
"PN0SV","asynch","arrow",4,0
"PN0SV","asynch","arrow",5,0
"PN0SV","asynch","arrow",6,0
"PN0SV","asynch","arrow",7,0
"PN0SV","asynch","arrow",8,0
"PN0SV","asynch","arrow",9,0
"PN0SV","asynch","arrow",10,0
"PN0SV","asynch","arrow",11,0
"PN0SV","asynch","arrow",12,0
"PN0SV","asynch","arrow",13,0
"3LEDW","asynch","cross",1,0
"3LEDW","asynch","cross",2,0
"3LEDW","asynch","cross",3,0
"3LEDW","asynch","cross",4,0
"3LEDW","asynch","cross",5,1
"3LEDW","asynch","cross",6,1
"3LEDW","asynch","cross",7,1
"3LEDW","asynch","cross",8,1
"3LEDW","asynch","cross",9,1
"3LEDW","asynch","cross",10,1
"3LEDW","asynch","cross",11,1
"3LEDW","asynch","cross",12,2
"3LEDW","asynch","cross",13,3
"JALHA","asynch","cross",1,0
"JALHA","asynch","cross",2,1
"JALHA","asynch","cross",3,2
"JALHA","asynch","cross",4,3
"JALHA","asynch","cross",5,4
"JALHA","asynch","cross",6,5
"JALHA","asynch","cross",7,6
"JALHA","asynch","cross",8,7
"JALHA","asynch","cross",9,8
"JALHA","asynch","cross",10,9
"JALHA","asynch","cross",11,10
"JALHA","asynch","cross",12,11
"JALHA","asynch","cross",13,12
"AHV3D","asynch","arrow",1,0
"AHV3D","asynch","arrow",2,0
"AHV3D","asynch","arrow",3,0
"AHV3D","asynch","arrow",4,0
"AHV3D","asynch","arrow",5,1
"AHV3D","asynch","arrow",6,1
"AHV3D","asynch","arrow",7,1
"AHV3D","asynch","arrow",8,1
"AHV3D","asynch","arrow",9,1
"AHV3D","asynch","arrow",10,1
"AHV3D","asynch","arrow",11,1
"AHV3D","asynch","arrow",12,1
"AHV3D","asynch","arrow",13,1
"ZR3GD","asynch","arrow",1,0
"ZR3GD","asynch","arrow",2,0
"ZR3GD","asynch","arrow",3,0
"ZR3GD","asynch","arrow",4,0
"ZR3GD","asynch","arrow",5,1
"ZR3GD","asynch","arrow",6,2
"ZR3GD","asynch","arrow",7,3
"ZR3GD","asynch","arrow",8,4
"ZR3GD","asynch","arrow",9,5
"ZR3GD","asynch","arrow",10,6
"ZR3GD","asynch","arrow",11,7
"ZR3GD","asynch","arrow",12,8
"ZR3GD","asynch","arrow",13,9
"88UNV","asynch","cross",1,0
"88UNV","asynch","cross",2,0
"88UNV","asynch","cross",3,0
"88UNV","asynch","cross",4,0
"88UNV","asynch","cross",5,1
"88UNV","asynch","cross",6,1
"88UNV","asynch","cross",7,1
"88UNV","asynch","cross",8,1
"88UNV","asynch","cross",9,1
"88UNV","asynch","cross",10,1
"88UNV","asynch","cross",11,1
"88UNV","asynch","cross",12,1
"88UNV","asynch","cross",13,1
"NCUFD","asynch","arrow",1,0
"NCUFD","asynch","arrow",2,0
"NCUFD","asynch","arrow",3,0
"NCUFD","asynch","arrow",4,0
"NCUFD","asynch","arrow",5,0
"NCUFD","asynch","arrow",6,0
"NCUFD","asynch","arrow",7,0
"NCUFD","asynch","arrow",8,0
"NCUFD","asynch","arrow",9,0
"NCUFD","asynch","arrow",10,0
"NCUFD","asynch","arrow",11,0
"NCUFD","asynch","arrow",12,0
"NCUFD","asynch","arrow",13,0
"QDD0S","asynch","cross",1,0
"QDD0S","asynch","cross",2,0
"QDD0S","asynch","cross",3,0
"QDD0S","asynch","cross",4,1
"QDD0S","asynch","cross",5,2
"QDD0S","asynch","cross",6,3
"QDD0S","asynch","cross",7,4
"QDD0S","asynch","cross",8,5
"QDD0S","asynch","cross",9,5
"QDD0S","asynch","cross",10,6
"QDD0S","asynch","cross",11,7
"QDD0S","asynch","cross",12,8
"QDD0S","asynch","cross",13,8
"F0WGD","asynch","cross",1,1
"F0WGD","asynch","cross",2,2
"F0WGD","asynch","cross",3,3
"F0WGD","asynch","cross",4,4
"F0WGD","asynch","cross",5,5
"F0WGD","asynch","cross",6,6
"F0WGD","asynch","cross",7,7
"F0WGD","asynch","cross",8,8
"F0WGD","asynch","cross",9,9
"F0WGD","asynch","cross",10,10
"F0WGD","asynch","cross",11,11
"F0WGD","asynch","cross",12,12
"F0WGD","asynch","cross",13,13
"ZGUR4","asynch","cross",1,0
"ZGUR4","asynch","cross",2,0
"ZGUR4","asynch","cross",3,0
"ZGUR4","asynch","cross",4,0
"ZGUR4","asynch","cross",5,0
"ZGUR4","asynch","cross",6,0
"ZGUR4","asynch","cross",7,0
"ZGUR4","asynch","cross",8,0
"ZGUR4","asynch","cross",9,0
"ZGUR4","asynch","cross",10,0
"ZGUR4","asynch","cross",11,0
"ZGUR4","asynch","cross",12,0
"ZGUR4","asynch","cross",13,0
"4MS2Q","asynch","arrow",1,1
"4MS2Q","asynch","arrow",2,2
"4MS2Q","asynch","arrow",3,3
"4MS2Q","asynch","arrow",4,4
"4MS2Q","asynch","arrow",5,5
"4MS2Q","asynch","arrow",6,6
"4MS2Q","asynch","arrow",7,7
"4MS2Q","asynch","arrow",8,8
"4MS2Q","asynch","arrow",9,9
"4MS2Q","asynch","arrow",10,10
"4MS2Q","asynch","arrow",11,11
"4MS2Q","asynch","arrow",12,12
"4MS2Q","asynch","arrow",13,13
"RGUYM","asynch","arrow",1,0
"RGUYM","asynch","arrow",2,0
"RGUYM","asynch","arrow",3,0
"RGUYM","asynch","arrow",4,0
"RGUYM","asynch","arrow",5,0
"RGUYM","asynch","arrow",6,0
"RGUYM","asynch","arrow",7,0
"RGUYM","asynch","arrow",8,0
"RGUYM","asynch","arrow",9,0
"RGUYM","asynch","arrow",10,0
"RGUYM","asynch","arrow",11,0
"RGUYM","asynch","arrow",12,0
"RGUYM","asynch","arrow",13,0
"OAKMT","asynch","arrow",1,0
"OAKMT","asynch","arrow",2,0
"OAKMT","asynch","arrow",3,0
"OAKMT","asynch","arrow",4,0
"OAKMT","asynch","arrow",5,1
"OAKMT","asynch","arrow",6,1
"OAKMT","asynch","arrow",7,1
"OAKMT","asynch","arrow",8,1
"OAKMT","asynch","arrow",9,1
"OAKMT","asynch","arrow",10,1
"OAKMT","asynch","arrow",11,1
"OAKMT","asynch","arrow",12,2
"OAKMT","asynch","arrow",13,2
"OR6SC","asynch","arrow",1,0
"OR6SC","asynch","arrow",2,0
"OR6SC","asynch","arrow",3,0
"OR6SC","asynch","arrow",4,0
"OR6SC","asynch","arrow",5,0
"OR6SC","asynch","arrow",6,0
"OR6SC","asynch","arrow",7,0
"OR6SC","asynch","arrow",8,0
"OR6SC","asynch","arrow",9,0
"OR6SC","asynch","arrow",10,0
"OR6SC","asynch","arrow",11,0
"OR6SC","asynch","arrow",12,0
"OR6SC","asynch","arrow",13,0
"G4QXT","asynch","arrow",1,0
"G4QXT","asynch","arrow",2,0
"G4QXT","asynch","arrow",3,0
"G4QXT","asynch","arrow",4,1
"G4QXT","asynch","arrow",5,1
"G4QXT","asynch","arrow",6,1
"G4QXT","asynch","arrow",7,1
"G4QXT","asynch","arrow",8,1
"G4QXT","asynch","arrow",9,1
"G4QXT","asynch","arrow",10,1
"G4QXT","asynch","arrow",11,1
"G4QXT","asynch","arrow",12,1
"G4QXT","asynch","arrow",13,1
"6MML6","asynch","arrow",1,1
"6MML6","asynch","arrow",2,2
"6MML6","asynch","arrow",3,3
"6MML6","asynch","arrow",4,4
"6MML6","asynch","arrow",5,5
"6MML6","asynch","arrow",6,6
"6MML6","asynch","arrow",7,7
"6MML6","asynch","arrow",8,8
"6MML6","asynch","arrow",9,9
"6MML6","asynch","arrow",10,10
"6MML6","asynch","arrow",11,11
"6MML6","asynch","arrow",12,12
"6MML6","asynch","arrow",13,13
"1NO19","asynch","arrow",1,0
"1NO19","asynch","arrow",2,1
"1NO19","asynch","arrow",3,2
"1NO19","asynch","arrow",4,3
"1NO19","asynch","arrow",5,4
"1NO19","asynch","arrow",6,5
"1NO19","asynch","arrow",7,6
"1NO19","asynch","arrow",8,7
"1NO19","asynch","arrow",9,8
"1NO19","asynch","arrow",10,9
"1NO19","asynch","arrow",11,10
"1NO19","asynch","arrow",12,11
"1NO19","asynch","arrow",13,12
"EMEDX","asynch","arrow",1,0
"EMEDX","asynch","arrow",2,0
"EMEDX","asynch","arrow",3,0
"EMEDX","asynch","arrow",4,0
"EMEDX","asynch","arrow",5,0
"EMEDX","asynch","arrow",6,0
"EMEDX","asynch","arrow",7,0
"EMEDX","asynch","arrow",8,0
"EMEDX","asynch","arrow",9,0
"EMEDX","asynch","arrow",10,0
"EMEDX","asynch","arrow",11,0
"EMEDX","asynch","arrow",12,0
"EMEDX","asynch","arrow",13,0
"FUE06","asynch","arrow",1,0
"FUE06","asynch","arrow",2,0
"FUE06","asynch","arrow",3,0
"FUE06","asynch","arrow",4,0
"FUE06","asynch","arrow",5,0
"FUE06","asynch","arrow",6,0
"FUE06","asynch","arrow",7,0
"FUE06","asynch","arrow",8,0
"FUE06","asynch","arrow",9,0
"FUE06","asynch","arrow",10,0
"FUE06","asynch","arrow",11,0
"FUE06","asynch","arrow",12,0
"FUE06","asynch","arrow",13,0
"42N56","asynch","arrow",1,0
"42N56","asynch","arrow",2,0
"42N56","asynch","arrow",3,0
"42N56","asynch","arrow",4,0
"42N56","asynch","arrow",5,0
"42N56","asynch","arrow",6,0
"42N56","asynch","arrow",7,0
"42N56","asynch","arrow",8,0
"42N56","asynch","arrow",9,0
"42N56","asynch","arrow",10,0
"42N56","asynch","arrow",11,0
"42N56","asynch","arrow",12,0
"42N56","asynch","arrow",13,0
"0KQWY","asynch","arrow",1,0
"0KQWY","asynch","arrow",2,0
"0KQWY","asynch","arrow",3,0
"0KQWY","asynch","arrow",4,0
"0KQWY","asynch","arrow",5,0
"0KQWY","asynch","arrow",6,0
"0KQWY","asynch","arrow",7,0
"0KQWY","asynch","arrow",8,0
"0KQWY","asynch","arrow",9,0
"0KQWY","asynch","arrow",10,0
"0KQWY","asynch","arrow",11,0
"0KQWY","asynch","arrow",12,0
"0KQWY","asynch","arrow",13,0
"VHT5F","asynch","arrow",1,0
"VHT5F","asynch","arrow",2,0
"VHT5F","asynch","arrow",3,0
"VHT5F","asynch","arrow",4,0
"VHT5F","asynch","arrow",5,1
"VHT5F","asynch","arrow",6,1
"VHT5F","asynch","arrow",7,1
"VHT5F","asynch","arrow",8,1
"VHT5F","asynch","arrow",9,1
"VHT5F","asynch","arrow",10,1
"VHT5F","asynch","arrow",11,1
"VHT5F","asynch","arrow",12,1
"VHT5F","asynch","arrow",13,2
"YMH3D","asynch","arrow",1,0
"YMH3D","asynch","arrow",2,0
"YMH3D","asynch","arrow",3,0
"YMH3D","asynch","arrow",4,0
"YMH3D","asynch","arrow",5,0
"YMH3D","asynch","arrow",6,0
"YMH3D","asynch","arrow",7,0
"YMH3D","asynch","arrow",8,0
"YMH3D","asynch","arrow",9,0
"YMH3D","asynch","arrow",10,0
"YMH3D","asynch","arrow",11,0
"YMH3D","asynch","arrow",12,0
"YMH3D","asynch","arrow",13,0
"FXOS5","asynch","arrow",1,0
"FXOS5","asynch","arrow",2,0
"FXOS5","asynch","arrow",3,0
"FXOS5","asynch","arrow",4,0
"FXOS5","asynch","arrow",5,0
"FXOS5","asynch","arrow",6,0
"FXOS5","asynch","arrow",7,0
"FXOS5","asynch","arrow",8,0
"FXOS5","asynch","arrow",9,0
"FXOS5","asynch","arrow",10,0
"FXOS5","asynch","arrow",11,0
"FXOS5","asynch","arrow",12,0
"FXOS5","asynch","arrow",13,0
"XMDE7","asynch","arrow",1,0
"XMDE7","asynch","arrow",2,0
"XMDE7","asynch","arrow",3,0
"XMDE7","asynch","arrow",4,0
"XMDE7","asynch","arrow",5,0
"XMDE7","asynch","arrow",6,0
"XMDE7","asynch","arrow",7,0
"XMDE7","asynch","arrow",8,0
"XMDE7","asynch","arrow",9,0
"XMDE7","asynch","arrow",10,0
"XMDE7","asynch","arrow",11,0
"XMDE7","asynch","arrow",12,0
"XMDE7","asynch","arrow",13,0
"LJCT0","asynch","arrow",1,1
"LJCT0","asynch","arrow",2,2
"LJCT0","asynch","arrow",3,2
"LJCT0","asynch","arrow",4,3
"LJCT0","asynch","arrow",5,4
"LJCT0","asynch","arrow",6,5
"LJCT0","asynch","arrow",7,5
"LJCT0","asynch","arrow",8,6
"LJCT0","asynch","arrow",9,7
"LJCT0","asynch","arrow",10,8
"LJCT0","asynch","arrow",11,9
"LJCT0","asynch","arrow",12,10
"LJCT0","asynch","arrow",13,11
"V3SM3","asynch","arrow",1,0
"V3SM3","asynch","arrow",2,0
"V3SM3","asynch","arrow",3,0
"V3SM3","asynch","arrow",4,0
"V3SM3","asynch","arrow",5,1
"V3SM3","asynch","arrow",6,1
"V3SM3","asynch","arrow",7,1
"V3SM3","asynch","arrow",8,1
"V3SM3","asynch","arrow",9,1
"V3SM3","asynch","arrow",10,1
"V3SM3","asynch","arrow",11,1
"V3SM3","asynch","arrow",12,1
"V3SM3","asynch","arrow",13,2
"X4TP8","asynch","arrow",1,0
"X4TP8","asynch","arrow",2,0
"X4TP8","asynch","arrow",3,0
"X4TP8","asynch","arrow",4,0
"X4TP8","asynch","arrow",5,1
"X4TP8","asynch","arrow",6,1
"X4TP8","asynch","arrow",7,1
"X4TP8","asynch","arrow",8,1
"X4TP8","asynch","arrow",9,1
"X4TP8","asynch","arrow",10,1
"X4TP8","asynch","arrow",11,2
"X4TP8","asynch","arrow",12,3
"X4TP8","asynch","arrow",13,4
"FL4GS","asynch","arrow",1,0
"FL4GS","asynch","arrow",2,0
"FL4GS","asynch","arrow",3,0
"FL4GS","asynch","arrow",4,0
"FL4GS","asynch","arrow",5,1
"FL4GS","asynch","arrow",6,1
"FL4GS","asynch","arrow",7,1
"FL4GS","asynch","arrow",8,1
"FL4GS","asynch","arrow",9,1
"FL4GS","asynch","arrow",10,1
"FL4GS","asynch","arrow",11,1
"FL4GS","asynch","arrow",12,1
"FL4GS","asynch","arrow",13,1
"Y7K5L","asynch","arrow",1,0
"Y7K5L","asynch","arrow",2,1
"Y7K5L","asynch","arrow",3,1
"Y7K5L","asynch","arrow",4,1
"Y7K5L","asynch","arrow",5,1
"Y7K5L","asynch","arrow",6,1
"Y7K5L","asynch","arrow",7,1
"Y7K5L","asynch","arrow",8,1
"Y7K5L","asynch","arrow",9,2
"Y7K5L","asynch","arrow",10,2
"Y7K5L","asynch","arrow",11,2
"Y7K5L","asynch","arrow",12,2
"Y7K5L","asynch","arrow",13,2
"P76NE","asynch","arrow",1,0
"P76NE","asynch","arrow",2,0
"P76NE","asynch","arrow",3,0
"P76NE","asynch","arrow",4,0
"P76NE","asynch","arrow",5,0
"P76NE","asynch","arrow",6,0
"P76NE","asynch","arrow",7,0
"P76NE","asynch","arrow",8,0
"P76NE","asynch","arrow",9,1
"P76NE","asynch","arrow",10,2
"P76NE","asynch","arrow",11,3
"P76NE","asynch","arrow",12,4
"P76NE","asynch","arrow",13,5
"S0TJN","asynch","arrow",1,0
"S0TJN","asynch","arrow",2,0
"S0TJN","asynch","arrow",3,0
