"subject","study","condition","session","exp_id","sona_id","pool","mode","attn_check","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","totaltime_m","pretty_condition"
"4HKVT","SGC4B","1112","wi22sona","2218","41401","sona","asynch","TRUE","I tried my best on each question",5,3,5,"",21,"US","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1440,732,"Mac OS","2022-03-09T20:32:32.899Z","success","winter22",1,6.26953333333333,"arrow"
"HJMJL","SGC4B","1112","wi22sona","2217","38160","sona","asynch","TRUE","I tried my best on each question",2,4,2,"",20,"United States","English","Third","Math or Computer Sciences","Male","","chrome",2560,1289,"Windows 10","2022-03-05T06:47:19.062Z","success","winter22",2,7.5297,"arrow"
"4SAFP","SGC4B","1113","wi22sona","2217","34046","sona","asynch","TRUE","I tried my best on each question",2,5,5,"took me to a white screen the first time.. then i refreshed and started over",20,"United States","English","Third","Social Sciences (incl. CogSci)","Female","no","chrome",1440,821,"Mac OS","2022-03-04T01:19:40.878Z","success","winter22",1,3.56298333333333,"cross"
"MH844","SGC4B","1113","wi22sona","2217","29358","sona","asynch","TRUE","I tried my best on each question",3,2,3,"maybe more questions and different graph format ",22,"US","X-Other","Fourth","Biomedical & Health Sciences","Female","no","chrome",1440,821,"Mac OS","2022-03-05T19:46:42.948Z","success","winter22",1,10.6871833333333,"cross"
"1GA68","SGC4B","1113","wi22sona","2217","43233","sona","asynch","TRUE","I tried my best on each question",2,3,5,"Overall very easy once I understood the graph. ",22,"United States ","Spanish","Fifth","Natural Sciences","Female","no ","chrome",1368,793,"Windows 10","2022-03-06T07:28:52.568Z","success","winter22",1,12.0573166666667,"cross"
"H2EB2","SGC4B","1113","wi22sona","2217","34368","sona","asynch","TRUE","I tried my best on each question",3,2,3,"The pyramid layout made it hard to see the points",20,"United States","English","Third","Social Sciences (incl. CogSci)","Female","No","chrome",1440,789,"Mac OS","2022-03-06T07:01:52.950Z","success","winter22",1,8.5212,"cross"
"1KHNC","SGC4B","1112","wi22sona","2217","31986","sona","asynch","TRUE","I tried my best on each question",4,3,4,"the pyramid graph took a bit to get use to but did end up helping once i figured out how it could help with the breaks",18,"USA","English","Third","Social Sciences (incl. CogSci)","Male","No","chrome",1920,937,"Windows 10","2022-03-03T19:52:36.178Z","success","winter22",2,10.32905,"arrow"
"D63Q6","SGC4B","1112","wi22sona","2217","41082","sona","asynch","TRUE","I tried my best on each question",1,4,5,"That graph looked like a monster at a glance but it was actually really easy to read once I figured it out. Thanks :D",21,"United States","English","Third","Biomedical & Health Sciences","Female","No","chrome",1920,969,"Windows 10","2022-03-06T03:15:52.289Z","success","winter22",1,9.11331666666667,"arrow"
"ZSAAY","SGC4B","1113","wi22sona","2218","33283","sona","asynch","TRUE","I tried my best on each question",4,3,5,"",23,"China","Mandarin","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",2048,944,"Windows 10","2022-03-09T07:38:27.225Z","success","winter22",1.5,4.91415,"cross"
"RU6P7","SGC4B","1113","wi22sona","2217","42708","sona","asynch","TRUE","I tried my best on each question",2,3,5,"It was interesting trying to find patterns in the graph. In the beginning, I was a little confused on how to actually read the graph and I was trying to follow the graph lines to determine if those were the shifts. I was definitely a little confused in the first half but then after it told me there were 10 more questions, I think I started to better comprehend the graph. Very interesting task though! Thank you!",18,"United States","English","First","Engineering","Male","No","chrome",2560,1297,"Windows 10","2022-03-03T22:02:54.766Z","success","winter22",1,22.67445,"cross"
