"subject","condition","pretty_condition","study","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","ROTATION","SHAPE","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"J7392","11111331","ORTH-90","SGC4C","summer22","asynch","Male",24,"English",NA,"United States","I tried my best on each question","4","2","2","explain the graph better","N/A",10.0672333333333,"3.5","chrome","1920","977","90","ORTH",0.979729584141349,5.82248168498169,0.323044602456367,0,0,2,2,-6,0.153846153846154,4.98731666666667,23.0183846153846,5.336,42.709,2,7,1,0,3,1,3,0,0,-1,"Orthogonal",5.336,1,1,"Triangular",12.93,0,"Orthogonal",11.761,1,"Triangular",33.596,1,-1,1.69266666666667,1,-5,3.29465
"J7RQL","11111331","ORTH-90","SGC4C","summer22","asynch","Female",20,"English",NA,"United States","I tried my best on each question","3","2","4","I didn't understand the graph until close to the end of the questions, so I think I did much better at the end than in the beginning.","",10.3978833333333,"3","chrome","1517","736","90","ORTH",8.49464285714286,-0.889775910364146,5.20373376623377,0,0,8,8,7,0.615384615384615,5.27521666666667,24.3471538461538,7.257,58.609,8,0,1,0,4,1,3,1,1,1,"Triangular",18.555,0,0,"blank",45.223,1,"Triangular",35.086,1,"Triangular",58.609,2,1,1.62555,6,6,3.64966666666667
"JAD4Q","113","TRI-0","SGC4D","winter22","asynch","Female",19,"English","Second","USA","I tried my best on each question","4","2","4","","no",9.82248333333333,"1","chrome","1536","710","0","TRI",10.6314102564103,-0.807175177763413,7.42307692307692,0,0,9,9,11,0.692307692307692,5.66913333333333,26.1652307692308,11.354,62.078,9,0,4,0,0,4,0,0,0,0.5,"Tversky",30.917,1,1,"Triangular",23.645,0,"Tversky",62.078,1,"Triangular",16.907,2,3.5,2.06505,7,7.5,3.60408333333333
"JJ8JL","113","TRI-0","SGC4D","winter22","asynch","Female",20,"English","Second","United States","I tried my best on each question","2","4","5","","",10.1815666666667,"2","chrome","1440","705","0","TRI",12.4230769230769,-0.557175177763413,7.58974358974359,0,0,11,11,12,0.846153846153846,5.91216666666667,27.2869230769231,9.775,83.558,11,0,2,0,0,2,0,0,0,0.5,"Tversky",32.129,1,1,"Triangular",30.717,0,"Tversky",47.575,1,"Triangular",19.184,4,4.5,2.79081666666667,7,7.5,3.12135
"JJTSL","113","TRI-0","SGC4D","winter22","asynch","Female",20,"English","Third","usa","I tried my best on most questions","5","4","1","","no. average intelligence lol",26.2696,"1","chrome","1504","892","0","TRI",-0.514750935339171,10.8605769230769,0.416249191984486,0,0,0,0,-11,0,17.39325,80.2765384615385,7.549,264.357,0,11,1,0,1,1,1,0,0,-1,"Orthogonal",33.216,0,-0.5,"?",184.192,0,"Orthogonal",21.492,0,"Orthogonal",92.879,0,-4.5,7.14208333333333,0,-6.5,10.2511666666667
"JKMRO","113","TRI-0","SGC4D","winter22","asynch","Female",21,"English","Fourth","United States","I tried my best on each question","4","3","2","The triangle graph was kind of hard to read","No",7.62771666666667,"1","chrome","1280","689","0","TRI",-0.643917602005837,10.6696428571429,-0.146250808015514,0,0,0,0,-12,0,4.58965,21.183,5.29,34.963,0,11,0,0,2,0,2,0,0,-1,"Orthogonal",16.082,0,-1,"Orthogonal",33.745,0,"Orthogonal",16.67,0,"Orthogonal",34.963,0,-5,1.80385,0,-7,2.7858
"JL6P0","11111331","ORTH-90","SGC4C","summer22","asynch","Male",62,"English",NA,"USA","I tried my best on each question","3","5","5","I enjoyed completing these tasks.  It was a bit challenging.","No, I have no impairments or disabilities.",37.9449333333333,"1","chrome","1569","721","90","ORTH",-0.836179506767742,10.5333333333333,0.782320620555915,0,0,0,0,-11,0,22.2487833333333,102.686692307692,17.616,407.208,0,11,1,0,1,1,1,0,0,-1,"Orthogonal",70.734,0,-1,"Orthogonal",407.208,0,"Orthogonal",101.835,0,"Orthogonal",129.602,0,-3,9.8702,0,-8,12.3785833333333
"JO5VM","113112","TRI-45","SGC4C","summer22","asynch","Female",25,"English",NA,"United States","I tried my best on each question","3","4","2","","nope!",13.0340333333333,"4","chrome","1440","789","45","TRI",9.15383880825057,-0.599332040508511,5.49699148890325,0,0,8,9,8,0.692307692307692,7.96021666666667,36.7394615384615,10.295,74.824,9,0,1,0,3,1,3,0,1,1,"Triangular",24.266,0,-0.5,"?",30.593,1,"Triangular",20.773,1,"Triangular",38.577,3,2,2.75853333333333,6,6,5.20168333333333
"JPH8M","11111331","ORTH-90","SGC4C","summer22","asynch","Male",68,"English",NA,"America","I tried my best on each question","4","4","5","That was a new way of measuring time/shifts; I reckon I got the first response wrong, guessing how the start/stop/duration was indicated. Once I figured out how this was working, I found it both clever and creative.","No",14.0729,"1","chrome","1440","795","90","ORTH",12.5,-0.478008511096746,8.08974358974359,0,0,12,13,13,1,8.51468333333333,39.2985384615385,8.312,92.472,13,0,0,0,0,0,0,0,1,1,"Triangular",69.204,1,1,"Triangular",58.345,1,"Triangular",69.396,1,"Triangular",17.614,5,5,4.05308333333333,8,8,4.4616
"JS5YC","11311221","TRI-45","SGC4C","summer22","asynch","Male",30,"English",NA,"USA","I tried my best on most questions","3","2","1","I don't have any background in shift scheduling.","No",9.90781666666667,"1","chrome","1366","768","45","TRI",9.20849567099567,-0.469079939668175,6.61831501831502,0,0,9,9,7,0.692307692307692,6.26345,28.9082307692308,11.146,46.769,9,0,0,0,4,0,4,0,1,1,"Triangular",44.889,0,-0.5,"?",27.036,1,"Triangular",35.793,0,"?",46.769,3,2,2.76778333333333,6,5,3.49566666666667
"K27WV","113","TRI-0","SGC4D","winter22","asynch","Female",19,"Korean","Second","United States","I tried my best on each question","3","4","5","I was first lost when looking at the chart and am still not sure if I am looking at it the right way. ","no",9.5758,"1","chrome","1440","821","0","TRI",8.20641025641026,2.12199148890325,5.44139194139194,0,0,8,9,5.5,0.692307692307692,5.17316666666667,23.8761538461538,5.753,58.21,9,3,0,0,1,0,1,0,0,-1,"Orthogonal",31.389,1,1,"Triangular",30.414,1,"Triangular",27.764,1,"Triangular",34.479,2,-1,2.44566666666667,7,6.5,2.7275
"K5PDZ","111","ORTH-0","SGC3A","fall21","asynch","Other",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",8.45565,"NULL","NULL","NULL","NULL","0","ORTH",13,-0.540508511096746,8.08974358974359,0,0,13,13,13,1,4.81651666666667,22.2300769230769,8.816,46.655,13,0,0,0,0,0,0,0,1,1,"Triangular",29.374,1,1,"Triangular",19.156,1,"Triangular",33.051,1,"Triangular",21.528,5,5,1.6424,8,8,3.17411666666667
"K7HM9","111","ORTH-0","SGC3A","fall21","asynch","Male",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",34.0028166666667,"NULL","NULL","NULL","NULL","0","ORTH",13,-0.540508511096746,8.08974358974359,0,0,13,13,13,1,8.34025,38.4934615384615,10.886,112.274,13,0,0,0,0,0,0,0,1,1,"Triangular",112.274,1,1,"Triangular",33.797,1,"Triangular",93.326,1,"Triangular",19.969,5,5,3.33906666666667,8,8,5.00118333333333
"K8WV8","11111331","ORTH-90","SGC4C","summer22","asynch","Female",46,"English",NA,"USA","I tried my best on each question","4","3","2","I'm not sure I fully understood the graph. ","no",9.07951666666667,"1","chrome","1440","751","90","ORTH",0.57615815556992,11.4230769230769,-0.723173884938591,0,0,1,1,-11,0.0769230769230769,6.57911666666667,30.3651538461538,5.587,102.524,1,12,0,0,0,0,0,0,0,-1,"Orthogonal",12.576,1,1,"Triangular",40.855,0,"Orthogonal",11.377,0,"Orthogonal",35.45,1,-3,3.58658333333333,0,-8,2.99253333333333
"KEMWH","111","ORTH-0","SGC3A","fall21","asynch","Female",20,"Other","Third","Iran","NULL","NULL","NULL","NULL","NULL","NULL",8.23086666666667,"NULL","NULL","NULL","NULL","0","ORTH",0.63865815556992,9.22724358974359,-0.664350355526826,0,0,1,1,-9.5,0.0769230769230769,5.67618333333333,26.1977692307692,7.589,49.89,1,9,0,0,3,0,3,0,0,-1,"Orthogonal",14.798,1,1,"Triangular",45.835,0,"Orthogonal",32.079,0,"?",26.02,1,-3,2.39631666666667,0,-6.5,3.27986666666667
"KJSWM","11311221","TRI-45","SGC4C","summer22","asynch","Female",42,"English",NA,"United States","I tried my best on each question","4","2","3","","",8.23543333333333,"1","chrome","1366","768","45","TRI",8.64599567099567,0.592824822236587,8.38235294117647,0,0,9,9,8.5,0.692307692307692,6.15391666666667,28.4026923076923,10.043,70.754,9,1,2,0,1,2,1,0,1,1,"Triangular",22.249,0,0.5,"Tversky",42.855,1,"Triangular",15.735,0,"Orthogonal",34.523,3,4,2.09005,6,4.5,4.06386666666667
"KKR6H","11311221","TRI-45","SGC4C","summer22","asynch","Male",36,"English",NA,"USA","I tried my best on each question","4","4","5","","No",9.55671666666667,"2","chrome","1618","782","45","TRI",9.10357142857143,0.379134346046111,6.70416666666667,0,0,8,8,8,0.615384615384615,7.0054,32.3326153846154,5.029,64.171,8,1,3,0,1,3,1,0,1,1,"Triangular",38.693,0,-0.5,"?",47.435,1,"Triangular",16.622,0,"Tversky",36.273,3,3,2.8544,5,5,4.151
"KNH2B","111","ORTH-0","SGC3A","fall21","asynch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",15.5118666666667,"NULL","NULL","NULL","NULL","0","ORTH",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,7.89425,36.435,7.078,74.212,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",11.377,0,-1,"Orthogonal",74.212,0,"Orthogonal",19.578,0,"Orthogonal",63.735,0,-5,2.77843333333333,0,-8,5.11581666666667
"KUB28","11111221","ORTH-45","SGC4C","summer22","asynch","Other-Not Listed",24,"English",NA,"United States","I tried my best on each question","3","2","3","it took a minute to figure out how the graph actually worked. it was not easy to read","",14.1635,"1","chrome","1486","939","45","ORTH",10.6931818181818,0.51590174531351,6.88782051282051,0,0,11,11,9.5,0.846153846153846,5.97705,27.5863846153846,6.892,98.117,11,1,0,0,1,0,1,0,1,1,"Triangular",20.17,0,-0.5,"?",98.117,0,"Orthogonal",20.062,1,"Triangular",41.316,4,3.5,3.20278333333333,7,6,2.77426666666667
"KXRFL","111","ORTH-0","SGC3A","fall21","asynch","Male",21,"English","Fourth","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",17.2675833333333,"NULL","NULL","NULL","NULL","0","ORTH",0.933301012712777,10.2564102564103,-0.366031027795734,0,0,1,1,-10,0.0769230769230769,10.1794166666667,46.9819230769231,12.459,87.451,1,10,0,0,2,0,2,0,0,-1,"Orthogonal",12.459,1,1,"Triangular",49.605,0,"Orthogonal",30.824,0,"Orthogonal",87.451,1,-2,3.4933,0,-8,6.68611666666667
"KYT0U","11311331","TRI-90","SGC4C","summer22","asynch","Female",23,"English",NA,"United States","I tried my best on each question","4","3","3","","no",9.22758333333333,"1","chrome","1280","720","90","TRI",8.60224358974359,0.588062917474682,6.23925339366516,0,0,9,9,7.5,0.692307692307692,5.84491666666667,26.9765384615385,8.241,79.455,9,1,1,0,2,1,2,0,0,0.5,"Tversky",12.791,1,1,"Triangular",79.455,0,"Orthogonal",36.945,0,"?",44.86,4,4.5,2.6304,5,3,3.21451666666667
"L1F8V","113","TRI-0","SGC4D","winter22","asynch","Female",21,"English","Fourth","United States","I tried my best on each question","4","3","2","the graph was sort of hard to look at for me, all the lines felt like they were. moving and intersecting some","",11.12595,"1","chrome","1440","764","0","TRI",9.5507730015083,0.245906054729584,6.9132730015083,0,0,9,9,8.5,0.692307692307692,5.37705,24.8171538461538,8.032,39.48,9,1,2,0,1,2,1,0,0,0.5,"Tversky",39.48,1,1,"Triangular",26.996,1,"Triangular",39.421,1,"Triangular",27.073,4,4.5,2.61018333333333,5,4,2.76686666666667
"L4D30","11311221","TRI-45","SGC4C","summer22","asynch","Male",27,"English",NA,"United States ","I tried my best on most questions","3","5","3","","",18.8152,"2","chrome","1366","768","45","TRI",0.125,2.2110347985348,-0.136446886446886,0,0,0,1,-3.5,0.0769230769230769,9.76896666666667,45.0875384615385,8.973,111.673,1,3,1,0,8,1,4,4,0,0,"blank",16.793,1,1,"Triangular",39.207,0,"Orthogonal",78.798,0,"blank",12.302,1,0.5,2.03688333333333,0,-4,7.73208333333333
"L5L85","111112","ORTH-45","SGC4C","summer22","asynch","Male",31,"English",NA,"USA","I tried my best on each question","4","5","3","There was slight confusion in selecting the shifts","None at all",13.19215,"1","chrome","1536","746","45","ORTH",-0.450169683257919,2.21617647058824,1.06722958414135,0,0,0,0,-3.5,0,7.64446666666667,35.2821538461538,8.068,74.369,0,3,3,0,7,3,4,3,0,-0.5,"?",49.681,0,0,"blank",57.763,0,"Orthogonal",36.052,0,"Tversky",34.702,0,-1,2.46055,0,-2.5,5.18391666666667
"LAZ3T","111","ORTH-0","SGC3A","fall21","asynch","Female",18,"Other","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.27405,"NULL","NULL","NULL","NULL","0","ORTH",13,-0.540508511096746,8.08974358974359,0,0,13,13,13,1,6.58503333333333,30.3924615384615,6.468,97.152,13,0,0,0,0,0,0,0,1,1,"Triangular",24.046,1,1,"Triangular",75.294,1,"Triangular",15.4,1,"Triangular",33.572,5,5,2.29498333333333,8,8,4.29005
"LCA8C","113","TRI-0","SGC4D","winter22","asynch","Female",18,"Spanish","First","United States","I tried my best on each question","3","2","4","Reading the graph would be a bit easier if it was formatted differently.","No.",68.9800666666667,"2","chrome","1139","684","0","TRI",-1.31610374919198,9.59464285714286,-0.894149967679379,0,0,0,0,-11.5,0,13.3769166666667,61.7396153846154,11.175,111.139,0,10,0,0,3,0,3,0,0,-1,"Orthogonal",31.779,0,-0.5,"frenzy",109.74,0,"Orthogonal",88.814,0,"frenzy",76.09,0,-4.5,5.61391666666667,0,-7,7.763
"LLPS7","11311331","TRI-90","SGC4C","summer22","asynch","Male",39,"English",NA,"United States","I tried my best on each question","4","2","4","","",10.726,"2","chrome","1536","714","90","TRI",7.53333333333333,-1.04467517776341,6.62724358974359,0,0,7,9,9,0.692307692307692,5.79445,26.7436153846154,5.428,95.972,9,0,2,0,2,2,2,0,1,1,"Triangular",43.859,1,1,"Triangular",40.445,0,"Tversky",15.994,1,"Triangular",26.855,4,4.5,2.36845,5,4.5,3.426
"LNVKO","111","ORTH-0","SGC3A","fall21","asynch","Male",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.52238333333333,"NULL","NULL","NULL","NULL","0","ORTH",13,-0.540508511096746,8.08974358974359,0,0,13,13,13,1,3.8638,17.8329230769231,8.028,49.893,13,0,0,0,0,0,0,0,1,1,"Triangular",24.45,1,1,"Triangular",14.406,1,"Triangular",28.034,1,"Triangular",13.428,5,5,1.35276666666667,8,8,2.51103333333333
"LPY8N","111","ORTH-0","SGC3A","fall21","asynch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",10.41,"NULL","NULL","NULL","NULL","0","ORTH",-1.08141760200584,12.4333333333333,-0.146250808015514,0,0,0,0,-13,0,6.89741666666667,31.8342307692308,5.64,98.198,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",20.672,0,-1,"Orthogonal",98.198,0,"Orthogonal",16.072,0,"Orthogonal",28.24,0,-5,3.5505,0,-8,3.34691666666667
"LR3G1","113","TRI-0","SGC4D","winter22","asynch","Male",21,"English","Fourth","United Statesa","I tried my best on each question","2","3","3","","",38.5193166666667,"3","chrome","1504","852","0","TRI",11.75,-0.840508511096746,8.08974358974359,0,0,12,12,12.5,0.923076923076923,20.1361833333333,92.9362307692308,10.556,494.834,12,0,1,0,0,1,0,0,1,1,"Triangular",60.733,1,1,"Triangular",494.834,1,"Triangular",109.011,1,"Triangular",50.462,4,4.5,11.4346833333333,8,8,8.7015
"LTGRR","11311331","TRI-90","SGC4C","summer22","asynch","Other-Not Listed",19,"English",NA,"usa","I tried my best on each question","5","3","5","","",17.84565,"3","chrome","1440","721","90","TRI",10.5766483516484,-0.785014005602241,8.16666666666667,0,0,7,7,9.5,0.538461538461538,13.2783833333333,61.2848461538462,6.252,170.547,7,0,5,0,1,5,0,1,0,0.5,"Tversky",35.39,0,0,"blank",170.547,0,"Tversky",51.788,1,"Triangular",99.465,1,2.5,6.27858333333333,6,7,6.9998
"LWAZX","11311221","TRI-45","SGC4C","summer22","asynch","Male",28,"English",NA,"United States","I tried my best on most questions","4","3","3","It does get easier once you learn the tricks to using the graph","",10.3591833333333,"2","chrome","1280","720","45","TRI",10.7416666666667,0.521396250808016,7.30542986425339,0,0,11,11,9.5,0.846153846153846,6.30061666666667,29.0797692307692,7.93,85.081,11,1,0,0,1,0,1,0,1,1,"Triangular",13.529,1,1,"Triangular",85.081,1,"Triangular",13.205,0,"Orthogonal",34.681,5,5,2.45351666666667,6,4.5,3.8471
"M9WY5","111","ORTH-0","SGC3A","fall21","asynch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",16.5263166666667,"NULL","NULL","NULL","NULL","0","ORTH",0.485249064660829,11.8461538461538,-0.800096961861668,0,0,0,0,-12.5,0,12.44285,57.4285384615385,7.497,218.599,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",24.01,0,-0.5,"?",107.023,0,"Orthogonal",13.27,0,"Orthogonal",92.233,0,-4.5,4.1817,0,-8,8.26115
"MHS8X","11111331","ORTH-90","SGC4C","summer22","asynch","Male",45,"English",NA,"US","I tried my best on each question","2","4","5","I think once we understand how the graph works, the rest becomes repetitive.","No.",11.7827333333333,"1","chrome","1600","789","90","ORTH",11.75,-0.707175177763413,8.43589743589744,0,0,12,12,12.5,0.923076923076923,8.21773333333333,37.928,13.137,101.809,12,0,1,0,0,1,0,0,1,1,"Triangular",101.809,1,1,"Triangular",59.35,1,"Triangular",36.307,1,"Triangular",13.137,4,4.5,4.52716666666667,8,8,3.69056666666667
"MLNH1","111112","ORTH-45","SGC4C","summer22","asynch","Female",22,"English",NA,"United States","I tried my best on each question","3","5","4","","No",12.1469666666667,"1","chrome","1440","764","45","ORTH",5.34423076923077,3.27556291747468,3.04436813186813,0,0,5,6,1.5,0.461538461538462,7.61738333333333,35.1571538461538,10.444,85.682,6,4,1,0,2,1,2,0,0,-1,"Orthogonal",24.041,1,1,"Triangular",23.112,0,"Orthogonal",62.561,1,"Triangular",22.913,2,0.5,1.4859,4,1,6.13148333333333
"MTCEB","113","TRI-0","SGC4D","winter22","asynch","Other-Not Listed",21,"Spanish","Third","United States","I tried my best on most questions","2","4","2","","",9.49355,"1","chrome","1287","1087","0","TRI",0.483896250808016,7.02724358974359,-0.402445593622064,0,0,1,1,-8.5,0.0769230769230769,5.5073,25.4183076923077,7.865,85.482,1,7,0,0,5,0,5,0,0,-1,"Orthogonal",16.569,1,1,"Triangular",85.482,0,"Orthogonal",20.047,0,"?",29.322,1,-2,2.41008333333333,0,-6.5,3.09721666666667
"MTKKB","11111331","ORTH-90","SGC4C","summer22","asynch","Male",18,"English",NA,"United States","I tried my best on each question","4","2","3","","",9.28733333333333,"1","chrome","1440","789","90","ORTH",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,6.95628333333333,32.1059230769231,5.28,89.013,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",29.828,0,-1,"Orthogonal",57.085,0,"Orthogonal",19.472,0,"Orthogonal",30.636,0,-5,3.62648333333333,0,-8,3.3298
"MU719","11311331","TRI-90","SGC4C","summer22","asynch","Female",39,"English",NA,"USA","I tried my best on each question","4","3","3","I interpreted the graph in a few ways to determine a suitable answer.","No.",29.5113333333333,"1","chrome","1440","725","90","TRI",4.75016233766234,-0.757175177763413,4.24972527472528,0,0,4,5,3,0.384615384615385,25.3364,116.937230769231,7.731,326.128,5,0,2,0,6,2,6,0,1,1,"Triangular",99.337,0,-0.5,"?",150.935,0,"Tversky",251.821,0,"?",108.694,1,0,7.92146666666667,4,3,17.4149333333333
"MUOW0","11111331","ORTH-90","SGC4C","summer22","asynch","Male",36,"English",NA,"USA","I tried my best on each question","4","2","3","The graph could be more user friendly.","N/A",12.25015,"1","chrome","1600","789","90","ORTH",1.34688644688645,5.18746767937944,1.66005440637794,0,0,2,2,-4.5,0.153846153846154,8.42846666666667,38.9006153846154,6.987,99.28,2,6,2,0,3,2,3,0,0,-1,"Orthogonal",31.437,1,1,"Triangular",37.431,0,"Orthogonal",35.047,0,"?",13.862,1,-1,3.47656666666667,1,-3.5,4.9519
"MXTH1","11111221","ORTH-45","SGC4C","summer22","asynch","Female",19,"English",NA,"United States","I tried my best on most questions","4","3","2","","",7.74053333333333,"1","chrome","1440","821","45","ORTH",3.59561051693405,-1.36599870717518,4.36770704785411,0,0,4,4,1.5,0.307692307692308,6.00535,27.717,4.513,105.668,4,0,2,0,7,2,7,0,1,1,"Triangular",9.732,0,-0.5,"?",105.668,0,"Tversky",40.355,0,"?",4.513,2,1.5,3.0397,2,0,2.96565
"MYWDQ","11311331","TRI-90","SGC4C","summer22","asynch","Male",26,"English",NA,"USA","I tried my best on each question","4","3","5","Some of the buttons in the far right column I could not click. I had to tab over and press space bar to get it to check the box. It was a very interesting test, that was the only issue I ran into. I thought determining the breaks were the most difficult part of the quiz.","",10.9687833333333,"3","chrome","1920","969","90","TRI",9.36666666666667,-0.539775910364146,5.83333333333333,0,0,7,9,9.5,0.692307692307692,7.15615,33.0283846153846,8.669,77.059,9,0,1,0,3,1,0,3,0,0,"blank",62.427,0,0,"blank",48.97,1,"Triangular",31.747,1,"Triangular",51.662,2,2,3.02745,7,7.5,4.1287
"N1TQQ","11111331","ORTH-90","SGC4C","summer22","asynch","Female",39,"English",NA,"United States","I tried my best on each question","3","4","4","My only fear is I assumed one answer at the outset, so I worry that I missed some extra shift answers in the first couple.","nope!",9.9972,"1","chrome","1517","702","90","ORTH",-0.514750935339171,11.9166666666667,0.930672268907563,0,0,0,0,-11.5,0,6.07995,28.0613076923077,8.71,68.858,0,12,1,0,0,1,0,0,0,-1,"Orthogonal",8.71,0,-1,"Orthogonal",68.858,0,"Orthogonal",23.807,0,"Orthogonal",45.618,0,-3.5,2.11461666666667,0,-8,3.96533333333333
"N34B6","111","ORTH-0","SGC3A","fall21","asynch","Female",20,"English","Third","usa","NULL","NULL","NULL","NULL","NULL","NULL",14.21545,"NULL","NULL","NULL","NULL","0","ORTH",12.9333333333333,-0.611937082525318,8.08974358974359,0,0,12,12,12.5,0.923076923076923,8.69906666666667,40.1495384615385,8.048,138.925,12,0,1,0,0,1,0,0,1,1,"Triangular",138.925,1,1,"Triangular",13.364,1,"Triangular",48.353,1,"Triangular",11.763,5,5,5.007,7,7.5,3.69206666666667
"N3APK","113","TRI-0","SGC4D","winter22","asynch","Female",21,"X-Other","Third","USA","I tried my best on each question","4","3","4","","no",11.5583833333333,"2","chrome","1440","821","0","TRI",0.705324822236587,9.29391025641026,-0.664350355526826,0,0,1,1,-9.5,0.0769230769230769,6.93331666666667,31.9999230769231,11.286,61.123,1,9,0,0,3,0,3,0,0,-1,"Orthogonal",27.048,1,1,"Triangular",37.17,0,"Orthogonal",24.621,0,"?",61.123,1,-3,2.82831666666667,0,-6.5,4.105
"N5D8R","11111221","ORTH-45","SGC4C","summer22","asynch","Female",69,"English",NA,"United State of America","I tried my best on each question","4","4","3","I must have gotten tense doing it because my neck got sore.","No.",73.0475833333333,"1","chrome","1920","937","45","ORTH",10.3041666666667,0.530920060331825,7.76666666666667,0,0,10,11,9.5,0.846153846153846,61.6251666666667,284.423846153846,14.753,1041.81,11,1,0,0,1,0,1,0,1,1,"Triangular",36.544,0,-0.5,"?",735.92,1,"Triangular",65.749,1,"Triangular",1041.81,4,3.5,27.71245,7,6,33.9127166666667
"N5NRY","111","ORTH-0","SGC3A","fall21","asynch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",11.3245833333333,"NULL","NULL","NULL","NULL","0","ORTH",10.5730769230769,2.48330101271278,6.44139194139194,0,0,10,10,7.5,0.769230769230769,5.72461666666667,26.4213076923077,8.162,85.281,10,2,0,0,1,0,1,0,0,-1,"Orthogonal",85.281,1,1,"Triangular",17.371,1,"Triangular",47.224,1,"Triangular",12.613,3,1,2.92035,7,6.5,2.80426666666667
"N9DY5","11311221","TRI-45","SGC4C","summer22","asynch","Male",27,"English",NA,"America","I tried my best on each question","4","3","2","","no",14.1579166666667,"2","chrome","1821","876","45","TRI",0.668092201915731,0.122233893557423,3.61817226890756,0,0,1,1,-1.5,0.0769230769230769,9.1898,42.4144615384615,10.843,75.364,1,1,4,0,7,4,7,0,0,-0.5,"?",54.116,0,-1,"Orthogonal",71.971,0,"Tversky",75.364,0,"?",30.068,0,-1,2.9406,1,-0.5,6.2492
"NARNW","11111331","ORTH-90","SGC4C","summer22","asynch","Male",28,"English",NA,"USA","I tried my best on each question","3","4","4","It was really difficult trying to figure out how to read the graph and I pretty much just had to guess on the 1st question, but once I figured it out, all of the questions were very easy. ","",20.4409,"1","chrome","1536","722","90","ORTH",11.9230769230769,0.542824822236587,7.01831501831502,0,0,11,12,11,0.923076923076923,8.93285,41.2285384615385,7.024,169.69,12,1,0,0,0,0,0,0,0,-1,"Orthogonal",131.968,1,1,"Triangular",53.206,1,"Triangular",35.351,1,"Triangular",13.568,4,3,6.33603333333333,8,8,2.59681666666667
"NCPSF","11111331","ORTH-90","SGC4C","summer22","asynch","Female",28,"English",NA,"united states","I tried my best on each question","5","1","2","I didn't understand the graph","no",7.72958333333333,"1","chrome","1536","804","90","ORTH",-1.3355842686725,3.50889625080802,1.77864414996768,0,0,0,0,-7,0,5.50646666666667,25.4144615384615,7.9,55.272,0,5,2,0,6,2,6,0,0,-1,"Orthogonal",7.9,0,-0.5,"?",19.753,0,"Orthogonal",38.789,0,"?",41.6,0,-2.5,2.12965,0,-4.5,3.37681666666667
"ND7BY","11111221","ORTH-45","SGC4C","summer22","asynch","Female",49,"English",NA,"United States","I tried my best on each question","2","5","5","n/a","no",12.90985,"1","chrome","1920","969","45","ORTH",12.4375,-0.540508511096746,7.68974358974359,0,0,12,12,11.5,0.923076923076923,8.78836666666667,40.5616923076923,6.377,115.347,12,0,0,0,1,0,1,0,1,1,"Triangular",39.397,1,1,"Triangular",80.413,1,"Triangular",42.741,0,"?",115.347,5,5,3.36351666666667,7,6.5,5.42485
"NNP7V","11111221","ORTH-45","SGC4C","summer22","asynch","Male",49,"English",NA,"USA","I tried my best on each question","3","4","5","","",7.89161666666667,"1","chrome","2026","1335","45","ORTH",12.4230769230769,-0.557175177763413,7.75641025641026,0,0,11,12,12.5,0.923076923076923,5.69038333333333,26.2633076923077,5.47,58.01,12,0,1,0,0,1,0,0,0,0.5,"Tversky",33.066,1,1,"Triangular",55.986,1,"Triangular",28.393,1,"Triangular",58.01,4,4.5,2.9069,8,8,2.78348333333333
