"subject","condition","pretty_condition","study","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","ROTATION","SHAPE","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"1EOUS","113112","TRI-45","SGC4C","summer22","asynch","Male",38,"English",NA,"United States","I tried my best on each question","4","3","3","","",11.1250166666667,"1","chrome","2560","1303","45","TRI",8.875,-0.340508511096746,6.44117647058824,0,0,9,9,8.5,0.692307692307692,7.98886666666667,36.8716923076923,10.951,122.462,9,0,1,0,3,1,2,1,1,1,"Triangular",34.271,0,-0.5,"?",45.312,0,"blank",70.495,0,"?",69.719,4,3.5,2.32226666666667,5,5,5.6666
"1HFPM","11311331","TRI-90","SGC4C","summer22","asynch","Female",26,"English",NA,"United States","I tried my best on most questions","5","2","3","","no",12.0065333333333,"1","chrome","1440","708","90","TRI",3.10716783216783,1.1828431372549,6.2953431372549,0,0,3,3,0,0.230769230769231,7.3972,34.1409230769231,7.305,69.393,3,2,2,0,6,2,4,2,0,0.5,"Tversky",35.152,0,-1,"Orthogonal",55.816,0,"Tversky",40.252,0,"?",69.393,1,0,2.44378333333333,2,0,4.95341666666667
"1L782","113","TRI-0","SGC4D","winter22","asynch","Female",22,"English","Third","United States","I tried my best on each question","5","2","3","","No",13.7557,"1","chrome","1440","755","0","TRI",-0.419512840101075,3.38032482223659,1.92080101271278,0,0,0,0,-5.5,0,9.99245,46.119,11.199,124.694,0,4,2,0,7,2,5,2,0,-1,"Orthogonal",24.147,0,-0.5,"?",69.468,0,"blank",61.026,0,"blank",79.785,0,-2,2.72198333333333,0,-3.5,7.27046666666667
"1QMO3","11111221","ORTH-45","SGC4C","summer22","asynch","Female",54,"English",NA,"United States","I tried my best on each question","5","2","5","","No",8.53801666666667,"1","chrome","1920","929","45","ORTH",0.537172141583906,0.598914565826331,6.80542986425339,0,0,1,2,2,0.153846153846154,5.9761,27.582,6.533,64.479,2,1,6,0,4,6,4,0,1,1,"Triangular",24.753,0,-1,"Orthogonal",31.089,0,"Tversky",20.738,0,"Tversky",28.45,1,0.5,2.12645,1,1.5,3.84965
"1S6DV","113","TRI-0","SGC4D","winter22","asynch","Male",19,"English","Second","United States","I tried my best on each question","3","3","3","","",13.9875666666667,"1","chrome","1366","768","0","TRI",-0.455927405927406,10.9230769230769,-0.664350355526826,0,0,0,0,-11.5,0,9.31581666666667,42.9960769230769,9.227,95.749,0,11,0,0,2,0,1,1,0,-1,"Orthogonal",21.344,0,-0.5,"?",95.749,0,"Orthogonal",23.059,0,"Orthogonal",78.706,0,-4.5,4.05291666666667,0,-7,5.2629
"1W9FS","11311331","TRI-90","SGC4C","summer22","asynch","Female",22,"English",NA,"United States","I tried my best on each question","3","4","4","","No",13.4373833333333,"1","chrome","1440","789","90","TRI",13,-0.540508511096746,8.08974358974359,0,0,13,13,13,1,7.8094,36.0433846153846,9.223,97.381,13,0,0,0,0,0,0,0,1,1,"Triangular",70.784,1,1,"Triangular",97.381,1,"Triangular",36.914,1,"Triangular",24.948,5,5,3.84873333333333,8,8,3.96066666666667
"1X408","11111331","ORTH-90","SGC4C","summer22","asynch","Male",41,"English",NA,"United States","I tried my best on each question","4","3","2","","none",11.51155,"1","chrome","1389","823","90","ORTH",-0.468917602005837,4.94391025641026,2.33543417366947,0,0,0,1,-5,0.0769230769230769,8.90956666666667,41.1210769230769,6.885,120.871,1,6,3,0,3,3,3,0,0,0.5,"Tversky",11.861,0,0.5,"Tversky",67.884,0,"Orthogonal",13.509,0,"Orthogonal",32.564,0,0.5,4.40201666666667,1,-5.5,4.50755
"20DU0","11111221","ORTH-45","SGC4C","summer22","asynch","Male",22,"English",NA,"United States","I tried my best on each question","5","4","5","","No",7.4849,"2","chrome","1920","929","45","ORTH",5.11266233766234,1.41498599439776,6.23651960784314,0,0,4,4,2,0.307692307692308,4.3896,20.2596923076923,7.618,45.324,4,3,4,0,2,4,2,0,1,1,"Triangular",20.714,0,-1,"Orthogonal",14.664,0,"Tversky",24.679,0,"Orthogonal",12.06,2,2,1.87635,2,0,2.51325
"20LM4","113","TRI-0","SGC4D","winter22","asynch","Male",22,"English","Fourth","USA","I tried my best on each question","4","4","2","","No",13.8327833333333,"2","chrome","1920","937","0","TRI",-1.21475093533917,11.7333333333333,-0.146250808015514,0,0,0,0,-12.5,0,9.68531666666667,44.7014615384615,6.646,105.184,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",33.458,0,-1,"Orthogonal",75.784,0,"Orthogonal",17.111,0,"Orthogonal",43.861,0,-5,3.15835,0,-7.5,6.52696666666667
"21HBX","11111221","ORTH-45","SGC4C","summer22","asynch","Male",41,"English",NA,"United States","I tried my best on each question","3","4","4","N/A, the directions were thorough.","",7.10503333333333,"1","chrome","1440","788","45","ORTH",8.76966783216783,-0.41134184443008,6.36425339366516,0,0,9,9,8.5,0.692307692307692,3.69635,17.0600769230769,5.533,35.55,9,0,1,0,3,1,2,1,0,0.5,"Tversky",24.485,0,-0.5,"?",16.084,1,"Triangular",22.129,0,"?",35.55,3,3,1.4215,6,5.5,2.27485
