"subject","study","condition","pretty_condition","session","exp_id","sona_id","pool","mode","attn_check","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","totaltime_m"
"PMVJO","SGC3B","211","img-control","suPROLIFIC","6305646d20b66a6b9d44425f","629e202465d7385d50c7287b","prolific","asynch","TRUE","I tried my best on each question",4,3,3,"It took me a while to understand how the graph worked!",35,"United States","English","Graduate Degree","Social Sciences (incl. CogSci)","Female","No","chrome",1440,710,"Mac OS","2022-08-24T00:54:04.076Z","success","summer22",1,8,12.5291666666667
"9ZCS8","SGC3B","221","img-impasse","suPROLIFIC","630575e5f8bc88efe44ef98c","60e28114f6eac9b665ff15d2","prolific","asynch","FALSE","I tried my best on each question",5,2,2,"",29,"United States","English","Graduate Degree","Humanities","Male","","chrome",1920,937,"Windows 10","2022-08-24T01:36:11.114Z","success","summer22",1,0,15.8087833333333
"AWXGV","SGC3B","221","img-impasse","suPROLIFIC","630575e5f8bc88efe44ef98c","630563d89f23e3ac8a2142e4","prolific","asynch","TRUE","I tried my best on each question",5,2,4,"Maybe a more concrete guide on how to read the graph would be helpful.",21,"United States","English","Associates Degree","Engineering","Male","no","chrome",1920,929,"Windows 10","2022-08-24T01:20:17.405Z","success","summer22",2,6,11.3473
"7TWDD","SGC3B","221","img-impasse","suPROLIFIC","630575e5f8bc88efe44ef98c","5699cf0625d9e9000db0c789","prolific","asynch","TRUE","I tried my best on each question",3,5,4,"I had never seen a graph like the ones presented here, but I quickly caught on to how they worked. I thought they were a very clever way to diagram the schedules. ",59,"USA","English","Graduate Degree","Natural Sciences","Female","no","chrome",1600,757,"Windows 10","2022-08-24T01:36:08.436Z","success","summer22",1.5,12,21.9567666666667
"6JRLV","SGC3B","211","img-control","suPROLIFIC","6305646d20b66a6b9d44425f","61044034c10d38548dce50dd","prolific","asynch","TRUE","I tried my best on each question",4,4,3,"",22,"USA","English","Bachelors Degree","Social Sciences (incl. CogSci)","Female","No","chrome",1500,889,"Windows 10","2022-08-24T00:39:54.371Z","success","summer22",1,0,9.4287
"XVGF9","SGC3B","221","img-impasse","suPROLIFIC","630575e5f8bc88efe44ef98c","5f80bc3c445c6a13cd7c4fb5","prolific","asynch","TRUE","I tried my best on each question",2,4,5,"",19,"United States","English","some college","Social Sciences (incl. CogSci)","Male","","chrome",1536,714,"Windows 10","2022-08-24T01:34:54.373Z","success","summer22",1,11,9.03988333333333
"G86EF","SGC3B","321","ixv-impasse","suPROLIFIC","6305833e06c2929ccd50f4b9","630563d89f23e3ac8a2142e4","prolific","asynch","TRUE","I tried my best on each question",2,5,5,"Hovering over the event and seeing how the shift times start and end were helpful in understanding how to read the graph.",21,"United States","English","Associates Degree","Engineering","Male","none","chrome",1920,929,"Windows 10","2022-08-24T02:37:38.823Z","success","summer22",1,12,7.02418333333333
"JJPDX","SGC3B","321","ixv-impasse","suPROLIFIC","6305833e06c2929ccd50f4b9","62962c18b210880e85c1fc8e","prolific","asynch","TRUE","I tried my best on most questions",3,3,3,"",29,"united states ","English","Associates Degree","Math or Computer Sciences","Male","no","chrome",1920,937,"Windows 10","2022-08-24T02:50:51.397Z","success","summer22",3,6,14.2693333333333
"ZXKX6","SGC3B","321","ixv-impasse","suPROLIFIC","6305833e06c2929ccd50f4b9","60430fc782b5752a7ae8d797","prolific","asynch","TRUE","I tried my best on each question",3,5,4,"It took awhile to figure out charts but once I understood it questions were easy",40,"United States","English","Graduate Degree","Social Sciences (incl. CogSci)","Female","no","chrome",1536,714,"Windows 10","2022-08-24T03:43:52.776Z","success","summer22",1.5,12,9.44621666666667
"FO3RX","SGC3B","321","ixv-impasse","suPROLIFIC","6305833e06c2929ccd50f4b9","62f6a5e7bd056277be777c68","prolific","asynch","FALSE","I tried my best on each question",1,4,4,"Everything went great, I have no suggestions! :)",19,"United States","English","Associates Degree","Math or Computer Sciences","Male","No.","chrome",1920,937,"Windows 10","2022-08-24T03:06:42.026Z","success","summer22",2,11,11.8947666666667
