"subject","mode","condition","question","score","pretty_condition"
"K83ZA","asynch","11115",12,0,"click-point"
"K83ZA","asynch","11115",13,0,"click-point"
"F6V09","asynch","11115",1,0,"click-point"
"F6V09","asynch","11115",2,0,"click-point"
"F6V09","asynch","11115",3,0,"click-point"
"F6V09","asynch","11115",4,0,"click-point"
"F6V09","asynch","11115",5,0,"click-point"
"F6V09","asynch","11115",6,0,"click-point"
"F6V09","asynch","11115",7,0,"click-point"
"F6V09","asynch","11115",8,0,"click-point"
"F6V09","asynch","11115",9,0,"click-point"
"F6V09","asynch","11115",10,0,"click-point"
"F6V09","asynch","11115",11,0,"click-point"
"F6V09","asynch","11115",12,0,"click-point"
"F6V09","asynch","11115",13,0,"click-point"
"YCA39","asynch","11115",1,0,"click-point"
"YCA39","asynch","11115",2,0,"click-point"
"YCA39","asynch","11115",3,0,"click-point"
"YCA39","asynch","11115",4,0,"click-point"
"YCA39","asynch","11115",5,0,"click-point"
"YCA39","asynch","11115",6,0,"click-point"
"YCA39","asynch","11115",7,0,"click-point"
"YCA39","asynch","11115",8,0,"click-point"
"YCA39","asynch","11115",9,0,"click-point"
"YCA39","asynch","11115",10,0,"click-point"
"YCA39","asynch","11115",11,0,"click-point"
"YCA39","asynch","11115",12,0,"click-point"
"YCA39","asynch","11115",13,0,"click-point"
"4XWJ9","asynch","11115",1,0,"click-point"
"4XWJ9","asynch","11115",2,0,"click-point"
"4XWJ9","asynch","11115",3,0,"click-point"
"4XWJ9","asynch","11115",4,0,"click-point"
"4XWJ9","asynch","11115",5,0,"click-point"
"4XWJ9","asynch","11115",6,0,"click-point"
"4XWJ9","asynch","11115",7,0,"click-point"
"4XWJ9","asynch","11115",8,0,"click-point"
"4XWJ9","asynch","11115",9,0,"click-point"
"4XWJ9","asynch","11115",10,0,"click-point"
"4XWJ9","asynch","11115",11,0,"click-point"
"4XWJ9","asynch","11115",12,0,"click-point"
"4XWJ9","asynch","11115",13,1,"click-point"
"2ZH12","asynch","11115",1,0,"click-point"
"2ZH12","asynch","11115",2,0,"click-point"
"2ZH12","asynch","11115",3,0,"click-point"
"2ZH12","asynch","11115",4,0,"click-point"
"2ZH12","asynch","11115",5,0,"click-point"
"2ZH12","asynch","11115",6,0,"click-point"
"2ZH12","asynch","11115",7,0,"click-point"
"2ZH12","asynch","11115",8,0,"click-point"
"2ZH12","asynch","11115",9,0,"click-point"
"2ZH12","asynch","11115",10,0,"click-point"
"2ZH12","asynch","11115",11,0,"click-point"
"2ZH12","asynch","11115",12,0,"click-point"
"2ZH12","asynch","11115",13,1,"click-point"
"5CNJR","asynch","11115",1,0,"click-point"
"5CNJR","asynch","11115",2,1,"click-point"
"5CNJR","asynch","11115",3,2,"click-point"
"5CNJR","asynch","11115",4,3,"click-point"
"5CNJR","asynch","11115",5,3,"click-point"
"5CNJR","asynch","11115",6,4,"click-point"
"5CNJR","asynch","11115",7,4,"click-point"
"5CNJR","asynch","11115",8,5,"click-point"
"5CNJR","asynch","11115",9,6,"click-point"
"5CNJR","asynch","11115",10,7,"click-point"
"5CNJR","asynch","11115",11,8,"click-point"
"5CNJR","asynch","11115",12,9,"click-point"
"5CNJR","asynch","11115",13,10,"click-point"
"3TPYE","asynch","11115",1,0,"click-point"
"3TPYE","asynch","11115",2,0,"click-point"
"3TPYE","asynch","11115",3,0,"click-point"
"3TPYE","asynch","11115",4,0,"click-point"
"3TPYE","asynch","11115",5,1,"click-point"
"3TPYE","asynch","11115",6,2,"click-point"
"3TPYE","asynch","11115",7,3,"click-point"
"3TPYE","asynch","11115",8,4,"click-point"
"3TPYE","asynch","11115",9,5,"click-point"
"3TPYE","asynch","11115",10,6,"click-point"
"3TPYE","asynch","11115",11,7,"click-point"
"3TPYE","asynch","11115",12,8,"click-point"
"3TPYE","asynch","11115",13,9,"click-point"
"F91EW","asynch","11115",1,0,"click-point"
"F91EW","asynch","11115",2,0,"click-point"
"F91EW","asynch","11115",3,0,"click-point"
"F91EW","asynch","11115",4,0,"click-point"
"F91EW","asynch","11115",5,0,"click-point"
"F91EW","asynch","11115",6,0,"click-point"
"F91EW","asynch","11115",7,0,"click-point"
"F91EW","asynch","11115",8,0,"click-point"
"F91EW","asynch","11115",9,0,"click-point"
"F91EW","asynch","11115",10,0,"click-point"
"F91EW","asynch","11115",11,0,"click-point"
"F91EW","asynch","11115",12,0,"click-point"
"F91EW","asynch","11115",13,0,"click-point"
"61XQA","asynch","11115",1,0,"click-point"
"61XQA","asynch","11115",2,0,"click-point"
"61XQA","asynch","11115",3,0,"click-point"
"61XQA","asynch","11115",4,0,"click-point"
"61XQA","asynch","11115",5,0,"click-point"
"61XQA","asynch","11115",6,0,"click-point"
"61XQA","asynch","11115",7,0,"click-point"
"61XQA","asynch","11115",8,0,"click-point"
"61XQA","asynch","11115",9,0,"click-point"
"61XQA","asynch","11115",10,0,"click-point"
"61XQA","asynch","11115",11,0,"click-point"
"61XQA","asynch","11115",12,0,"click-point"
"61XQA","asynch","11115",13,0,"click-point"
"XNRRS","asynch","11115",1,0,"click-point"
"XNRRS","asynch","11115",2,0,"click-point"
"XNRRS","asynch","11115",3,0,"click-point"
"XNRRS","asynch","11115",4,0,"click-point"
"XNRRS","asynch","11115",5,0,"click-point"
"XNRRS","asynch","11115",6,0,"click-point"
"XNRRS","asynch","11115",7,0,"click-point"
"XNRRS","asynch","11115",8,0,"click-point"
"XNRRS","asynch","11115",9,0,"click-point"
"XNRRS","asynch","11115",10,0,"click-point"
"XNRRS","asynch","11115",11,0,"click-point"
"XNRRS","asynch","11115",12,0,"click-point"
"XNRRS","asynch","11115",13,0,"click-point"
