"subject","session","term","condition","ts_n","tt_n","triangular_score","os_n","ot_n","orthogonal_score","explicit","impasse","axis","triangular_time","totalTime","ts_t","tt_t","attn_check","native_language","year","major","country","sex","age"
"KUHF1","mike","fall17","121",4,10,14,0,2,2,"1","2","full",345506,543814,159499,186007,1,"English","First","Biomedical & Health Sciences","United States","Male",19
"D2B1E","delta","fall17","311",5,9,14,0,1,1,"3","1","full",329203,744048,87468,241735,1,"English","First","Social Sciences (incl. CogSci)","South Korea","Male",18
"5FETT","charlie","fall17","311",3,10,13,0,2,2,"3","1","full",627723,801207,314089,313634,1,"English","Second","Social Sciences (incl. CogSci)","China","Female",19
"7WP84","mike","fall17","211",4,10,14,0,2,2,"2","1","full",414057,707909,172255,241802,1,"English","Fourth","Social Sciences (incl. CogSci)","united states","Male",25
"R2JGD","india","fall17","311",4,9,13,0,1,1,"3","1","full",489660,1124636,204629,285031,1,"English","First","Social Sciences (incl. CogSci)","China","Female",19
"137NC","bravo","fall17","321",4,10,14,0,2,2,"3","2","full",545388,843204,157923,387465,1,"English","Fourth","Social Sciences (incl. CogSci)","United States","Female",21
"TW03E","kilo","fall17","221",5,8,13,0,1,1,"2","2","full",374301,558012,188532,185769,1,"English","First","Social Sciences (incl. CogSci)","United States","Female",18
"JFJSX","india","fall17","211",2,8,10,3,3,6,"2","1","full",566534,702770,177736,388798,1,"English","Second","Humanities","United States of America","Female",19
"ACPUO","kilo","fall17","311",5,9,14,0,2,2,"3","1","full",356279,526583,130275,226004,1,"Spanish","First","Biomedical & Health Sciences","USA","Male",18
"VARPG","hotel","fall17","321",5,9,14,0,2,2,"3","2","full",423544,683970,134892,288652,1,"English","Third","Biomedical & Health Sciences","USA","Female",20
"94FPA","kilo","fall17","321",5,8,13,0,2,2,"3","2","full",451696,638547,198080,253616,1,"English","Third","Biomedical & Health Sciences","United States","Female",20
"R8PM2","charlie","fall17","111",0,2,2,4,10,14,"1","1","full",362278,505184,169373,192905,1,"English","Third","Social Sciences (incl. CogSci)","US","Female",20
"OQB9V","kilo","fall17","111",5,10,15,0,2,2,"1","1","full",271539,433045,94723,176816,1,"English","Second","Social Sciences (incl. CogSci)","USA","Female",19
