"","subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_condition","pretty_mode","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt","item_q1_state","OSPAN.weighted","OSPAN.math_acc","OSPAN.order_acc","z_ospan","ospan_split"
"21","77SKE","111","fall21","asynch","Female",20,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",11.85675,"NULL","NULL","NULL","NULL","control","online-replication",0.865148332060097,6.76057692307692,0.782320620555915,0,0,2,2,-7.5,0.153846153846154,7.99233333333333,36.8876923076923,8.24,111.589,2,8,0,0,3,0,3,0,1,1,"Triangular",54.848,0,-0.5,"?",52.277,0,"Orthogonal",14.839,0,"Orthogonal",41.574,2,-0.5,4.50051666666667,0,-7,3.49181666666667,"tri-like",23,1,0.766666666666667,0.530042220400951,"high-memory"
"22","7BV0L","111","fall21","asynch","Male",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.59305,"NULL","NULL","NULL","NULL","control","online-replication",-0.514750935339171,11.3708333333333,-0.146250808015514,0,0,0,0,-12,0,9.22263333333333,42.566,8.678,175.719,0,11,0,0,2,0,2,0,0,-1,"Orthogonal",22.101,0,-1,"Orthogonal",74.202,0,"Orthogonal",29.318,0,"Orthogonal",31.81,0,-5,3.42503333333333,0,-7,5.7976,"orth-like",28.9655172413793,0.96551724137931,1,1.33717269354493,"high-memory"
"23","7DJGJ","121","fall21","asynch","Female",20,"Other","Third","india","NULL","NULL","NULL","NULL","NULL","NULL",7.85746666666667,"NULL","NULL","NULL","NULL","impasse","online-replication",-0.024116569704805,1.11200980392157,2.66806722689076,0.0384615384615384,0,0,0,-3,0,3.62181666666667,16.7160769230769,0.003,40.599,1,2,3,1,6,3,5,1,0,-1,"Satisfice",40.599,0,1,"Triangular",36.232,0,"Orthogonal",21.499,0,"?",12.394,0,0.5,1.97586666666667,0,-3.5,1.64595,"orth-like",9.6551724137931,0.96551724137931,0.333333333333333,-1.27550398252806,"low-memory"
"24","7METL","111","fall21","asynch","Female",19,"English","Second","India","NULL","NULL","NULL","NULL","NULL","NULL",5.50298333333333,"NULL","NULL","NULL","NULL","control","online-replication",-0.543160026248262,8.08365384615385,-0.741273432449903,0,0,0,0,-10.5,0,2.40061666666667,11.0797692307692,5.054,18.739,0,8,0,0,5,0,5,0,0,-1,"Orthogonal",7.257,0,-0.5,"?",11.208,0,"Orthogonal",15.368,0,"?",18.739,0,-4.5,0.848716666666667,0,-6,1.5519,"orth-like",12.551724137931,0.96551724137931,0.433333333333333,-0.883602481117117,"low-memory"
"25","8BB1M","111","fall21","asynch","Female",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.8747833333333,"NULL","NULL","NULL","NULL","control","online-replication",-1.01475093533917,10.3564102564103,-0.723173884938591,0,0,0,0,-12,0,8.37281666666667,38.6437692307692,7.776,116.994,0,11,0,0,2,0,2,0,0,-1,"Orthogonal",29.439,0,-0.5,"?",69.747,0,"Orthogonal",22.385,0,"Orthogonal",28.008,0,-4.5,3.06541666666667,0,-7.5,5.3074,"orth-like",14.8965517241379,0.931034482758621,0.533333333333333,-0.566348884736825,"low-memory"
"26","8DL90","121","fall21","asynch","Female",22,"English","Third","Japan","NULL","NULL","NULL","NULL","NULL","NULL",2.90885,"NULL","NULL","NULL","NULL","impasse","online-replication",6.6077380952381,-0.646323529411765,5.38141025641026,0.697802197802198,0,7,7,5,0.538461538461538,1.31688333333333,6.07792307692308,1.402,16.301,7,0,1,0,5,1,5,0,1,1,"Triangular",5.379,1,1,"Triangular",5.301,1,"Triangular",16.301,1,"Triangular",7.25,4,4.5,0.614233333333333,3,0.5,0.70265,"tri-like",6.27586206896552,0.896551724137931,0.233333333333333,-1.73272240084083,"low-memory"
"27","8MT4O","121","fall21","asynch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",8.62973333333333,"NULL","NULL","NULL","NULL","impasse","online-replication",-1.10958845076492,4.11200980392157,-0.133645765998707,-0.230769230769231,0,0,0,-7,0,4.68205,21.6094615384615,8.361,40.741,0,5,1,0,7,1,5,2,0,0,"blank",32.442,0,0.5,"Tversky",31.368,0,"Orthogonal",18.394,0,"Orthogonal",28.256,0,-0.5,1.8487,0,-6.5,2.83335,"unknown",17.3793103448276,0.96551724137931,0.6,-0.230433312098863,"low-memory"
"28","8V8HJ","111","fall21","asynch","Female",19,"Spanish","Second","U.S.A","NULL","NULL","NULL","NULL","NULL","NULL",11.4741,"NULL","NULL","NULL","NULL","control","online-replication",-0.752846173434409,8.60416666666667,1.84482062055591,0,0,0,0,-9,0,7.98016666666667,36.8315384615385,8.124,93.837,0,9,2,0,2,2,2,0,0,-1,"Orthogonal",36.623,0,-1,"Orthogonal",51.685,0,"Orthogonal",20.279,0,"Orthogonal",45.236,0,-3,3.46346666666667,0,-6,4.5167,"orth-like",21.4137931034483,0.931034482758621,0.766666666666667,0.315429493437816,"high-memory"
"29","96GEP","121","fall21","asynch","Female",20,"Other","Second","Iraq","NULL","NULL","NULL","NULL","NULL","NULL",14.1287833333333,"NULL","NULL","NULL","NULL","impasse","online-replication",11.2952380952381,0.791176470588235,6.10164835164835,1.26923076923077,0,10,10,9.5,0.769230769230769,10.2820833333333,47.4557692307692,7.113,82.214,11,0,0,1,1,0,1,0,0,-1,"Satisfice",28.269,1,1,"Triangular",82.214,1,"Triangular",41.904,0,"Triangular",75.311,4,3,3.84946666666667,6,6.5,6.43261666666667,"orth-like",16.4137931034483,0.96551724137931,0.566666666666667,-0.361067145902511,"low-memory"
"30","98R7E","111","fall21","asynch","Female",20,"Spanish","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",12.8169333333333,"NULL","NULL","NULL","NULL","control","online-replication",12.9333333333333,-0.602413273001508,8.08974358974359,0,0,12,12,13,0.923076923076923,5.14233333333333,23.7338461538462,6.654,65.962,13,0,0,0,0,0,0,0,1,1,"Triangular",34.264,1,1,"Triangular",22.122,1,"Triangular",41.083,1,"Triangular",17.538,5,5,1.76708333333333,7,8,3.37525,"tri-like",13.448275862069,0.896551724137931,0.5,-0.76229963544229,"low-memory"
