"subject","condition","term","mode","question","q","response","correct","rt_s","num_o","pretty_condition","pretty_mode"
"58DU7","111","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"EF",FALSE,79.083,2,"Orth-Full","online-replication"
"P9XXX","111","winter22","asynch","Which shift(s) start at 11 am?",1,"A",FALSE,11.682,1,"Orth-Full","online-replication"
"P9XXX","111","winter22","asynch","Which shift(s) start at the same time as D?",2,"E",FALSE,13.093,1,"Orth-Full","online-replication"
"P9XXX","111","winter22","asynch","Which shift(s) begin when C ends?",3,"Z",FALSE,34.739,1,"Orth-Full","online-replication"
"P9XXX","111","winter22","asynch","Which shift(s) end at 4 pm?",4,"F",FALSE,61.366,1,"Orth-Full","online-replication"
"P9XXX","111","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"FK",FALSE,51.096,2,"Orth-Full","online-replication"
"P9XXX","111","winter22","asynch","Which shift(s) are six hours long?",6,"EG",TRUE,16.885,2,"Orth-Full","online-replication"
"P9XXX","111","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"BF",FALSE,149.495,2,"Orth-Full","online-replication"
"P9XXX","111","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"CZ",FALSE,29.636,2,"Orth-Full","online-replication"
"P9XXX","111","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"EH",FALSE,2.382,2,"Orth-Full","online-replication"
"P9XXX","111","winter22","asynch","Which shift(s) end at the same time as F?",10,"B",FALSE,5.015,1,"Orth-Full","online-replication"
"P9XXX","111","winter22","asynch","Which shift(s) start at 12pm?",11,"BF",FALSE,9.131,2,"Orth-Full","online-replication"
"P9XXX","111","winter22","asynch","Which shift(s) start at the same time as F?",12,"B",FALSE,6.906,1,"Orth-Full","online-replication"
"P9XXX","111","winter22","asynch","Which 2 shifts end when Z begins?",13,"KX",FALSE,26.28,2,"Orth-Full","online-replication"
"P9XXX","111","winter22","asynch","Which shift(s) end at 3pm?",14,"CX",FALSE,2.626,2,"Orth-Full","online-replication"
