"subject","study","term","pool","mode","condition","pretty_condition","block","explicit","impasse","grid","mark","ixn","gwidth","gheight","graph","time_elapsed_m","question","relation","q","correct","answer","rt_s"
"0DSY0","SGC4B","winter22","sona","asynch","1113","cross","item_test","1","1","1","3","",600,600,"triangular",10.9986666666667,"Which shift(s) start at the same time as F?","starts","12","FALSE","Z",1.434
"0DSY0","SGC4B","winter22","sona","asynch","1113","cross","item_nondiscriminant","1","1","1","3","",600,600,"triangular",11.0311666666667,"Which 2 shifts end when Z begins?","meets","13","FALSE","Z",1.837
"0DSY0","SGC4B","winter22","sona","asynch","1113","cross","item_test","1","1","1","3","",600,600,"triangular",11.0559,"Which shift(s) end at 3pm?","endtime","14","FALSE","Z",1.365
"0DSY0","SGC4B","winter22","sona","asynch","1113","cross","item_test","1","1","1","3","",600,600,"triangular",11.1018666666667,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE","Z",2.529
"ZXSMS","SGC4B","winter22","sona","asynch","1112","arrow","item_scaffold","1","1","1","2","",600,600,"triangular",2.78488333333333,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",60.633
"ZXSMS","SGC4B","winter22","sona","asynch","1112","arrow","item_scaffold","1","1","1","2","",600,600,"triangular",3.83738333333333,"Which shift(s) start at the same time as D?","starts","2","FALSE","E",62.933
"ZXSMS","SGC4B","winter22","sona","asynch","1112","arrow","item_scaffold","1","1","1","2","",600,600,"triangular",4.69475,"Which shift(s) begin when C ends?","meets","3","FALSE","Z",51.229
"ZXSMS","SGC4B","winter22","sona","asynch","1112","arrow","item_scaffold","1","1","1","2","",600,600,"triangular",6.66271666666667,"Which shift(s) end at 4 pm?","endtime","4","FALSE","U",118.009
"ZXSMS","SGC4B","winter22","sona","asynch","1112","arrow","item_scaffold","1","1","1","2","",600,600,"triangular",17.63995,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE","I,U",658.43
"ZXSMS","SGC4B","winter22","sona","asynch","1112","arrow","item_nondiscriminant","1","1","1","2","",600,600,"triangular",18.1530333333333,"Which shift(s) are six hours long?","duration","6","FALSE","E",21.595
"ZXSMS","SGC4B","winter22","sona","asynch","1112","arrow","item_test","1","1","1","2","",600,600,"triangular",18.7535166666667,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","B,F",35.953
"ZXSMS","SGC4B","winter22","sona","asynch","1112","arrow","item_test","1","1","1","2","",600,600,"triangular",21.8526666666667,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","E",185.876
"ZXSMS","SGC4B","winter22","sona","asynch","1112","arrow","item_nondiscriminant","1","1","1","2","",600,600,"triangular",23.4217166666667,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","TRUE","I",93.929
"ZXSMS","SGC4B","winter22","sona","asynch","1112","arrow","item_test","1","1","1","2","",600,600,"triangular",26.5750833333333,"Which shift(s) end at the same time as F?","ends","10","FALSE","X",188.991
"ZXSMS","SGC4B","winter22","sona","asynch","1112","arrow","item_test","1","1","1","2","",600,600,"triangular",27.2030833333333,"Which shift(s) start at 12pm?","starttime","11","FALSE","B,F",37.465
"ZXSMS","SGC4B","winter22","sona","asynch","1112","arrow","item_test","1","1","1","2","",600,600,"triangular",27.60505,"Which shift(s) start at the same time as F?","starts","12","FALSE","B",24.045
"ZXSMS","SGC4B","winter22","sona","asynch","1112","arrow","item_nondiscriminant","1","1","1","2","",600,600,"triangular",30.4279,"Which 2 shifts end when Z begins?","meets","13","FALSE","F,X",169.303
"ZXSMS","SGC4B","winter22","sona","asynch","1112","arrow","item_test","1","1","1","2","",600,600,"triangular",31.3158166666667,"Which shift(s) end at 3pm?","endtime","14","FALSE","B",53.051
"ZXSMS","SGC4B","winter22","sona","asynch","1112","arrow","item_test","1","1","1","2","",600,600,"triangular",35.8964333333333,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE","E,F",274.771
"M3EKH","SGC4B","winter22","sona","asynch","1112","arrow","item_scaffold","1","1","1","2","",600,600,"triangular",1.41273333333333,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",25.03
"M3EKH","SGC4B","winter22","sona","asynch","1112","arrow","item_scaffold","1","1","1","2","",600,600,"triangular",1.84423333333333,"Which shift(s) start at the same time as D?","starts","2","FALSE","E",25.808
"M3EKH","SGC4B","winter22","sona","asynch","1112","arrow","item_scaffold","1","1","1","2","",600,600,"triangular",2.15753333333333,"Which shift(s) begin when C ends?","meets","3","FALSE","A",18.724
"M3EKH","SGC4B","winter22","sona","asynch","1112","arrow","item_scaffold","1","1","1","2","",600,600,"triangular",4.20698333333333,"Which shift(s) end at 4 pm?","endtime","4","FALSE","D,E",122.892
"M3EKH","SGC4B","winter22","sona","asynch","1112","arrow","item_scaffold","1","1","1","2","",600,600,"triangular",4.9025,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","TRUE","O",41.15
"M3EKH","SGC4B","winter22","sona","asynch","1112","arrow","item_nondiscriminant","1","1","1","2","",600,600,"triangular",5.64405,"Which shift(s) are six hours long?","duration","6","TRUE","E,G",32.59
"M3EKH","SGC4B","winter22","sona","asynch","1112","arrow","item_test","1","1","1","2","",600,600,"triangular",6.31673333333333,"Which 2 shifts less than 5 hours long start at the same time?","duration+starts","7","FALSE","B,F",40.281
"M3EKH","SGC4B","winter22","sona","asynch","1112","arrow","item_test","1","1","1","2","",600,600,"triangular",8.36298333333333,"Which shift(s) under 7 hours long starts before B starts, and ends after X ends?","duration+contained","8","FALSE","D,E,H,I,J,N,O,Z",122.661
"M3EKH","SGC4B","winter22","sona","asynch","1112","arrow","item_nondiscriminant","1","1","1","2","",600,600,"triangular",8.91721666666667,"Which shift(s) begins before J begins and ends during B?","starttime+before+endtime+during","9","FALSE","F,I",33.024
"M3EKH","SGC4B","winter22","sona","asynch","1112","arrow","item_test","1","1","1","2","",600,600,"triangular",9.13396666666667,"Which shift(s) end at the same time as F?","ends","10","FALSE","B",12.93
"M3EKH","SGC4B","winter22","sona","asynch","1112","arrow","item_test","1","1","1","2","",600,600,"triangular",9.34793333333333,"Which shift(s) start at 12pm?","starttime","11","FALSE","B,F",12.747
"M3EKH","SGC4B","winter22","sona","asynch","1112","arrow","item_test","1","1","1","2","",600,600,"triangular",11.3388,"Which shift(s) start at the same time as F?","starts","12","FALSE","B",119.366
"M3EKH","SGC4B","winter22","sona","asynch","1112","arrow","item_nondiscriminant","1","1","1","2","",600,600,"triangular",12.3048333333333,"Which 2 shifts end when Z begins?","meets","13","FALSE","",57.739
"M3EKH","SGC4B","winter22","sona","asynch","1112","arrow","item_test","1","1","1","2","",600,600,"triangular",13.1048666666667,"Which shift(s) end at 3pm?","endtime","14","FALSE","B",47.915
"M3EKH","SGC4B","winter22","sona","asynch","1112","arrow","item_test","1","1","1","2","",600,600,"triangular",15.3673666666667,"Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?","midpoint","15","FALSE","",135.663
"TU9C4","SGC4B","winter22","sona","asynch","1112","arrow","item_scaffold","1","1","1","2","",600,600,"triangular",1.22078333333333,"Which shift(s) start at 11 am?","starttime","1","FALSE","A",20.121
"TU9C4","SGC4B","winter22","sona","asynch","1112","arrow","item_scaffold","1","1","1","2","",600,600,"triangular",1.44313333333333,"Which shift(s) start at the same time as D?","starts","2","FALSE","E",13.231
"TU9C4","SGC4B","winter22","sona","asynch","1112","arrow","item_scaffold","1","1","1","2","",600,600,"triangular",1.77896666666667,"Which shift(s) begin when C ends?","meets","3","FALSE","O",20.046
"TU9C4","SGC4B","winter22","sona","asynch","1112","arrow","item_scaffold","1","1","1","2","",600,600,"triangular",2.03173333333333,"Which shift(s) end at 4 pm?","endtime","4","FALSE","K,U",15.066
"TU9C4","SGC4B","winter22","sona","asynch","1112","arrow","item_scaffold","1","1","1","2","",600,600,"triangular",2.44651666666667,"Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?","midpoint","5","FALSE","J,K",24.784
