"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_condition","pretty_mode","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"3QO3J","111","fall17","lab-synch","Female",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.87085,"NULL","NULL","NULL","NULL","control","laboratory",0.919525082760377,3.07934443007972,2.00301659125189,0,0,2,2,-4.5,0.153846153846154,3.43303333333333,15.8447692307692,5.403,30.711,2,4,1,0,6,1,6,0,1,1,"Triangular",17.607,0,-0.5,"?",10.35,0,"Orthogonal",27.558,1,"Triangular",11.654,1,-0.5,1.40091666666667,1,-4,2.03211666666667
"4FETN","121","spring18","lab-synch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",11.7670166666667,"NULL","NULL","NULL","NULL","impasse","laboratory",11.9285714285714,-0.213585434173669,6.43498168498169,1.76923076923077,0,12,12,11,0.923076923076923,6.38151666666667,29.4531538461538,9.947,57.191,12,0,0,1,0,0,0,0,0,-1,"Satisfice",57.191,1,1,"Triangular",29.416,1,"Triangular",53.428,1,"Triangular",18.654,4,3,3.02801666666667,8,8,3.3535
"4GSTQ","111","fall17","lab-synch","Male",22,"English","Fifth","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",13.4211833333333,"NULL","NULL","NULL","NULL","control","laboratory",-0.586179506767742,12.5,-0.217679379444085,0,0,0,0,-13,0,8.23256666666667,37.9964615384615,6.992,118.586,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",35.883,0,-1,"Orthogonal",118.586,0,"Orthogonal",19.592,0,"Orthogonal",40.501,0,-5,4.58598333333333,0,-8,3.64658333333333
"4RGO3","111","spring18","lab-synch","Male",21,"English","Fourth","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",20.2828166666667,"NULL","NULL","NULL","NULL","control","laboratory",-0.514750935339171,12,-0.146250808015514,0,0,0,0,-12.5,0,12.8587333333333,59.348,8.59,163.99,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",21.581,0,-1,"Orthogonal",109.307,0,"Orthogonal",29.56,0,"Orthogonal",96.642,0,-4.5,6.07521666666667,0,-8,6.78351666666667
"5EWM2","121","fall17","lab-synch","Male",25,"English","Fifth","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.83036666666667,"NULL","NULL","NULL","NULL","impasse","laboratory",0.493040293040293,5.9375,1.89173938806292,0.615384615384615,1,0,0,-6,0,5.90681666666667,27.2622307692308,8.214,56.959,0,6,3,1,3,3,1,2,0,-1,"Satisfice",27.155,0,0.5,"Tversky",56.959,0,"Orthogonal",19.333,0,"Orthogonal",35.53,0,-0.5,2.92183333333333,0,-5.5,2.98498333333333
"5WPCV","121","fall17","lab-synch","Male",18,"English","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",17.8298,"NULL","NULL","NULL","NULL","impasse","laboratory",-0.340508511096746,8,-0.581232492997199,1.5,0,0,0,-10,0,14.6468166666667,67.6006923076923,8.813,203.832,0,8,0,2,3,0,0,3,0,0,"blank",28.97,0,-1,"Satisfice",131.965,0,"Orthogonal",40.097,0,"Orthogonal",86.843,0,-2,9.96513333333333,0,-8,4.68168333333333
"67NP2","121","spring18","lab-synch","Male",20,"English","Third","India","NULL","NULL","NULL","NULL","NULL","NULL",14.1253333333333,"NULL","NULL","NULL","NULL","impasse","laboratory",5.73224789915966,4.4875,3.12615815556992,0.620879120879121,0,5,5,-1,0.384615384615385,10.4259166666667,48.1196153846154,9.141,109.821,5,6,0,0,2,1,1,0,1,1,"Triangular",43.318,1,1,"Triangular",45.179,0,"Orthogonal",18.966,1,"Triangular",21.582,4,4.5,4.69468333333333,1,-5.5,5.73123333333333
"6G1ZR","111","fall17","lab-synch","Female",20,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",8.32168333333333,"NULL","NULL","NULL","NULL","control","laboratory",-0.514750935339171,11.9375,-0.146250808015514,0,0,0,0,-12.5,0,5.4033,24.9383076923077,10.544,39.796,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",30.915,0,-1,"Orthogonal",39.796,0,"Orthogonal",26.394,0,"Orthogonal",38.669,0,-5,2.15533333333333,0,-7.5,3.24796666666667
"6MWHZ","121","spring18","lab-synch","Female",23,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.2771666666667,"NULL","NULL","NULL","NULL","impasse","laboratory",8.44363553113553,0.353081232492997,6.53113553113553,-0.0402930402930403,0,8,8,8,0.615384615384615,10.0275166666667,46.2808461538462,6.442,118.961,8,1,3,0,1,3,1,0,0,0.5,"Tversky",79.982,1,1,"Triangular",36.881,0,"Orthogonal",76.075,1,"Triangular",44.144,3,4,5.12593333333333,5,4,4.90158333333333
"6Y93F","111","spring18","lab-synch","Male",22,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",17.8723333333333,"NULL","NULL","NULL","NULL","control","laboratory",0.270963350375115,11.1794871794872,-1.01438267614738,0,0,0,0,-12,0,14.2038,65.556,21.803,129.807,0,11,0,0,2,0,2,0,0,-1,"Orthogonal",102.636,0,-0.5,"?",129.807,0,"Orthogonal",37.869,0,"Orthogonal",83.324,0,-4,6.49718333333333,0,-8,7.70661666666667
"781AU","111","spring18","lab-synch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",16.52815,"NULL","NULL","NULL","NULL","control","laboratory",-0.444675177763413,8.77083333333333,0.749582525317819,0,1,0,0,-8.5,0,10.8264666666667,49.9683076923077,9.476,139.274,0,9,2,0,2,2,1,1,0,-1,"Orthogonal",18.289,0,0,"reference",139.274,0,"Orthogonal",51.633,0,"Orthogonal",80.938,0,-2.5,5.21021666666667,0,-6,5.61625
"7L4J4","111","fall17","lab-synch","Female",20,"Other","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.78185,"NULL","NULL","NULL","NULL","control","laboratory",-0.514750935339171,11.9230769230769,-0.723173884938591,0,0,0,0,-12.5,0,9.53765,44.0199230769231,9.137,161.121,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",43.481,0,-0.5,"?",161.121,0,"Orthogonal",31.043,0,"Orthogonal",82.157,0,-4.5,4.98828333333333,0,-8,4.54936666666667
"808YR","121","spring18","lab-synch","Female",20,"Other","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",14.2720833333333,"NULL","NULL","NULL","NULL","impasse","laboratory",-0.498521331609567,6.35714285714286,-0.666168390433096,0.83974358974359,0,0,0,-9,0,10.1774166666667,46.9726923076923,7.962,122.357,0,7,0,1,5,0,2,3,0,0,"blank",95.264,0,0,"blank",84.069,0,"Orthogonal",18.309,0,"Orthogonal",39.007,0,-1.5,7.32193333333333,0,-7.5,2.85548333333333
