"subject","condition","term","mode","question","q","response","correct","rt_s","num_o","pretty_condition","pretty_mode","IMPASSE","score_TRI","score_ORTH","score_BOTH","score_SAT_left","score_SAT_right","score_TV_max","score_TV_start","score_TV_end","score_TV_duration","score_REF","score_ABS","score_niceABS","score_TVERSKY","tv_type","score_SATISFICE","sat_type","top_score","top_type","range","int2","interpretation","high_interpretation","score_SCALED","score_STATE"
"OUCFL","121","fall21","asynch","starts",12,"G",TRUE,14.251,1,"impasse","online-replication","IMPASSE",1,-0.0625,0.5,NA,NA,0.5,1,NA,-0.0625,0,1,1,1,"score_TV_start",NA,NA,1,"score_TRI",1.0625,"Triangular","Triangular","triangular",1,"tri-like"
"OUCFL","121","fall21","asynch","meets",13,"CH",FALSE,25.414,2,"impasse","online-replication","IMPASSE",-0.133333333333333,-0.133333333333333,-0.133333333333333,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,-0.133333333333333,"score_TRI",0,"?","?","neg.trans",-0.5,"unknown"
"OUCFL","121","fall21","asynch","endtime",14,"X",TRUE,27.078,1,"impasse","online-replication","IMPASSE",1,-0.0588235294117647,0.5,NA,NA,0.25,NA,1,-0.0666666666666667,0,1,1,1,"score_TV_end",NA,NA,1,"score_TRI",1.05882352941176,"Triangular","Triangular","triangular",1,"tri-like"
"OUCFL","121","fall21","asynch","midpoint",15,"E",FALSE,28.629,1,"impasse","online-replication","IMPASSE",-0.0625,0.5,0.25,NA,NA,-0.0666666666666667,-0.0588235294117647,NA,NA,0,0,0,-0.0588235294117647,"score_TV_start",NA,NA,0.5,"score_ORTH",0.5625,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"KT7ZF","121","fall21","asynch","starttime",1,"O",FALSE,37.974,1,"impasse","online-replication","IMPASSE",-0.0714285714285714,NA,NA,1,-0.0769230769230769,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,0,0,0,-0.0714285714285714,"score_TV_start",1,"score_SAT_left",1,"score_SATISFICE",1.07142857142857,"Satisfice","Satisfice","orthogonal",-1,"orth-like"
"KT7ZF","121","fall21","asynch","starts",2,"G",FALSE,28.856,1,"impasse","online-replication","IMPASSE",-0.0833333333333333,NA,NA,NA,1,-0.111111111111111,-0.0833333333333333,-0.0833333333333333,-0.0769230769230769,0,0,0,-0.0769230769230769,"score_TV_duration",1,"score_SAT_right",1,"score_SATISFICE",1.08333333333333,"Satisfice","Satisfice","orthogonal",-1,"orth-like"
"KT7ZF","121","fall21","asynch","meets",3,"Z",FALSE,16.436,1,"impasse","online-replication","IMPASSE",-0.0769230769230769,NA,NA,-0.0833333333333333,-0.0769230769230769,-0.0833333333333333,-0.0769230769230769,NA,-0.0769230769230769,0,0,0,-0.0769230769230769,"score_TV_start",-0.0769230769230769,"score_SAT_right",-0.0769230769230769,"score_TRI",0,"?","?","neg.trans",-0.5,"unknown"
"KT7ZF","121","fall21","asynch","endtime",4,"AFG",FALSE,23.391,3,"impasse","online-replication","IMPASSE",-0.214285714285714,NA,NA,0.346153846153846,NA,-0.230769230769231,-0.214285714285714,-0.214285714285714,NA,0,0,0,-0.214285714285714,"score_TV_start",0.346153846153846,"score_SAT_left",0.346153846153846,"score_SATISFICE",0.56043956043956,"Satisfice","Satisfice","orthogonal",-1,"orth-like"
"KT7ZF","121","fall21","asynch","midpoint",5,"AFG",FALSE,17.033,3,"impasse","online-replication","IMPASSE",0.846153846153846,NA,NA,0.151515151515151,-0.230769230769231,-0.25,-0.25,NA,NA,0,0,0,-0.25,"score_TV_max",0.151515151515151,"score_SAT_left",0.846153846153846,"score_TRI",1.09615384615385,"Triangular","Triangular","triangular",1,"tri-like"
"KT7ZF","121","fall21","asynch","duration",6,"EG",TRUE,9.43,2,"impasse","online-replication","IMPASSE",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans",0.5,"tri-like"
"KT7ZF","121","fall21","asynch","duration+starts",7,"FZ",FALSE,39.976,2,"impasse","online-replication","IMPASSE",-0.125,0.433333333333333,0.178571428571429,NA,NA,0.025,-0.125,0.178571428571429,-0.125,0,0,0,0.178571428571429,"score_TV_end",NA,NA,0.433333333333333,"score_ORTH",0.558333333333333,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"KT7ZF","121","fall21","asynch","duration+contained",8,"EFI",FALSE,118.577,3,"impasse","online-replication","IMPASSE",-0.2,0.928571428571429,0.375,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0.928571428571429,"score_ORTH",1.12857142857143,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"KT7ZF","121","fall21","asynch","starttime+before+endtime+during",9,"I",TRUE,8.919,1,"impasse","online-replication","IMPASSE",1,1,1,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,NA,1,"score_TRI",0,"both tri + orth","both tri + orth","pos.trans",0.5,"tri-like"
"KT7ZF","121","fall21","asynch","ends",10,"Z",FALSE,8.399,1,"impasse","online-replication","IMPASSE",-0.0625,-0.0625,-0.0625,NA,NA,0.333333333333333,-0.0625,-0.0625,1,0,0,0,1,"score_TV_duration",NA,NA,1,"score_TVERSKY",1.0625,"Tversky","Tversky","pos.trans",0.5,"tri-like"
"KT7ZF","121","fall21","asynch","starttime",11,"M",FALSE,9.482,1,"impasse","online-replication","IMPASSE",0.5,-0.0625,0.25,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0.5,"score_TRI",0.5625,"Triangular","Triangular","triangular",1,"tri-like"
"KT7ZF","121","fall21","asynch","starts",12,"B",FALSE,12.055,1,"impasse","online-replication","IMPASSE",-0.0625,1,0.5,NA,NA,-0.0666666666666667,-0.0625,NA,-0.0625,0,0,0,-0.0625,"score_TV_start",NA,NA,1,"score_ORTH",1.0625,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"KT7ZF","121","fall21","asynch","meets",13,"DJNX",FALSE,46.037,4,"impasse","online-replication","IMPASSE",-0.266666666666667,0.3,0.133333333333333,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0.3,"score_ORTH",0.566666666666667,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"KT7ZF","121","fall21","asynch","endtime",14,"BIO",FALSE,10.176,3,"impasse","online-replication","IMPASSE",-0.176470588235294,0.882352941176471,0.375,NA,NA,-0.214285714285714,NA,-0.176470588235294,-0.2,0,0,0,-0.176470588235294,"score_TV_end",NA,NA,0.882352941176471,"score_ORTH",1.05882352941176,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"KT7ZF","121","fall21","asynch","midpoint",15,"DJNX",FALSE,17.13,4,"impasse","online-replication","IMPASSE",0.3125,-0.266666666666667,0.0357142857142857,NA,NA,0.133333333333333,-0.235294117647059,NA,NA,0,0,0,0.133333333333333,"score_TV_max",NA,NA,0.3125,"score_TRI",0.579166666666667,"Triangular","Triangular","triangular",1,"tri-like"
"WWMDF","111","fall21","asynch","starttime",1,"A",FALSE,20.634,1,"control","online-replication","none",-0.0769230769230769,1,0.5,NA,NA,-0.0833333333333333,-0.0769230769230769,-0.0714285714285714,NA,0,0,0,-0.0714285714285714,"score_TV_end",NA,NA,1,"score_ORTH",1.07692307692308,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"WWMDF","111","fall21","asynch","starts",2,"E",FALSE,11.497,1,"control","online-replication","none",-0.0833333333333333,1,0.5,NA,NA,-0.111111111111111,-0.0909090909090909,-0.0769230769230769,-0.0769230769230769,0,0,0,-0.0769230769230769,"score_TV_end",NA,NA,1,"score_ORTH",1.08333333333333,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"WWMDF","111","fall21","asynch","meets",3,"Z",FALSE,16.072,1,"control","online-replication","none",0,1,0.5,NA,NA,-0.125,-0.0833333333333333,0,-0.0909090909090909,0,0,0,0,"score_TV_end",NA,NA,1,"score_ORTH",1,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
"WWMDF","111","fall21","asynch","endtime",4,"U",FALSE,46.944,1,"control","online-replication","none",-0.0714285714285714,1,0.5,NA,NA,-0.0769230769230769,-0.0714285714285714,-0.0714285714285714,NA,0,0,0,-0.0714285714285714,"score_TV_start",NA,NA,1,"score_ORTH",1.07142857142857,"Orthogonal","Orthogonal","orthogonal",-1,"orth-like"
