"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","pretty_condition","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_rt","item_test_NABS","item_test_rt"
"E6KMK","111","fall21","asynch","Female",25,"Spanish","Fifth","Mexico","NULL","NULL","NULL","NULL","NULL","NULL",25.9779666666667,"control",-0.760421931010166,8.51698717948718,0.0323206205559147,0,0,0,0,-10,16.1721333333333,74.6406153846154,13.342,166.658,0,9,1,0,3,1,3,0,0,"Orthogonal",24.356,0,"Tversky",104.877,0,"Orthogonal",17.27,0,"Orthogonal",166.658,0,257.52,0,712.808
"E9SDE","121","fall21","asynch","Female",19,"English","Second","United States\nUnited States","NULL","NULL","NULL","NULL","NULL","NULL",13.3792333333333,"impasse",1.19363553113553,3.17867647058824,1.33305860805861,0.262820512820513,0,1,1,-4.5,10.7186666666667,49.4707692307692,4.275,222.162,1,3,1,1,7,1,4,3,0,"blank",78.251,0,"?",222.162,0,"Tversky",29.961,0,"?",38.651,0,370.87,1,272.25
"EA6YH","111","fall21","asynch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",14.35875,"control",-1.18493173493173,6.98365384615385,-0.242189183365654,0,0,0,0,-9,9.57145,44.1759230769231,9.837,103.325,0,8,1,0,4,1,3,1,0,"Orthogonal",19.506,0,"Tversky",54.768,0,"Orthogonal",52.411,0,"Orthogonal",99,0,175.422,0,398.865
"EBSH0","111","winter22","asynch","Female",20,"X-Other","Third","u.s","I tried my best on most questions","4","2","2","","",11.94095,"control",1.50472958414135,6.43876319758673,0.508968972204266,0,1,1,1,-7,8.67218333333333,40.0254615384615,5.899,133.731,2,8,0,0,3,0,2,1,0,"Orthogonal",12.432,1,"Triangular",11.513,0,"Orthogonal",20.526,0,"Orthogonal",33.525,1,48.588,0,471.743
"EBSJV","111","winter22","asynch","Female",19,"English","First","U.S","I tried my best on most questions","4","3","4","INSTRUCTIONS ON HOW TO READ THE GRAPH.","NO.",12.72805,"control",-1.26458859767683,3.12899698340875,-0.164808230984702,0,0,0,0,-8.5,6.49256666666667,29.9656923076923,9.691,60.729,0,4,0,0,9,0,9,0,0,"Orthogonal",24.993,0,"?",50.766,0,"?",21.875,0,"?",39.805,0,142.21,0,247.344
"EC0K7","111","fall17","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.534,"control",-1.01475093533917,12.5,-0.146250808015514,0,0,0,0,-13,8.94171666666667,41.2694615384615,8.397,149.386,0,13,0,0,0,0,0,0,0,"Orthogonal",38.747,0,"Orthogonal",149.386,0,"Orthogonal",32.229,0,"Orthogonal",32.773,0,275.709,0,260.794
"ECJQV","121","fall21","asynch","Female",20,"Spanish","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",4.31043333333333,"impasse",0.733301012712777,0.157843137254902,1.79398297780651,2.76923076923077,0,1,1,-2,2.6907,12.4186153846154,2.549,44.211,2,1,3,2,5,3,5,0,0,"Satisfice",23.759,0,"Triangular",44.211,0,"Tversky",16.178,0,"?",3.451,1,115.9,0,45.542
"EENOM","111","fall17","lab-synch","Female",19,"English","Second","usa","NULL","NULL","NULL","NULL","NULL","NULL",11.0401666666667,"control",-0.669512840101075,10.7333333333333,0.115653953889248,0,0,0,0,-12,7.82546666666667,36.1175384615385,5.542,115.512,0,11,0,0,2,0,2,0,0,"Orthogonal",14.161,0,"Orthogonal",115.512,0,"Orthogonal",19.989,0,"Orthogonal",44.915,0,193.447,0,276.081
"EFTYS","111","fall17","lab-synch","Male",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.9688333333333,"control",-0.577250935339171,12.9375,0.853749191984486,0,0,0,0,-11.5,7.6111,35.1281538461538,8.877,83.132,0,12,1,0,0,1,0,0,0,"Orthogonal",46.04,0,"Orthogonal",83.132,0,"Orthogonal",16.986,0,"Orthogonal",43.055,0,241.283,0,215.383
"EGP0T","111","spring18","lab-synch","Female",18,"Mandarin or Cantonese","First","TAIWAN","NULL","NULL","NULL","NULL","NULL","NULL",10.9014833333333,"control",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,6.96361666666667,32.1397692307692,8.228,114.486,0,13,0,0,0,0,0,0,0,"Orthogonal",20.331,0,"Orthogonal",114.486,0,"Orthogonal",27.275,0,"Orthogonal",33.667,0,199.406,0,218.411
"EH3ED","121","winter22","asynch","Male",21,"English","Fourth","United States","I tried my best on each question","5","2","4","","",12.2307333333333,"impasse",0.504729584141349,8,-0.806507218271924,2.84615384615385,0,1,1,-10,8.942,41.2707692307692,6.154,123.11,1,8,0,2,2,0,2,0,0,"Satisfice",32.054,0,"?",101.888,0,"Orthogonal",15.612,0,"Orthogonal",57.184,1,231.849,0,304.671
"EMKFA","121","fall21","asynch","Female",22,"Spanish","Fifth","U.S.","NULL","NULL","NULL","NULL","NULL","NULL",11.0659833333333,"impasse",5.39271978021978,1.41200980392157,7.52083333333333,-0.379120879120879,0,6,6,4.5,6.18191666666667,28.5319230769231,10.914,70.405,6,2,3,0,2,3,2,0,0,"Tversky",70.405,1,"Triangular",32.444,1,"Triangular",36.589,1,"Triangular",21.993,2,193.248,4,177.667
"EN7PB","111","fall17","lab-synch","Male",19,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.8360833333333,"control",-0.511937082525318,8.73333333333333,-0.801012712777419,0,0,0,0,-10,6.67921666666667,30.8271538461538,7.2,161.026,0,9,0,0,4,0,2,2,0,"Orthogonal",19.132,0,"blank",161.026,0,"Orthogonal",16.563,0,"Orthogonal",34.032,0,214.997,0,185.756
"EZ7J5","111","fall21","asynch","Male",25,"English","Fifth","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.73481666666667,"control",5.93081501831502,3.73092006033183,3.1782967032967,0,0,6,6,2,6.02593333333333,27.812,7.414,85.111,7,4,0,0,2,0,2,0,0,"Orthogonal",11.937,1,"Triangular",26.226,0,"Orthogonal",28.22,0,"Triangular",85.111,1,74.123,5,287.433
"F3GZE","111","spring18","lab-synch","Male",19,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",14.3365666666667,"control",10.6105769230769,-0.835746606334842,7.1066776360894,0,0,9,9,9,8.91068333333333,41.1262307692308,8.823,102.206,9,0,2,0,2,2,2,0,0,"Tversky",42.094,1,"Triangular",101.333,1,"Triangular",30.583,0,"?",89.734,2,302.206,7,232.435
"F49JC","121","fall17","lab-synch","Male",18,"Mandarin or Cantonese","First","Taiwan","NULL","NULL","NULL","NULL","NULL","NULL",13.0758333333333,"impasse",10.2051282051282,0.157843137254902,7.00641025641026,0.236263736263736,0,10,10,8,8.51755,39.3117692307692,5.689,149.093,10,1,0,0,2,0,2,0,1,"Triangular",103.059,0,"frenzy",149.093,1,"Triangular",19.217,1,"Triangular",40.747,4,344.941,6,166.112
"F4XPD","111","fall21","asynch","Male",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.4601,"control",-0.514750935339171,11.9230769230769,-0.723173884938591,0,0,0,0,-12.5,6.7033,30.9383076923077,8.382,77.545,0,12,0,0,1,0,1,0,0,"Orthogonal",22.785,0,"?",36.383,0,"Orthogonal",20.3,0,"Orthogonal",51.818,0,158.776,0,243.422
"F86ZM","111","fall21","asynch","Female",19,"Mandarin or Cantonese","Second","China","NULL","NULL","NULL","NULL","NULL","NULL",12.3259333333333,"control",-0.530089763177998,6.42307692307692,-0.170760611937083,0,0,0,0,-9,9.06973333333333,41.8603076923077,7.42,123.912,0,7,1,0,5,1,5,0,0,"?",123.912,0,"Tversky",58.11,0,"Orthogonal",15.55,0,"?",61.328,0,356.432,0,187.752
"FDRWD","111","fall21","asynch","Male",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",15.3750833333333,"control",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,9.48938333333333,43.7971538461538,4.091,119.319,0,13,0,0,0,0,0,0,0,"Orthogonal",25.574,0,"Orthogonal",119.319,0,"Orthogonal",35.244,0,"Orthogonal",53.814,0,276.111,0,293.252
"FGMSN","121","fall17","lab-synch","Female",33,"English","Fourth","U.A.E","NULL","NULL","NULL","NULL","NULL","NULL",11.8982666666667,"impasse",0.659491488903254,6.37083333333333,1.45675770308123,0.846153846153846,1,0,0,-5,9.23418333333333,42.6193076923077,11.926,123.396,1,6,2,1,3,2,0,3,0,"Satisfice",27.885,0,"Triangular",33.799,0,"Orthogonal",39.946,0,"Tversky",18.451,0,324.411,0,229.64
"FPSQJ","121","winter22","asynch","Female",21,"Spanish","Fourth","United States","I tried my best on each question","4","3","5","N/A","No",5.9331,"impasse",11.8666666666667,-0.275490196078431,7.50641025641026,0.697802197802198,0,12,12,11.5,3.1107,14.3570769230769,6.692,43.869,12,0,0,0,1,0,1,0,1,"Triangular",6.692,1,"Triangular",18.86,1,"Triangular",21.205,1,"Triangular",9.778,5,64.674,7,121.968
"FSWW4","121","spring18","lab-synch","Female",20,"Spanish","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",19.03525,"impasse",9.35970695970696,0.65,5.28113553113553,-0.0402930402930403,0,8,8,6.5,14.4340666666667,66.6187692307692,9.499,315.445,8,0,1,1,3,1,2,1,0,"Tversky",161.362,1,"Triangular",315.445,1,"Triangular",71.113,1,"Triangular",16.098,2,666.28,6,199.764
"FU11G","121","spring18","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",20.8083166666667,"impasse",1.010407239819,3.0531862745098,3.55542986425339,-0.307692307692308,0,1,1,-2,7.9732,36.7993846153846,8.939,82.955,2,3,2,0,6,2,4,2,0,"blank",50.301,0,"Tversky",58.688,0,"Orthogonal",16.842,0,"Tversky",18.061,1,213.352,0,265.04
"FUV6R","121","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",13.1109,"impasse",8.65357142857143,1.99117647058824,5.30998168498169,1.26923076923077,0,9,9,6.5,7.58893333333333,35.0258461538462,7.048,88.236,9,2,1,1,0,1,0,0,0,"Satisfice",67.765,1,"Triangular",29.433,0,"Orthogonal",37.971,1,"Triangular",15.205,3,249.47,6,205.866
"G0CPA","111","fall17","lab-synch","Male",23,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",9.21901666666667,"control",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,6.02471666666667,27.8063846153846,6.073,47.389,0,13,0,0,0,0,0,0,0,"Orthogonal",41.765,0,"Orthogonal",39.923,0,"Orthogonal",17.314,0,"Orthogonal",23.049,0,171.521,0,189.962
"G1GGZ","121","winter22","asynch","Female",23,"English","Third","United States","I tried my best on each question","3","3","5","I am very perplexed by the first round of questions because from my observations (which could definitely be wrong) there were no correct answers so I left them blank and clicked submit. So please do not think I was not participating or not trying from those first round of submissions. I just did not see that there was answer so I submitted it blank as an answer. That is all. Thank you!","",22.2724833333333,"impasse",-0.269079939668175,8,-0.509803921568627,-0.0769230769230769,0,0,0,-8.5,12.3547833333333,57.0220769230769,17.818,127.76,0,8,0,0,5,0,1,4,0,"blank",127.76,0,"?",89.046,0,"Orthogonal",26.446,0,"Orthogonal",51.6,0,438.761,0,302.526
"G443Q","121","spring18","lab-synch","Female",21,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",21.49425,"impasse",0.95862152553329,5.96666666666667,1.26240303813833,-0.0402930402930403,0,1,1,-6,13.3537333333333,61.6326153846154,6.115,336.033,1,5,1,1,5,1,3,2,0,"Tversky",47.123,0,"blank",336.033,0,"Orthogonal",43.025,0,"Orthogonal",45.992,1,439.667,0,361.557
"G5HED","111","winter22","asynch","Male",20,"Spanish","Third","United States","I tried my best on each question","3","4","3","","",8.69843333333333,"control",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,5.84465,26.9753076923077,3.234,63.877,0,13,0,0,0,0,0,0,0,"Orthogonal",47.798,0,"Orthogonal",42.596,0,"Orthogonal",12.193,0,"Orthogonal",9.425,0,178.262,0,172.417
"GB4TH","111","fall21","asynch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.30663333333333,"control",4.36831501831502,3.81842006033183,2.74496336996337,0,0,5,5,0,5.01026666666667,23.1243076923077,3.427,52.41,5,4,1,0,3,1,3,0,0,"Orthogonal",13.189,1,"Triangular",52.41,1,"Triangular",15.031,1,"Triangular",20.103,1,157.873,4,142.743
"GF1FQ","121","fall17","lab-synch","Male",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",18.8526166666667,"impasse",-0.0708333333333333,5.5,-0.305147058823529,0,2,0,0,-6,6.96773333333333,32.1587692307692,6.825,90.478,0,6,0,0,7,0,0,7,0,"blank",24.813,0,"reference",90.478,0,"Orthogonal",21.688,0,"Orthogonal",23.948,0,203.163,0,214.901
"GQ35Z","111","spring18","lab-synch","Male",19,"Other","First","Israel","NULL","NULL","NULL","NULL","NULL","NULL",12.6798666666667,"control",13,-0.535746606334842,8.08974358974359,0,0,13,13,13,5.42701666666667,25.0477692307692,8.183,70.99,13,0,0,0,0,0,0,0,1,"Triangular",70.99,1,"Triangular",12.386,1,"Triangular",25.201,1,"Triangular",14.111,5,162.584,8,163.037
"GY85V","111","fall21","asynch","Male",21,"English","Fourth","US","NULL","NULL","NULL","NULL","NULL","NULL",13.9180166666667,"control",-0.669512840101075,11.9166666666667,0.282320620555915,0,0,0,0,-11.5,10.2472833333333,47.2951538461538,7.247,340.486,0,12,1,0,0,1,0,0,0,"Orthogonal",18.237,0,"Orthogonal",340.486,0,"Orthogonal",20.98,0,"Orthogonal",39.667,0,419.139,0,195.698
"H0HHM","121","winter22","asynch","Female",24,"Spanish","Fourth","United States","I tried my best on each question","1","5","5","I somewhat like looking at graphs, & I like to organize & plan. So I was actually very interested & intrigued by the study description when I first learned that I'd be looking at schedules. ","",14.01835,"impasse",13,-0.208823529411765,7.50641025641026,0.697802197802198,0,13,13,13,5.55856666666667,25.6549230769231,12.837,50.387,13,0,0,0,0,0,0,0,1,"Triangular",45.369,1,"Triangular",43.771,1,"Triangular",50.387,1,"Triangular",18.124,5,145.539,8,187.975
"H1RGT","121","spring18","lab-synch","Female",21,"Other","Fourth","Thailand","NULL","NULL","NULL","NULL","NULL","NULL",9.18488333333333,"impasse",11.8666666666667,-0.775490196078431,7.50641025641026,0.697802197802198,0,12,12,11.5,4.07726666666667,18.8181538461538,6.292,54.531,12,0,0,0,1,0,1,0,1,"Triangular",29.752,1,"Triangular",23.387,1,"Triangular",36.886,1,"Triangular",14.134,5,81.611,7,163.025
"H2N27","121","spring18","lab-synch","Male",20,"Mandarin or Cantonese","First","china\n","NULL","NULL","NULL","NULL","NULL","NULL",6.0111,"impasse",2.3704939668175,0.165686274509804,1.24660633484163,-0.456043956043956,0,2,2,-0.5,3.10348333333333,14.3237692307692,1.264,62.847,4,1,0,0,8,0,7,1,1,"Triangular",36.923,0,"?",16.129,0,"?",1.967,0,"?",1.264,2,124.859,0,61.35
"HCGNQ","121","fall21","asynch","Female",20,"Other","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",11.4038333333333,"impasse",1.00312702003878,2.72450980392157,0.982293686705451,1.46153846153846,0,0,0,-1.5,8.6731,40.0296923076923,3.112,306.86,3,3,2,1,4,2,3,1,0,"blank",71.604,0,"Tversky",8.265,0,"Orthogonal",23.552,0,"Triangular",9.544,0,439.956,0,80.43
"HF78R","121","winter22","asynch","Male",21,"English","Fourth","United States of America","I tried my best on each question","3","3","4","","no",35.6469833333333,"impasse",6.40581501831502,0.983333333333333,3.44506841198018,0.620879120879121,0,6,6,4.5,16.79815,77.5299230769231,5.967,224.905,7,2,1,0,3,1,2,1,1,"Triangular",155.626,1,"Triangular",43.885,0,"Orthogonal",88.282,0,"Tversky",126.589,3,524.573,3,483.316
"HH4FP","111","fall17","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.0737666666667,"control",-0.514750935339171,12.5,-0.146250808015514,0,0,0,0,-13,7.17335,33.1077692307692,5.317,125.414,0,13,0,0,0,0,0,0,0,"Orthogonal",11.08,0,"Orthogonal",125.414,0,"Orthogonal",24.445,0,"Orthogonal",25.604,0,239.382,0,191.019
"HJ5O5","111","spring18","lab-synch","Male",20,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",9.34641666666667,"control",13,-0.535746606334842,8.08974358974359,0,0,13,13,13,6.6828,30.8436923076923,13.08,62.392,13,0,0,0,0,0,0,0,1,"Triangular",31.511,1,"Triangular",33.007,1,"Triangular",43.512,1,"Triangular",18.928,5,157.658,8,243.31
"HKSU4","121","fall17","lab-synch","Female",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",9.67103333333333,"impasse",2.01205559146736,3.1828431372549,2.21684443007972,0.467032967032967,0,2,2,-3,7.22275,33.3357692307692,7.58,59.59,3,4,1,1,4,1,3,1,1,"Triangular",56.086,0,"Satisfice",30.787,1,"Triangular",45.399,0,"Orthogonal",25.917,1,216.055,1,217.31
"HUNJ8","121","fall21","asynch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",8.48418333333333,"impasse",-0.825490196078431,7.36666666666667,-0.426470588235294,0,0,0,0,-8,5.73885,26.487,10.215,57.243,0,8,0,0,5,0,0,5,0,"blank",37.785,0,"blank",40.226,0,"Orthogonal",18.203,0,"Orthogonal",41.496,0,133.107,0,211.224
"HV8ZE","121","winter22","asynch","Female",20,"Spanish","Third","USA","I tried my best on each question","5","2","5","","NO",10.9188166666667,"impasse",3.83054029304029,2.27867647058824,5.14331501831502,0.461538461538462,0,2,2,0.5,7.40786666666667,34.1901538461538,10.211,126.887,4,3,3,1,2,3,2,0,0,"Satisfice",46.571,0,"Triangular",36.092,0,"Triangular",49.908,1,"Triangular",17.997,0,149.101,2,295.371
"J1JP6","111","spring18","lab-synch","Male",25,"English","Other","USA","NULL","NULL","NULL","NULL","NULL","NULL",22.1772333333333,"control",0.63865815556992,10.9375,0.416249191984486,0,0,1,1,-10,18.1435666666667,83.7395384615385,12.773,271.668,1,11,0,0,1,0,0,1,0,"Orthogonal",37.619,0,"blank",271.668,0,"Orthogonal",39.89,0,"Orthogonal",58.584,0,649.023,1,439.591
"J2MPW","121","spring18","lab-synch","Male",22,"English","Fourth","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",7.39815,"impasse",12,-0.208823529411765,6.50641025641026,0.769230769230769,0,12,12,12,4.61786666666667,21.3132307692308,4.661,66.887,12,0,0,0,1,0,0,1,0,"blank",33.571,1,"Triangular",11.414,1,"Triangular",33.335,1,"Triangular",12.77,4,123.462,8,153.61
"J994U","111","spring18","lab-synch","Male",20,"English","Third","Sri Lanka","NULL","NULL","NULL","NULL","NULL","NULL",13.30185,"control",-0.573574464750935,12.4411764705882,-0.205074337427279,0,0,0,0,-13,8.96605,41.3817692307692,8.398,102.175,0,13,0,0,0,0,0,0,0,"Orthogonal",22.853,0,"Orthogonal",102.175,0,"Orthogonal",24.121,0,"Orthogonal",28.726,0,240.994,0,296.969
"JCKEW","111","winter22","asynch","Female",20,"English","Second","USA","I tried my best on each question","3","4","2","im v tired; could have done better","nope",8.68666666666667,"control",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,5.81753333333333,26.8501538461538,3.604,66.191,0,13,0,0,0,0,0,0,0,"Orthogonal",18.706,0,"Orthogonal",52.121,0,"Orthogonal",22.734,0,"Orthogonal",44.042,0,132.886,0,216.166
"JDHT2","111","winter22","asynch","Female",20,"Korean","Second","Korea ","I tried my best on most questions","3","2","3","","",9.68616666666667,"control",-0.145270415858651,4.83925339366516,1.66373087696617,0,0,1,1,-6,5.91045,27.279,5.5,86.297,1,6,2,0,4,2,4,0,0,"Orthogonal",12.277,1,"Triangular",17.624,0,"Orthogonal",25.501,0,"Orthogonal",36.892,1,92.541,0,262.086
"JFFAY","111","fall17","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",17.2570833333333,"control",-0.431417602005837,12,-0.069327731092437,0,1,0,0,-12,12.2372333333333,56.4795384615385,11.472,186.786,0,12,0,0,1,0,0,1,0,"Orthogonal",13.167,0,"Orthogonal",186.786,0,"Orthogonal",23.171,0,"Orthogonal",110.927,0,388.455,0,345.779
"JHTYA","111","winter22","asynch","Female",24,"Spanish","Fourth","United States","I tried my best on each question","1","3","4","","",18.8103833333333,"control",0.71771978021978,5.13508672699849,1.59755440637794,0,0,2,2,-6.5,11.0073666666667,50.8032307692308,9.86,305.979,2,6,0,0,5,0,5,0,0,"Orthogonal",31.048,1,"Triangular",70.792,0,"Orthogonal",21.658,0,"Orthogonal",25.075,1,161.195,1,499.247
"JMZMZ","121","winter22","asynch","Male",21,"English","Third","United States","I tried my best on most questions","4","3","2","I think it would have been helpful to know that it was possible to move on without selecting an answer from the beginning. ","No",12.6038833333333,"impasse",-0.407175177763413,6.86666666666667,-0.574822236586942,1,0,0,0,-9.5,9.47306666666667,43.7218461538462,7.804,124.894,0,7,0,2,4,0,1,3,0,"blank",54.658,0,"blank",124.894,0,"Orthogonal",35.983,0,"Orthogonal",32.799,0,340.986,0,227.398
"JZWPZ","121","spring18","lab-synch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",6.13415,"impasse",0.941739388062917,5.81200980392157,0.197169252316311,3.42307692307692,0,2,2,-8.5,3.83576666666667,17.7035384615385,5.332,32.65,2,7,0,3,1,0,1,0,0,"Satisfice",7.223,0,"?",18.066,0,"Orthogonal",12.988,0,"Orthogonal",28.28,1,96.006,1,134.14
"K3AE8","121","fall21","asynch","Male",18,"English","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",21.1893,"impasse",-0.192156862745098,8,-0.426470588235294,0,0,0,0,-8,7.2711,33.5589230769231,3.829,93.539,0,8,0,0,5,0,0,5,0,"blank",46.331,0,"blank",93.539,0,"Orthogonal",14.899,0,"Orthogonal",25.421,0,262.543,0,173.723
"K5PDZ","111","fall21","asynch","Other",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",8.45565,"control",13,-0.535746606334842,8.08974358974359,0,0,13,13,13,4.81651666666667,22.2300769230769,8.816,46.655,13,0,0,0,0,0,0,0,1,"Triangular",29.374,1,"Triangular",19.156,1,"Triangular",33.051,1,"Triangular",21.528,5,98.544,8,190.447
"K7HM9","111","fall21","asynch","Male",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",34.0028166666667,"control",13,-0.535746606334842,8.08974358974359,0,0,13,13,13,8.34025,38.4934615384615,10.886,112.274,13,0,0,0,0,0,0,0,1,"Triangular",112.274,1,"Triangular",33.797,1,"Triangular",93.326,1,"Triangular",19.969,5,200.344,8,300.071
"K7HSV","121","fall21","asynch","Female",21,"English","Third","United Sates","NULL","NULL","NULL","NULL","NULL","NULL",9.23895,"impasse",1.04807692307692,3.4375,1.72916666666667,-0.153846153846154,0,1,1,-1.5,5.976,27.5815384615385,7.955,44.416,1,3,2,0,7,2,1,6,0,"blank",44.416,1,"Triangular",26.666,0,"Orthogonal",39.943,0,"blank",19.337,1,195.554,0,163.006
"K9UQH","121","fall21","asynch","Female",18,"Other","Second","India","NULL","NULL","NULL","NULL","NULL","NULL",33.5936333333333,"impasse",-0.192156862745098,8,-0.426470588235294,0,0,0,0,-8,20.5164,94.6910769230769,21.837,243.196,0,8,0,0,5,0,0,5,0,"blank",70.677,0,"blank",179.562,0,"Orthogonal",60.394,0,"Orthogonal",100.164,0,648.148,0,582.836
"KBQPW","121","fall17","lab-synch","Male",27,"English","Fifth","United States","NULL","NULL","NULL","NULL","NULL","NULL",13.0541,"impasse",0.853081232492997,7.86666666666667,-0.331232492997199,-1,0,1,1,-8.5,10.3030333333333,47.5524615384615,10.288,77.848,1,8,0,0,4,0,3,1,0,"blank",36.252,1,"Triangular",70.301,0,"Orthogonal",48.108,0,"Orthogonal",62.057,1,200.108,0,418.074
"KEMWH","111","fall21","asynch","Female",20,"Other","Third","Iran","NULL","NULL","NULL","NULL","NULL","NULL",8.23086666666667,"control",0.63865815556992,9.22724358974359,-0.664350355526826,0,0,1,1,-9.5,5.67618333333333,26.1977692307692,7.589,49.89,1,9,0,0,3,0,3,0,0,"Orthogonal",14.798,1,"Triangular",45.835,0,"Orthogonal",32.079,0,"?",26.02,1,143.779,0,196.792
"KGNC3","121","winter22","asynch","Female",20,"English","Third","USA","I tried my best on each question","3","3","4","","N/A",10.1517333333333,"impasse",11.9285714285714,-0.208823529411765,7.50641025641026,0.697802197802198,0,12,12,12.5,7.17578333333333,33.119,6.086,170.42,12,0,1,0,0,1,0,0,1,"Triangular",23.583,1,"Triangular",170.42,1,"Triangular",68.011,1,"Triangular",13.957,4,271.485,8,159.062
"KLYG7","111","fall17","lab-synch","Male",18,"English","Second","Vietnam ","NULL","NULL","NULL","NULL","NULL","NULL",16.7382333333333,"control",-1.49104963663787,4.16314102564103,1.32330047403577,0,0,0,0,-6.5,10.2098833333333,47.1225384615385,7.002,139.831,0,6,2,0,5,2,3,2,0,"Orthogonal",36.381,0,"?",22.418,0,"Orthogonal",43.064,0,"Orthogonal",23.126,0,279.611,0,332.982
"KNH2B","111","fall21","asynch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",15.5118666666667,"control",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,7.89425,36.435,7.078,74.212,0,13,0,0,0,0,0,0,0,"Orthogonal",11.377,0,"Orthogonal",74.212,0,"Orthogonal",19.578,0,"Orthogonal",63.735,0,166.706,0,306.949
"KPZTN","121","fall21","asynch","Female",21,"English","Fourth","China","NULL","NULL","NULL","NULL","NULL","NULL",5.30746666666667,"impasse",1.99639625080802,2.41200980392157,1.05472958414135,0.692307692307692,0,2,2,-3,3.08838333333333,14.2540769230769,4.059,37.427,3,3,1,1,5,1,5,0,0,"Satisfice",37.427,1,"Triangular",24.347,0,"Orthogonal",15.12,1,"Triangular",7.385,1,91.996,1,93.307
"KT7ZF","121","fall21","asynch","Female",30,"Other","Fourth","Somalia","NULL","NULL","NULL","NULL","NULL","NULL",10.7872,"impasse",0.319545895281189,3.0906862745098,0.383373734109028,2.03846153846154,0,0,0,-5,6.42536666666667,29.6555384615385,8.399,118.577,3,5,1,3,1,1,1,0,0,"Satisfice",37.974,0,"Triangular",17.033,0,"Orthogonal",39.976,0,"Triangular",17.13,0,123.69,0,261.832
"KUHF1","121","fall17","lab-synch","Male",19,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.06356666666667,"impasse",11.8461538461538,-0.208823529411765,7.42948717948718,-0.456043956043956,0,12,12,11.5,5.02606666666667,23.1972307692308,6.45,57.79,12,0,0,0,1,0,1,0,1,"Triangular",49.174,1,"Triangular",23.805,1,"Triangular",31.21,1,"Triangular",11.32,4,159.499,8,142.065
"KXRFL","111","fall21","asynch","Male",21,"English","Fourth","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",17.2675833333333,"control",0.933301012712777,10.2564102564103,-0.366031027795734,0,0,1,1,-10,10.1794166666667,46.9819230769231,12.459,87.451,1,10,0,0,2,0,2,0,0,"Orthogonal",12.459,1,"Triangular",49.605,0,"Orthogonal",30.824,0,"Orthogonal",87.451,1,209.598,0,401.167
