"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","pretty_condition","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_rt","item_test_NABS","item_test_rt"
"2JRT6","111","fall17","lab-synch","Female",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",23.8553666666667,"control",8.50115815556992,-1.23623680241327,5.81113984055161,0,0,4,4,3.5,16.26485,75.0685384615385,11.51,223.726,7,1,0,0,5,0,5,0,0,"Orthogonal",37.902,1,"Triangular",29.908,1,"Triangular",68.712,1,"Triangular",13.077,2,325.095,2,650.796
"2KS3T","121","winter22","asynch","Male",21,"X-Other","Fourth","United States","I tried my best on each question","4","3","3","The first half was hard the second half was easier","n/a",13.2959,"impasse",0.567229584141349,5.87083333333333,0.323744882568412,0.197802197802198,0,1,1,-7.5,9.52603333333333,43.9663076923077,5.754,140.175,1,6,1,1,4,1,4,0,0,"Tversky",72.598,1,"Triangular",17.427,0,"Orthogonal",28.587,0,"?",93.771,1,331.923,0,239.639
"34FAZ","121","winter22","asynch","Female",22,"Arabic","Fourth","US","I tried my best on each question","3","4","5","adding a control question to see if people are paying attention or adding a ""none"" option","no",13.5930166666667,"impasse",-0.206579939668175,7.5,-0.450980392156863,-0.0769230769230769,0,0,0,-8.5,7.43055,34.2948461538462,5.395,86.557,0,8,0,0,5,0,1,4,0,"blank",22.324,0,"?",86.557,0,"Orthogonal",22.282,0,"Orthogonal",40.533,0,224.553,0,221.28
"38NFJ","121","spring18","lab-synch","Female",20,"English","Second","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",9.21,"impasse",9.55998168498168,0.924509803921569,4.15064102564103,0.538461538461539,0,8,8,8,4.18416666666667,19.3115384615385,5.541,52.954,9,1,1,0,2,1,1,1,0,"blank",20.033,1,"Triangular",21.978,0,"Orthogonal",34.02,1,"Triangular",11.723,1,133.275,7,117.775
"39GMD","121","spring18","lab-synch","Female",25,"Other","Fifth","the Philippines","NULL","NULL","NULL","NULL","NULL","NULL",12.1174333333333,"impasse",-0.586616569704805,6.36666666666667,-0.241273432449903,3.42307692307692,0,0,0,-10.5,7.34795,33.9136153846154,8.535,66.151,0,6,1,4,2,1,2,0,0,"Satisfice",51.939,0,"Tversky",60.599,0,"Orthogonal",21.557,0,"?",10.408,0,244.523,0,196.354
"3B1TL","111","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",20.5042666666667,"control",13,-0.535746606334842,8.08974358974359,0,0,12,13,13,12.6517666666667,58.3927692307692,9.469,183.944,13,0,0,0,0,0,0,0,1,"Triangular",69.242,1,"Triangular",145.979,1,"Triangular",47.132,1,"Triangular",29.539,5,531.905,8,227.201
"3OTEP","121","fall17","lab-synch","Male",21,"English","Fourth","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",10.8743833333333,"impasse",13,-0.208823529411765,7.50641025641026,0.697802197802198,0,13,13,13,5.67395,26.1874615384615,4.371,70.592,13,0,0,0,0,0,0,0,1,"Triangular",24.737,1,"Triangular",70.592,1,"Triangular",70.219,1,"Triangular",18.961,5,178.504,8,161.933
"3PADQ","111","fall21","asynch","Female",22,"Other","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",21.9320166666667,"control",-0.510584268672504,9.27724358974359,0.294925662572721,0,0,0,0,-10,15.8831333333333,73.3067692307692,13.639,193.304,0,9,1,0,3,1,3,0,0,"Orthogonal",31.01,0,"?",193.304,0,"Orthogonal",93.822,0,"Orthogonal",142.898,0,380.004,0,572.984
"3QO3J","111","fall17","lab-synch","Female",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.87085,"control",0.919525082760377,3.08410633484163,2.00301659125189,0,0,2,2,-4.5,3.43303333333333,15.8447692307692,5.403,30.711,2,4,1,0,6,1,6,0,1,"Triangular",17.607,0,"?",10.35,0,"Orthogonal",27.558,1,"Triangular",11.654,1,84.055,1,121.927
"3SYRX","121","fall21","asynch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.54665,"impasse",13,-0.208823529411765,7.50641025641026,0.697802197802198,0,13,13,13,4.4079,20.3441538461538,7.164,71.128,13,0,0,0,0,0,0,0,1,"Triangular",35.344,1,"Triangular",13.684,1,"Triangular",38.99,1,"Triangular",12.949,5,85.61,8,178.864
