"subject","mode","pretty_condition","question","score"
"3OTEP","lab-synch","impasse",3,3
"3OTEP","lab-synch","impasse",4,4
"3OTEP","lab-synch","impasse",5,5
"3OTEP","lab-synch","impasse",6,6
"3OTEP","lab-synch","impasse",7,7
"3OTEP","lab-synch","impasse",8,8
"3OTEP","lab-synch","impasse",9,9
"3OTEP","lab-synch","impasse",10,10
"3OTEP","lab-synch","impasse",11,11
"3OTEP","lab-synch","impasse",12,12
"3OTEP","lab-synch","impasse",13,13
"QB8G8","lab-synch","impasse",1,-1
"QB8G8","lab-synch","impasse",2,-0.5
"QB8G8","lab-synch","impasse",3,-1.5
"QB8G8","lab-synch","impasse",4,-2
"QB8G8","lab-synch","impasse",5,-1
"QB8G8","lab-synch","impasse",6,-2
"QB8G8","lab-synch","impasse",7,-2.5
"QB8G8","lab-synch","impasse",8,-3
"QB8G8","lab-synch","impasse",9,-4
"QB8G8","lab-synch","impasse",10,-5
"QB8G8","lab-synch","impasse",11,-6
"QB8G8","lab-synch","impasse",12,-7
"QB8G8","lab-synch","impasse",13,-7.5
"HH4FP","lab-synch","control",1,-1
"HH4FP","lab-synch","control",2,-2
"HH4FP","lab-synch","control",3,-3
"HH4FP","lab-synch","control",4,-4
"HH4FP","lab-synch","control",5,-5
"HH4FP","lab-synch","control",6,-6
"HH4FP","lab-synch","control",7,-7
"HH4FP","lab-synch","control",8,-8
"HH4FP","lab-synch","control",9,-9
"HH4FP","lab-synch","control",10,-10
"HH4FP","lab-synch","control",11,-11
"HH4FP","lab-synch","control",12,-12
"HH4FP","lab-synch","control",13,-13
"7L4J4","lab-synch","control",1,-1
"7L4J4","lab-synch","control",2,-2
"7L4J4","lab-synch","control",3,-3
"7L4J4","lab-synch","control",4,-4
"7L4J4","lab-synch","control",5,-4.5
"7L4J4","lab-synch","control",6,-5.5
"7L4J4","lab-synch","control",7,-6.5
"7L4J4","lab-synch","control",8,-7.5
"7L4J4","lab-synch","control",9,-8.5
"7L4J4","lab-synch","control",10,-9.5
"7L4J4","lab-synch","control",11,-10.5
"7L4J4","lab-synch","control",12,-11.5
"7L4J4","lab-synch","control",13,-12.5
"B3OKB","lab-synch","control",1,-1
"B3OKB","lab-synch","control",2,-2
"B3OKB","lab-synch","control",3,-3
"B3OKB","lab-synch","control",4,-4
"B3OKB","lab-synch","control",5,-5
"B3OKB","lab-synch","control",6,-6
"B3OKB","lab-synch","control",7,-7
"B3OKB","lab-synch","control",8,-6
"B3OKB","lab-synch","control",9,-5
"B3OKB","lab-synch","control",10,-4
"B3OKB","lab-synch","control",11,-3
"B3OKB","lab-synch","control",12,-2
"B3OKB","lab-synch","control",13,-1
"ZZYXF","lab-synch","impasse",1,0
"ZZYXF","lab-synch","impasse",2,0.5
"ZZYXF","lab-synch","impasse",3,0.5
"ZZYXF","lab-synch","impasse",4,0.5
"ZZYXF","lab-synch","impasse",5,0
"ZZYXF","lab-synch","impasse",6,-1
"ZZYXF","lab-synch","impasse",7,-2
"ZZYXF","lab-synch","impasse",8,-3
"ZZYXF","lab-synch","impasse",9,-4
"ZZYXF","lab-synch","impasse",10,-5
"ZZYXF","lab-synch","impasse",11,-6
"ZZYXF","lab-synch","impasse",12,-7
"ZZYXF","lab-synch","impasse",13,-8
"8V51R","lab-synch","control",1,-1
"8V51R","lab-synch","control",2,-2
"8V51R","lab-synch","control",3,-3
"8V51R","lab-synch","control",4,-4
"8V51R","lab-synch","control",5,-5
"8V51R","lab-synch","control",6,-6
"8V51R","lab-synch","control",7,-7
"8V51R","lab-synch","control",8,-7.5
"8V51R","lab-synch","control",9,-8.5
"8V51R","lab-synch","control",10,-9.5
"8V51R","lab-synch","control",11,-10.5
"8V51R","lab-synch","control",12,-11.5
"8V51R","lab-synch","control",13,-12.5
"R0GKA","lab-synch","impasse",1,-1
"R0GKA","lab-synch","impasse",2,0
"R0GKA","lab-synch","impasse",3,1
"R0GKA","lab-synch","impasse",4,2
"R0GKA","lab-synch","impasse",5,3
"R0GKA","lab-synch","impasse",6,4
"R0GKA","lab-synch","impasse",7,5
"R0GKA","lab-synch","impasse",8,6
"R0GKA","lab-synch","impasse",9,7
"R0GKA","lab-synch","impasse",10,8
"R0GKA","lab-synch","impasse",11,7.5
"R0GKA","lab-synch","impasse",12,8.5
"R0GKA","lab-synch","impasse",13,9.5
"1FO1D","lab-synch","impasse",1,0
"1FO1D","lab-synch","impasse",2,0
"1FO1D","lab-synch","impasse",3,0
"1FO1D","lab-synch","impasse",4,1
"1FO1D","lab-synch","impasse",5,1
"1FO1D","lab-synch","impasse",6,0
"1FO1D","lab-synch","impasse",7,-0.5
"1FO1D","lab-synch","impasse",8,0.5
"1FO1D","lab-synch","impasse",9,-0.5
"1FO1D","lab-synch","impasse",10,-1
"1FO1D","lab-synch","impasse",11,0
"1FO1D","lab-synch","impasse",12,1
"1FO1D","lab-synch","impasse",13,2
"GF1FQ","lab-synch","impasse",1,0
"GF1FQ","lab-synch","impasse",2,0
"GF1FQ","lab-synch","impasse",3,0
"GF1FQ","lab-synch","impasse",4,0
"GF1FQ","lab-synch","impasse",5,0
"GF1FQ","lab-synch","impasse",6,-1
"GF1FQ","lab-synch","impasse",7,-2
"GF1FQ","lab-synch","impasse",8,-2
"GF1FQ","lab-synch","impasse",9,-3
"GF1FQ","lab-synch","impasse",10,-4
"GF1FQ","lab-synch","impasse",11,-5
