"subject","mode","pretty_condition","question","score"
"S0WU7","asynch","none-impasse",11,8
"S0WU7","asynch","none-impasse",12,9
"S0WU7","asynch","none-impasse",13,9
"Y0MZ6","asynch","none-none",1,0
"Y0MZ6","asynch","none-none",2,0
"Y0MZ6","asynch","none-none",3,0
"Y0MZ6","asynch","none-none",4,0
"Y0MZ6","asynch","none-none",5,1
"Y0MZ6","asynch","none-none",6,1
"Y0MZ6","asynch","none-none",7,1
"Y0MZ6","asynch","none-none",8,1
"Y0MZ6","asynch","none-none",9,1
"Y0MZ6","asynch","none-none",10,1
"Y0MZ6","asynch","none-none",11,1
"Y0MZ6","asynch","none-none",12,1
"Y0MZ6","asynch","none-none",13,1
"8V8HJ","asynch","none-none",1,0
"8V8HJ","asynch","none-none",2,0
"8V8HJ","asynch","none-none",3,0
"8V8HJ","asynch","none-none",4,0
"8V8HJ","asynch","none-none",5,0
"8V8HJ","asynch","none-none",6,0
"8V8HJ","asynch","none-none",7,0
"8V8HJ","asynch","none-none",8,0
"8V8HJ","asynch","none-none",9,0
"8V8HJ","asynch","none-none",10,0
"8V8HJ","asynch","none-none",11,0
"8V8HJ","asynch","none-none",12,0
"8V8HJ","asynch","none-none",13,0
"4URRL","asynch","none-impasse",1,0
"4URRL","asynch","none-impasse",2,0
"4URRL","asynch","none-impasse",3,0
"4URRL","asynch","none-impasse",4,0
"4URRL","asynch","none-impasse",5,0
"4URRL","asynch","none-impasse",6,0
"4URRL","asynch","none-impasse",7,0
"4URRL","asynch","none-impasse",8,0
"4URRL","asynch","none-impasse",9,0
"4URRL","asynch","none-impasse",10,0
"4URRL","asynch","none-impasse",11,0
"4URRL","asynch","none-impasse",12,0
"4URRL","asynch","none-impasse",13,0
"8BB1M","asynch","none-none",1,0
"8BB1M","asynch","none-none",2,0
"8BB1M","asynch","none-none",3,0
"8BB1M","asynch","none-none",4,0
"8BB1M","asynch","none-none",5,0
"8BB1M","asynch","none-none",6,0
"8BB1M","asynch","none-none",7,0
"8BB1M","asynch","none-none",8,0
"8BB1M","asynch","none-none",9,0
"8BB1M","asynch","none-none",10,0
"8BB1M","asynch","none-none",11,0
"8BB1M","asynch","none-none",12,0
"8BB1M","asynch","none-none",13,0
"WRHPM","asynch","none-impasse",1,1
"WRHPM","asynch","none-impasse",2,2
"WRHPM","asynch","none-impasse",3,3
"WRHPM","asynch","none-impasse",4,4
"WRHPM","asynch","none-impasse",5,5
"WRHPM","asynch","none-impasse",6,6
"WRHPM","asynch","none-impasse",7,6
"WRHPM","asynch","none-impasse",8,7
"WRHPM","asynch","none-impasse",9,8
"WRHPM","asynch","none-impasse",10,8
"WRHPM","asynch","none-impasse",11,9
"WRHPM","asynch","none-impasse",12,10
"WRHPM","asynch","none-impasse",13,11
"77SKE","asynch","none-none",1,1
"77SKE","asynch","none-none",2,2
"77SKE","asynch","none-none",3,2
"77SKE","asynch","none-none",4,2
"77SKE","asynch","none-none",5,2
"77SKE","asynch","none-none",6,2
"77SKE","asynch","none-none",7,2
"77SKE","asynch","none-none",8,2
"77SKE","asynch","none-none",9,2
"77SKE","asynch","none-none",10,2
"77SKE","asynch","none-none",11,2
"77SKE","asynch","none-none",12,2
