"subject","session","term","condition","ts_n","tt_n","triangular_score","os_n","ot_n","orthogonal_score","explicit","impasse","axis","triangular_time","totalTime","ts_t","tt_t","attn_check","native_language","year","major","country","sex","age"
"VXAHZ","men","spring18","113",0,2,2,5,9,14,"1","1","diagonal",464615,656880,190189,274426,1,"Other","Third","Biomedical & Health Sciences","Finland","Male",24
"J1JP6","charlie","spring18","111",0,3,3,4,9,13,"1","1","Orthogonal-XInside-YFull",1199373,1330634,649023,550350,1,"English","Other","Natural Sciences","USA","Male",25
"X9PTQ","charlie","spring18","111",0,2,2,4,7,11,"1","1","Orthogonal-XInside-YFull",691116,913338,297014,394102,1,"English","First","Social Sciences (incl. CogSci)","United States","Female",18
"TELDD","bravo","spring18","113",4,9,13,0,1,1,"1","1","diagonal",542752,816171,256770,285982,1,"English","Third","Biomedical & Health Sciences","United States","Male",20
"T2OHS","men","spring18","113",5,10,15,0,2,2,"1","1","diagonal",595304,784357,191774,403530,1,"Spanish","Second","Social Sciences (incl. CogSci)","UNITED STATES","Female",19
"W7EBS","charlie","spring18","111",4,9,13,1,2,3,"1","1","Orthogonal-XInside-YFull",540167,768554,214801,325366,1,"Mandarin or Cantonese","First","Social Sciences (incl. CogSci)","China","Female",19
"94NZK","bravo","spring18","113",2,2,4,3,5,8,"1","1","diagonal",553159,831482,297239,255920,1,"English","Fifth","Biomedical & Health Sciences","United States","Female",22
"FA0KM","men","spring18","113",1,5,6,2,2,4,"1","1","diagonal",313033,379103,112098,200935,1,"Other","First","Humanities","vietnam","Female",19
"8LGZ4","fire","spring18","111",0,2,2,5,8,13,"1","1","full",669399,841138,261925,407474,1,"English","Third","Biomedical & Health Sciences","USA","Male",21
"SWST4","kilo","spring18","113",0,2,2,3,7,10,"1","1","Triangular-XInside-YInside",539813,673611,175780,364033,1,"English","First","Biomedical & Health Sciences","USA","Female",18
"DK1EM","tango","spring18","113",0,2,2,5,10,15,"1","1","Triangular-XInside-YInside",438283,540871,113813,324470,1,"Other","Fourth","Natural Sciences","South Korea","Male",29
"KYTVX","thine","spring18","111",0,2,2,5,9,14,"1","1","full",526140,826274,193101,333039,1,"English","Fourth","Math or Computer Sciences","USA","Male",22
"WLDKB","bravo","spring18","113",0,2,2,1,8,9,"1","1","diagonal",552143,834766,212481,339662,1,"English","Second","Social Sciences (incl. CogSci)","United States","Male",18
"6DN76","bravo","spring18","113",1,3,4,3,5,8,"1","1","diagonal",290111,523868,104603,185508,1,"English","First","Social Sciences (incl. CogSci)","United States of America","Female",18
"L0W0F","tree","spring18","111",5,10,15,0,2,2,"1","1","full",395983,565482,157656,238327,1,"English","Fourth","Social Sciences (incl. CogSci)","USA","Female",28
"CSU5Z","tango","spring18","113",0,1,1,2,7,9,"1","1","Triangular-XInside-YInside",691239,843452,287765,403474,1,"English","Fourth","Social Sciences (incl. CogSci)","india","Male",22
"LPABX","men","spring18","113",1,2,3,4,9,13,"1","1","diagonal",644492,819758,240368,404124,1,"English","First","Math or Computer Sciences","USA","Male",18
"73N5W","bravo","spring18","113",0,2,2,4,10,14,"1","1","diagonal",345516,737123,145716,199800,1,"English","Second","Biomedical & Health Sciences","USA","Female",19
"XKNWZ","kilo","spring18","113",0,2,2,3,7,10,"1","1","Triangular-XInside-YInside",444790,573245,156486,288304,1,"Other","Third","Social Sciences (incl. CogSci)","Vietnam","Female",20
