"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","absolute_score"
"N2UK6","111","fall17","lab-synch","Female",22,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.9894333333333,2
"EN7PB","111","fall17","lab-synch","Male",19,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.8360833333333,1
"GF1FQ","121","fall17","lab-synch","Male",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",18.8526166666667,2
"3OTEP","121","fall17","lab-synch","Male",21,"English","Fourth","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",10.8743833333333,14
"XQZYP","111","fall17","lab-synch","Male",22,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.5166833333333,7
"3B1TL","111","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",20.5042666666667,14
"3QO3J","111","fall17","lab-synch","Female",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.87085,4
"EC0K7","111","fall17","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.534,2
"FUV6R","121","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",13.1109,11
"QB8G8","121","fall17","lab-synch","Female",19,"Mandarin or Cantonese","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.0823833333333,3
"0ZCT1","121","fall17","lab-synch","Male",19,"English","First","US","NULL","NULL","NULL","NULL","NULL","NULL",10.3987166666667,15
"6G1ZR","111","fall17","lab-synch","Female",20,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",8.32168333333333,2
"KLYG7","111","fall17","lab-synch","Male",18,"English","Second","Vietnam ","NULL","NULL","NULL","NULL","NULL","NULL",16.7382333333333,2
"1THJX","121","fall17","lab-synch","Male",20,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",11.3307,2
"PO9J4","121","fall17","lab-synch","Female",20,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",10.8384833333333,2
"YGEAY","111","fall17","lab-synch","Female",18,"English","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",15.0729,3
"R0GKA","121","fall17","lab-synch","Female",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.96066666666667,12
"G0CPA","111","fall17","lab-synch","Male",23,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",9.21901666666667,2
"1FO1D","121","fall17","lab-synch","Male",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",18.50985,7
"ASEGP","121","fall17","lab-synch","Male",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.0948333333333,2
"OTVZR","121","fall17","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",14.8778,7
"F49JC","121","fall17","lab-synch","Male",18,"Mandarin or Cantonese","First","Taiwan","NULL","NULL","NULL","NULL","NULL","NULL",13.0758333333333,11
"2JRT6","111","fall17","lab-synch","Female",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",23.8553666666667,5
"7L4J4","111","fall17","lab-synch","Female",20,"Other","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.78185,2
"M675E","121","fall17","lab-synch","Female",21,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",9.05926666666667,13
"QSGCP","111","fall17","lab-synch","Female",19,"English","Second","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",8.86058333333333,2
"L0M3H","121","fall17","lab-synch","Female",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",8.94343333333333,3
"DC2Y0","121","fall17","lab-synch","Male",22,"English","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",12.4990833333333,11
"X0PRP","111","fall17","lab-synch","Male",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",11.5652666666667,2
"8V51R","111","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",14.26815,1
"B3OKB","111","fall17","lab-synch","Male",19,"English","First","India","NULL","NULL","NULL","NULL","NULL","NULL",13.4522833333333,7
"EENOM","111","fall17","lab-synch","Female",19,"English","Second","usa","NULL","NULL","NULL","NULL","NULL","NULL",11.0401666666667,2
