"subject","condition","pretty_condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_mode","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"KVZT7","11311112","Tri-Equilateral","summer22","asynch","Male",30,"English",NA,"usa","I tried my best on each question","4","2","2","no","none",2.14995,"2","chrome","1680","939","online-replication",0.82615815556992,0.13865815556992,1.74222958414135,0,0,1,2,-2,0.153846153846154,0.631816666666667,2.91607692307692,2.112,4.399,2,1,2,0,8,2,8,0,0,-0.5,"?",3.291,1,1,"Triangular",2.796,0,"?",3.197,1,"Triangular",2.923,1,-0.5,0.23295,1,-1.5,0.398866666666667
"KYTVX","111","Orth-Isosceles","spring18","lab-synch","Male",22,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.7712333333333,"NULL","NULL","NULL","NULL","laboratory",-0.455927405927406,12,-0.0874272786037492,0,0,0,0,-12,0,8.18026666666667,37.7550769230769,10.433,99.109,0,12,0,0,1,0,0,1,0,-1,"Orthogonal",41.493,0,-1,"Orthogonal",75.444,0,"Orthogonal",14.113,0,"Orthogonal",36.166,0,-5,3.21835,0,-7,4.96191666666667
"L0W0F","111","Orth-Isosceles","spring18","lab-synch","Female",28,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",9.4247,"NULL","NULL","NULL","NULL","laboratory",13,-0.540508511096746,8.08974358974359,0,0,13,13,13,1,6.17576666666667,28.5035384615385,7.994,112.983,13,0,0,0,0,0,0,0,1,1,"Triangular",112.983,1,1,"Triangular",13.877,1,"Triangular",47.76,1,"Triangular",23.736,5,5,2.6276,8,8,3.54816666666667
"L1F8V","113","Tri-Isosceles","winter22","asynch","Female",21,"English","Fourth","United States","I tried my best on each question","4","3","2","the graph was sort of hard to look at for me, all the lines felt like they were. moving and intersecting some","",11.12595,"1","chrome","1440","764","online-replication",9.5507730015083,0.245906054729584,6.9132730015083,0,0,9,9,8.5,0.692307692307692,5.37705,24.8171538461538,8.032,39.48,9,1,2,0,1,2,1,0,0,0.5,"Tversky",39.48,1,1,"Triangular",26.996,1,"Triangular",39.421,1,"Triangular",27.073,4,4.5,2.61018333333333,5,4,2.76686666666667
"L5J42","11111112","Orth-Equilateral","summer22","asynch","Male",42,"English",NA,"United States","I tried my best on each question","5","1","5","I really enjoyed it even though I don't think I did very well.","No",12.7474,"1","chrome","1920","937","online-replication",-0.397921931010166,4.92556291747468,1.8766160310278,0,0,1,1,-5.5,0.0769230769230769,7.30483333333333,33.7146153846154,9.472,56.892,1,5,2,0,5,2,5,0,0,-1,"Orthogonal",40.864,0,0.5,"Tversky",56.892,0,"Tversky",46.095,1,"Triangular",31.757,0,-2.5,3.21163333333333,1,-3,4.0932
"LCA8C","113","Tri-Isosceles","winter22","asynch","Female",18,"Spanish","First","United States","I tried my best on each question","3","2","4","Reading the graph would be a bit easier if it was formatted differently.","No.",68.9800666666667,"2","chrome","1139","684","online-replication",-1.31610374919198,9.59464285714286,-0.894149967679379,0,0,0,0,-11.5,0,13.3769166666667,61.7396153846154,11.175,111.139,0,10,0,0,3,0,3,0,0,-1,"Orthogonal",31.779,0,-0.5,"frenzy",109.74,0,"Orthogonal",88.814,0,"frenzy",76.09,0,-4.5,5.61391666666667,0,-7,7.763
"LJ5PP","11311112","Tri-Equilateral","summer22","asynch","Male",20,"English",NA,"United States","I tried my best on each question","3","4","3","Difficult to read the graph","None",6.85536666666667,"2","chrome","1920","969","online-replication",-0.578603749191984,6.39391025641026,-0.0807746175393234,0,0,0,0,-9,0,4.42541666666667,20.425,5.941,50.663,0,7,1,0,5,1,5,0,0,-1,"Orthogonal",12.816,0,-0.5,"?",13.789,0,"?",18.523,0,"?",31.315,0,-2.5,0.904516666666667,0,-6.5,3.5209
"LJTQR","11311112","Tri-Equilateral","summer22","asynch","Female",41,"English",NA,"usa","I tried my best on each question","2","5","4","","no",6.71031666666667,"2","chrome","1536","722","online-replication",13,-0.540508511096746,8.08974358974359,0,0,13,13,13,1,3.48783333333333,16.0976923076923,6.867,39.534,13,0,0,0,0,0,0,0,1,1,"Triangular",38.638,1,1,"Triangular",13.715,1,"Triangular",30.389,1,"Triangular",13.231,5,5,1.2705,8,8,2.21733333333333
"LPABX","113","Tri-Isosceles","spring18","lab-synch","Male",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.6626333333333,"NULL","NULL","NULL","NULL","laboratory",0.57615815556992,11.9230769230769,-0.723173884938591,0,0,1,1,-11,0.0769230769230769,9.57165,44.1768461538462,10.998,116.399,1,12,0,0,0,0,0,0,0,-1,"Orthogonal",29.751,1,1,"Triangular",116.399,0,"Orthogonal",31.303,0,"Orthogonal",72.373,1,-3,4.00613333333333,0,-8,5.56551666666667
"LR3G1","113","Tri-Isosceles","winter22","asynch","Male",21,"English","Fourth","United Statesa","I tried my best on each question","2","3","3","","",38.5193166666667,"3","chrome","1504","852","online-replication",11.75,-0.840508511096746,8.08974358974359,0,0,12,12,12.5,0.923076923076923,20.1361833333333,92.9362307692308,10.556,494.834,12,0,1,0,0,1,0,0,1,1,"Triangular",60.733,1,1,"Triangular",494.834,1,"Triangular",109.011,1,"Triangular",50.462,4,4.5,11.4346833333333,8,8,8.7015
