"subject","mode","pretty_condition","question","score","SHAPE","SCALE"
"Y0KJD","asynch","Tri-Isosceles",5,0,"TRI","isosceles"
"Y0KJD","asynch","Tri-Isosceles",6,0,"TRI","isosceles"
"Y0KJD","asynch","Tri-Isosceles",7,0,"TRI","isosceles"
"Y0KJD","asynch","Tri-Isosceles",8,0,"TRI","isosceles"
"Y0KJD","asynch","Tri-Isosceles",9,0,"TRI","isosceles"
"Y0KJD","asynch","Tri-Isosceles",10,0,"TRI","isosceles"
"Y0KJD","asynch","Tri-Isosceles",11,0,"TRI","isosceles"
"Y0KJD","asynch","Tri-Isosceles",12,0,"TRI","isosceles"
"Y0KJD","asynch","Tri-Isosceles",13,0,"TRI","isosceles"
"WDBTE","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"WDBTE","asynch","Tri-Isosceles",2,0,"TRI","isosceles"
"WDBTE","asynch","Tri-Isosceles",3,1,"TRI","isosceles"
"WDBTE","asynch","Tri-Isosceles",4,2,"TRI","isosceles"
"WDBTE","asynch","Tri-Isosceles",5,3,"TRI","isosceles"
"WDBTE","asynch","Tri-Isosceles",6,3,"TRI","isosceles"
"WDBTE","asynch","Tri-Isosceles",7,4,"TRI","isosceles"
"WDBTE","asynch","Tri-Isosceles",8,5,"TRI","isosceles"
"WDBTE","asynch","Tri-Isosceles",9,6,"TRI","isosceles"
"WDBTE","asynch","Tri-Isosceles",10,7,"TRI","isosceles"
"WDBTE","asynch","Tri-Isosceles",11,8,"TRI","isosceles"
"WDBTE","asynch","Tri-Isosceles",12,9,"TRI","isosceles"
"WDBTE","asynch","Tri-Isosceles",13,10,"TRI","isosceles"
"CC9FZ","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"CC9FZ","asynch","Tri-Isosceles",2,0,"TRI","isosceles"
"CC9FZ","asynch","Tri-Isosceles",3,0,"TRI","isosceles"
"CC9FZ","asynch","Tri-Isosceles",4,0,"TRI","isosceles"
"CC9FZ","asynch","Tri-Isosceles",5,0,"TRI","isosceles"
"CC9FZ","asynch","Tri-Isosceles",6,0,"TRI","isosceles"
"CC9FZ","asynch","Tri-Isosceles",7,0,"TRI","isosceles"
"CC9FZ","asynch","Tri-Isosceles",8,0,"TRI","isosceles"
"CC9FZ","asynch","Tri-Isosceles",9,0,"TRI","isosceles"
"CC9FZ","asynch","Tri-Isosceles",10,0,"TRI","isosceles"
"CC9FZ","asynch","Tri-Isosceles",11,0,"TRI","isosceles"
"CC9FZ","asynch","Tri-Isosceles",12,0,"TRI","isosceles"
"CC9FZ","asynch","Tri-Isosceles",13,0,"TRI","isosceles"
"DY0BB","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"DY0BB","asynch","Tri-Isosceles",2,0,"TRI","isosceles"
"DY0BB","asynch","Tri-Isosceles",3,0,"TRI","isosceles"
"DY0BB","asynch","Tri-Isosceles",4,0,"TRI","isosceles"
"DY0BB","asynch","Tri-Isosceles",5,0,"TRI","isosceles"
"DY0BB","asynch","Tri-Isosceles",6,0,"TRI","isosceles"
"DY0BB","asynch","Tri-Isosceles",7,0,"TRI","isosceles"
"DY0BB","asynch","Tri-Isosceles",8,0,"TRI","isosceles"
"DY0BB","asynch","Tri-Isosceles",9,0,"TRI","isosceles"
"DY0BB","asynch","Tri-Isosceles",10,0,"TRI","isosceles"
"DY0BB","asynch","Tri-Isosceles",11,0,"TRI","isosceles"
"DY0BB","asynch","Tri-Isosceles",12,0,"TRI","isosceles"
"DY0BB","asynch","Tri-Isosceles",13,0,"TRI","isosceles"
"304O6","asynch","Tri-Isosceles",1,0,"TRI","isosceles"
"304O6","asynch","Tri-Isosceles",2,0,"TRI","isosceles"
"304O6","asynch","Tri-Isosceles",3,0,"TRI","isosceles"
