"subject","mode","pretty_condition","question","score","SHAPE","SCALE"
"4GNS9","asynch","Tri-Isosceles",9,-9,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",10,-10,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",11,-11,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",12,-12,"TRI","isosceles"
"4GNS9","asynch","Tri-Isosceles",13,-13,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",1,0.5,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",2,1.5,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",3,2.5,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",4,3.5,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",5,4.5,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",6,5.5,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",7,6.5,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",8,7.5,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",9,8.5,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",10,9.5,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",11,10.5,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",12,11.5,"TRI","isosceles"
"NUUUY","asynch","Tri-Isosceles",13,12.5,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",1,1,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",2,2,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",3,3,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",4,4,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",5,5,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",6,5.5,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",7,6.5,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",8,7.5,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",9,8.5,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",10,9.5,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",11,10.5,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",12,11.5,"TRI","isosceles"
"GE074","asynch","Tri-Isosceles",13,12.5,"TRI","isosceles"
"Y0KJD","asynch","Tri-Isosceles",1,-1,"TRI","isosceles"
"Y0KJD","asynch","Tri-Isosceles",2,-2,"TRI","isosceles"
"Y0KJD","asynch","Tri-Isosceles",3,-3,"TRI","isosceles"
"Y0KJD","asynch","Tri-Isosceles",4,-4,"TRI","isosceles"
"Y0KJD","asynch","Tri-Isosceles",5,-4.5,"TRI","isosceles"
"Y0KJD","asynch","Tri-Isosceles",6,-5.5,"TRI","isosceles"
"Y0KJD","asynch","Tri-Isosceles",7,-6.5,"TRI","isosceles"
"Y0KJD","asynch","Tri-Isosceles",8,-7,"TRI","isosceles"
"Y0KJD","asynch","Tri-Isosceles",9,-8,"TRI","isosceles"
"Y0KJD","asynch","Tri-Isosceles",10,-9,"TRI","isosceles"
"Y0KJD","asynch","Tri-Isosceles",11,-10,"TRI","isosceles"
"Y0KJD","asynch","Tri-Isosceles",12,-11,"TRI","isosceles"
"Y0KJD","asynch","Tri-Isosceles",13,-12,"TRI","isosceles"
"WDBTE","asynch","Tri-Isosceles",1,-0.5,"TRI","isosceles"
"WDBTE","asynch","Tri-Isosceles",2,0,"TRI","isosceles"
"WDBTE","asynch","Tri-Isosceles",3,1,"TRI","isosceles"
"WDBTE","asynch","Tri-Isosceles",4,2,"TRI","isosceles"
"WDBTE","asynch","Tri-Isosceles",5,3,"TRI","isosceles"
"WDBTE","asynch","Tri-Isosceles",6,2,"TRI","isosceles"
"WDBTE","asynch","Tri-Isosceles",7,3,"TRI","isosceles"
"WDBTE","asynch","Tri-Isosceles",8,4,"TRI","isosceles"
"WDBTE","asynch","Tri-Isosceles",9,5,"TRI","isosceles"
"WDBTE","asynch","Tri-Isosceles",10,6,"TRI","isosceles"
"WDBTE","asynch","Tri-Isosceles",11,7,"TRI","isosceles"
"WDBTE","asynch","Tri-Isosceles",12,8,"TRI","isosceles"
"WDBTE","asynch","Tri-Isosceles",13,9,"TRI","isosceles"
"CC9FZ","asynch","Tri-Isosceles",1,-1,"TRI","isosceles"
"CC9FZ","asynch","Tri-Isosceles",2,-2,"TRI","isosceles"
"CC9FZ","asynch","Tri-Isosceles",3,-2.5,"TRI","isosceles"
"CC9FZ","asynch","Tri-Isosceles",4,-3.5,"TRI","isosceles"
"CC9FZ","asynch","Tri-Isosceles",5,-4,"TRI","isosceles"
"CC9FZ","asynch","Tri-Isosceles",6,-5,"TRI","isosceles"
"CC9FZ","asynch","Tri-Isosceles",7,-6,"TRI","isosceles"
"CC9FZ","asynch","Tri-Isosceles",8,-6.5,"TRI","isosceles"
"CC9FZ","asynch","Tri-Isosceles",9,-7.5,"TRI","isosceles"
"CC9FZ","asynch","Tri-Isosceles",10,-8.5,"TRI","isosceles"
"CC9FZ","asynch","Tri-Isosceles",11,-8.5,"TRI","isosceles"
"CC9FZ","asynch","Tri-Isosceles",12,-8.5,"TRI","isosceles"
"CC9FZ","asynch","Tri-Isosceles",13,-9.5,"TRI","isosceles"
"DY0BB","asynch","Tri-Isosceles",1,-1,"TRI","isosceles"
"DY0BB","asynch","Tri-Isosceles",2,-2,"TRI","isosceles"
"DY0BB","asynch","Tri-Isosceles",3,-3,"TRI","isosceles"
"DY0BB","asynch","Tri-Isosceles",4,-4,"TRI","isosceles"
"DY0BB","asynch","Tri-Isosceles",5,-4.5,"TRI","isosceles"
"DY0BB","asynch","Tri-Isosceles",6,-5.5,"TRI","isosceles"
"DY0BB","asynch","Tri-Isosceles",7,-6.5,"TRI","isosceles"
"DY0BB","asynch","Tri-Isosceles",8,-7.5,"TRI","isosceles"
"DY0BB","asynch","Tri-Isosceles",9,-8.5,"TRI","isosceles"
"DY0BB","asynch","Tri-Isosceles",10,-9.5,"TRI","isosceles"
"DY0BB","asynch","Tri-Isosceles",11,-10.5,"TRI","isosceles"
"DY0BB","asynch","Tri-Isosceles",12,-10.5,"TRI","isosceles"
"DY0BB","asynch","Tri-Isosceles",13,-11.5,"TRI","isosceles"
"304O6","asynch","Tri-Isosceles",1,-1,"TRI","isosceles"
"304O6","asynch","Tri-Isosceles",2,-0.5,"TRI","isosceles"
"304O6","asynch","Tri-Isosceles",3,-1,"TRI","isosceles"
"304O6","asynch","Tri-Isosceles",4,0,"TRI","isosceles"
"304O6","asynch","Tri-Isosceles",5,0,"TRI","isosceles"
"304O6","asynch","Tri-Isosceles",6,-1,"TRI","isosceles"
"304O6","asynch","Tri-Isosceles",7,-1,"TRI","isosceles"
"304O6","asynch","Tri-Isosceles",8,-2,"TRI","isosceles"
"304O6","asynch","Tri-Isosceles",9,-3,"TRI","isosceles"
"304O6","asynch","Tri-Isosceles",10,-4,"TRI","isosceles"
"304O6","asynch","Tri-Isosceles",11,-5,"TRI","isosceles"
"304O6","asynch","Tri-Isosceles",12,-6,"TRI","isosceles"
"304O6","asynch","Tri-Isosceles",13,-6,"TRI","isosceles"
"WA4UC","asynch","Tri-Isosceles",1,-1,"TRI","isosceles"
"WA4UC","asynch","Tri-Isosceles",2,-0.5,"TRI","isosceles"
"WA4UC","asynch","Tri-Isosceles",3,-1.5,"TRI","isosceles"
"WA4UC","asynch","Tri-Isosceles",4,-2.5,"TRI","isosceles"
"WA4UC","asynch","Tri-Isosceles",5,-3.5,"TRI","isosceles"
"WA4UC","asynch","Tri-Isosceles",6,-4.5,"TRI","isosceles"
"WA4UC","asynch","Tri-Isosceles",7,-5.5,"TRI","isosceles"
"WA4UC","asynch","Tri-Isosceles",8,-6.5,"TRI","isosceles"
"WA4UC","asynch","Tri-Isosceles",9,-7.5,"TRI","isosceles"
"WA4UC","asynch","Tri-Isosceles",10,-8.5,"TRI","isosceles"
"WA4UC","asynch","Tri-Isosceles",11,-9.5,"TRI","isosceles"
