"subject","mode","pretty_condition","question","score"
"ADRO0","asynch","11115",6,-6
"ADRO0","asynch","11115",7,-7
"ADRO0","asynch","11115",8,-8
"ADRO0","asynch","11115",9,-9
"ADRO0","asynch","11115",10,-10
"ADRO0","asynch","11115",11,-11
"ADRO0","asynch","11115",12,-12
"ADRO0","asynch","11115",13,-13
"D6P9K","asynch","11115",1,-1
"D6P9K","asynch","11115",2,-2
"D6P9K","asynch","11115",3,-2.5
"D6P9K","asynch","11115",4,-1.5
"D6P9K","asynch","11115",5,-0.5
"D6P9K","asynch","11115",6,0.5
"D6P9K","asynch","11115",7,1.5
"D6P9K","asynch","11115",8,2.5
"D6P9K","asynch","11115",9,3.5
"D6P9K","asynch","11115",10,4.5
"D6P9K","asynch","11115",11,4.5
"D6P9K","asynch","11115",12,5.5
"D6P9K","asynch","11115",13,6.5
"J3FYJ","asynch","11115",1,-1
"J3FYJ","asynch","11115",2,-2
"J3FYJ","asynch","11115",3,-2.5
"J3FYJ","asynch","11115",4,-3.5
"J3FYJ","asynch","11115",5,-4
"J3FYJ","asynch","11115",6,-5
"J3FYJ","asynch","11115",7,-5.5
"J3FYJ","asynch","11115",8,-6
"J3FYJ","asynch","11115",9,-7
"J3FYJ","asynch","11115",10,-8
"J3FYJ","asynch","11115",11,-9
"J3FYJ","asynch","11115",12,-10
"J3FYJ","asynch","11115",13,-11
"NHP4G","asynch","11115",1,-1
"NHP4G","asynch","11115",2,-2
"NHP4G","asynch","11115",3,-3
"NHP4G","asynch","11115",4,-4
"NHP4G","asynch","11115",5,-4.5
"NHP4G","asynch","11115",6,-5
"NHP4G","asynch","11115",7,-6
"NHP4G","asynch","11115",8,-7
"NHP4G","asynch","11115",9,-8
"NHP4G","asynch","11115",10,-9
"NHP4G","asynch","11115",11,-10
"NHP4G","asynch","11115",12,-10.5
"NHP4G","asynch","11115",13,-11
"QAU26","asynch","11115",1,0
"QAU26","asynch","11115",2,-1
"QAU26","asynch","11115",3,-1.5
"QAU26","asynch","11115",4,-2
"QAU26","asynch","11115",5,-1
"QAU26","asynch","11115",6,-2
"QAU26","asynch","11115",7,-1
"QAU26","asynch","11115",8,0
