"subject","condition","pretty_condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"VWB05","11115","point-click","winter22","asynch","Female",19,"Cantonese","Second","United States","I tried my best on each question",2,4,4,"","",6.1188,2,"chrome",1536,746,-0.42384184443008,10.9375,-0.646250808015514,0,0,0,0,-11.5,0,3.71906666666667,17.1649230769231,2.867,27.67,0,11,0,0,2,0,1,1,0,-1,"Orthogonal",24.46,0,0,"blank",23.075,0,"Orthogonal",13.969,0,"Orthogonal",27.67,0,-4,93.073,0,-7.5,130.071
"WBJQG","11115","point-click","winter22","asynch","Female",20,"English","Third","usa","I tried my best on most questions",3,1,3,"","",3.14773333333333,1,"chrome",1440,777,0.0435823979941627,2.10592006033183,1.52314964447317,0,0,0,0,-4.5,0,1.55305,7.16792307692308,2.782,14.365,1,3,2,0,7,2,7,0,0,-0.5,"?",13.632,0,-0.5,"?",7.123,0,"Tversky",10.328,0,"?",4.251,0,-3.5,46.219,0,-1,46.964
"WEFE3","11115","point-click","winter22","asynch","Female",19,"English","First","America","I tried my best on most questions",3,2,1,"make graph bigger to see points","No",10.54565,1,"chrome",1295,734,-0.343917602005837,3.53974358974359,0.856482977806507,0,0,0,0,-7.5,0,8.05495,37.1766923076923,6.124,180.288,0,4,1,0,8,1,8,0,0,-1,"Orthogonal",18.885,0,-0.5,"?",180.288,0,"Tversky",17.382,0,"?",7.415,0,-3,307.18,0,-4.5,176.117
"WEG15","11115","point-click","winter22","asynch","Female",26,"English","Fourth","United States","I tried my best on each question",4,3,3,"N/A","No",11.4089333333333,1,"chrome",1416,880,0.504729584141349,10.7564102564103,-0.794602456367162,0,0,0,1,-10.5,0.0769230769230769,8.11886666666667,37.4716923076923,6.543,117.533,1,11,0,0,1,0,1,0,0,-1,"Orthogonal",28.067,1,1,"Triangular",18.901,0,"Orthogonal",32.527,0,"Orthogonal",41.802,1,-2.5,128.231,0,-8,358.901
"WF1M3","11115","point-click","winter22","asynch","Female",21,"English","Fourth","India","I tried my best on most questions",2,4,4,"","No",11.1800833333333,3,"chrome",1536,754,-0.455927405927406,10.9333333333333,-0.0874272786037492,0,0,0,0,-11.5,0,8.21805,37.9294615384615,8.458,137.457,0,11,0,0,2,0,1,1,0,-1,"Orthogonal",21.283,0,-1,"Orthogonal",137.457,0,"Orthogonal",25.978,0,"?",19.529,0,-5,266.844,0,-6.5,226.239
"XHMNM","11115","point-click","winter22","asynch","Female",22,"English","Fourth","Hong Kong","I tried my best on each question",3,3,4,"nil","no ",39.0318333333333,1.5,"chrome",1440,704,0.598344302756068,8.23974358974359,1.87983462615816,0,0,0,1,-8,0.0769230769230769,11.5507166666667,53.311,4.788,249.502,1,9,1,0,2,1,1,1,0,-1,"Orthogonal",8.801,0,0.5,"Tversky",153.978,0,"Orthogonal",22.189,0,"Orthogonal",73.392,1,-1,226.392,0,-7,466.651
"XJLSB","11115","point-click","winter22","asynch","Male",27,"English","Fourth","United States","I tried my best on each question",4,3,3,"was difficult to read the graph with limited instruction","n/a",6.83665,1,"chrome",1920,937,-0.473084268672504,5.48141025641026,-0.331017022193493,0,0,0,0,-9.5,0,3.81405,17.6033076923077,3.472,30.909,0,6,0,0,7,0,7,0,0,-1,"Orthogonal",18.506,0,-0.5,"?",22.439,0,"Orthogonal",13.066,0,"Orthogonal",30.909,0,-3.5,86.208,0,-6,142.635
"XLH9B","11115","point-click","winter22","asynch","Male",21,"English","Fourth","United States","I tried my best on each question",3,3,3,"","No.",12.7335333333333,1,"chrome",1920,937,-0.437827858416094,10.8333333333333,-0.0748222365869425,0,0,0,0,-12,0,8.63775,39.8665384615385,9.02,95.497,0,11,0,0,2,0,2,0,0,-0.5,"?",45.958,0,-1,"Orthogonal",87.367,0,"Orthogonal",24.323,0,"Orthogonal",55.082,0,-4,271.728,0,-8,246.537
"XNRRS","11115","point-click","winter22","asynch","Other-Not Listed",21,"English","Third","US","I tried my best on each question",4,4,2,"The grid lines did not correlate with the actual end time of the shifts. It would be thought that we just follow the diagonal straight down to find the time but it wasn't even accurate, making this harder than it should've been.","",9.58261666666667,1,"chrome",1920,937,-0.42384184443008,12,-0.646250808015514,0,0,0,0,-12,0,6.5746,30.3443076923077,6.022,71.57,0,12,0,0,1,0,0,1,0,-1,"Orthogonal",18.324,0,0,"blank",46.033,0,"Orthogonal",18.158,0,"Orthogonal",33.15,0,-4,235.206,0,-8,159.27
"XV09T","11115","point-click","winter22","asynch","Female",21,"English","Third","United States","I tried my best on each question",3,3,5,"","No",7.16075,1,"chrome",1439,696,0.42615815556992,3.08508672699849,0.151125834949364,0,0,0,1,-7,0.0769230769230769,4.1873,19.326,7.212,39.278,1,4,0,0,8,0,8,0,0,-1,"Orthogonal",20.411,1,1,"Triangular",14.503,0,"frenzy",32.494,0,"?",8.674,1,-2,121.398,0,-5,129.84
"Y82VR","11115","point-click","winter22","asynch","Female",21,"Spanish","Third","United States","I tried my best on most questions",2,4,3,"","",25.6886,1,"chrome",1600,712,-0.452250935339171,9.77307692307692,0.412572721396251,0,0,0,0,-10.5,0,15.4102166666667,71.1240769230769,13.529,408.417,0,10,1,0,2,1,2,0,0,-1,"Orthogonal",29.407,0,-0.5,"?",33.556,0,"Orthogonal",59.609,0,"?",31.691,0,-3,121.294,0,-7.5,803.319
"YCA39","11115","point-click","winter22","asynch","Male",20,"English","Second","United States","I tried my best on each question",3,4,4,"The way the graph was structured definitely affected my performance and accuracy.","N/A",13.1584833333333,2,"chrome",2560,1329,-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,7.16196666666667,33.0552307692308,9.01,112.692,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",22.026,0,-1,"Orthogonal",112.692,0,"Orthogonal",28.344,0,"Orthogonal",25.191,0,-5,208.879,0,-8,220.839
"YM960","11115","point-click","winter22","asynch","Female",18,"English","First","United States of America","I tried my best on each question",4,3,3,"N/A","N/A",4.96561666666667,1,"chrome",1440,730,-0.514750935339171,11.9375,-0.146250808015514,0,0,0,0,-12.5,0,3.2569,15.0318461538462,3.323,37.343,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",3.644,0,-1,"Orthogonal",23.674,0,"Orthogonal",7.072,0,"Orthogonal",34.543,0,-5,65.248,0,-7.5,130.166
"YV5WY","11115","point-click","winter22","asynch","Male",22,"English","Fourth","USA","I tried my best on each question",4,5,4,"I thought this was definitely an interesting way to keep track of time and shifts, however, I think if I was a worker who had to decipher this schedule every few weeks I would become a bit irritated. Overall, interesting experience and challenge to perform this task. ","No.",8.0421,1,"chrome",1920,975,-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,5.33361666666667,24.6166923076923,3.442,52.451,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",35.526,0,-1,"Orthogonal",52.451,0,"Orthogonal",10.531,0,"Orthogonal",23.272,0,-5,157.458,0,-8,162.559
"Z39WH","11115","point-click","winter22","asynch","Female",22,"English","Third","USA","I tried my best on each question",4,3,5,"NA","No",12.2818333333333,1,"chrome",1406,740,3.00840605472958,7.37626319758673,1.20907401422107,0,0,0,3,-5.5,0.230769230769231,9.66738333333333,44.6186923076923,8.161,185.075,3,7,0,0,3,0,3,0,0,-1,"Orthogonal",27.7,1,1,"Triangular",185.075,0,"Orthogonal",10.228,0,"Orthogonal",33.595,1,-2.5,303.074,2,-3,276.969
"Z6CB2","11115","point-click","winter22","asynch","Male",21,"X-Other","Third","USA","I tried my best on each question",4,3,5,"I wouldn't say a practice example, but some time to familiarize yourself with the graph and decipher it in your head before getting asked the questions. ","N/A",21.9146833333333,1,"chrome",1440,706,0.806677636089401,11.0166666666667,1.17517776341306,0,0,0,1,-10.5,0.0769230769230769,16.1342833333333,74.4659230769231,6.785,154.218,1,11,0,0,1,0,1,0,0,-1,"Orthogonal",23.275,0,-1,"Orthogonal",140.521,0,"Orthogonal",55.044,0,"Orthogonal",92.417,1,-2.5,366.871,0,-8,601.186
"Z84ZV","11115","point-click","winter22","asynch","Female",19,"English","Second","US","I tried my best on each question",4,3,3,"It was a little tricky reading the graph, but i did try my best","No",5.58926666666667,1,"chrome",1536,753,-1.03277041585865,9.5,-0.242189183365654,0,0,0,0,-9.5,0,3.50661666666667,16.1843846153846,4.21,34.541,0,10,1,0,2,1,0,2,0,-1,"Orthogonal",12.851,0,0,"blank",12.833,0,"Orthogonal",13.531,0,"Orthogonal",22.282,0,-2.5,63.661,0,-7,146.736
"ZKG07","11115","point-click","winter22","asynch","Female",19,"X-Other","First","america","I tried my best on each question",2,4,5,"","",6.96933333333333,1,"chrome",1512,777,6.57664835164835,4.78092006033182,3.86996336996337,0,0,0,7,2.5,0.538461538461538,4.47051666666667,20.6331538461538,6.562,71.506,7,5,1,0,0,1,0,0,0,-1,"Orthogonal",15.302,1,1,"Triangular",20.617,0,"Tversky",71.506,1,"Triangular",16.2,1,-3,87.432,6,5.5,180.799
"ZRRZW","11115","point-click","winter22","asynch","Female",21,"English","Fourth","United States","I tried my best on each question",4,2,4,"","",9.59708333333333,1,"chrome",1228,706,0.544072594072594,10.8578431372549,0.912572721396251,0,0,0,1,-10.5,0.0769230769230769,6.80455,31.4056153846154,6.744,58.962,1,11,0,0,1,0,1,0,0,-1,"Orthogonal",30.476,0,-1,"Orthogonal",53.096,0,"Orthogonal",18.708,0,"Orthogonal",58.962,0,-4.5,169.219,1,-6,239.054
