"subject","condition","pretty_condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"6B6X6","11115","point-click","winter22","asynch","Male",24,"Cantonese","Third","USA","I tried my best on each question",5,1,5,"The task is interesting but the graph got me so confused reading it so i had to guess most of the time on how the graph works.","",6.91948333333333,1,"chrome",2560,1321,1.63865815556992,6.64391025641026,0.639221073044602,0,0,0,2,-7.5,0.153846153846154,4.05803333333333,18.7293846153846,4.441,52.616,2,8,0,0,3,0,3,0,0,-1,"Orthogonal",16.337,1,1,"Triangular",16.214,0,"Orthogonal",10.101,0,"Orthogonal",26.791,2,-0.5,111.209,0,-7,132.273
"6FM91","11115","point-click","winter22","asynch","Female",19,"English","Second","United States","I tried my best on each question",4,2,5,"","",11.52305,1,"chrome",1440,821,1.56425339366516,8.77307692307692,0.848254686489981,0,0,0,2,-7,0.153846153846154,8.3966,38.7535384615385,10.789,82.104,2,9,1,0,1,1,1,0,0,-1,"Orthogonal",15.599,1,1,"Triangular",68.853,0,"Orthogonal",25.292,0,"?",82.104,2,0.5,177.976,0,-7.5,325.82
"6Q1UC","11115","point-click","winter22","asynch","Female",20,"English","Second","United States","I tried my best on each question",3,4,4,"The graph was cool to look at!","n/a",11.2317,1,"chrome",1440,723,-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,6.44585,29.7500769230769,6.084,98.432,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",18.152,0,-1,"Orthogonal",98.432,0,"Orthogonal",19.946,0,"Orthogonal",35.21,0,-5,180.246,0,-8,206.505
"6TQE3","11115","point-click","winter22","asynch","Female",21,"Mandarin","Second","China","I tried my best on each question",4,2,4,"I think the graph is a bit confusing for me.","",5.69321666666667,1,"chrome",1440,789,1.05800547491724,0.0892533936651584,2.10900129282482,0,0,0,2,-2,0.153846153846154,2.68798333333333,12.4060769230769,2.784,24.221,2,1,2,0,8,2,8,0,1,1,"Triangular",13.836,0,-0.5,"?",24.221,0,"Tversky",15.757,0,"?",4.501,2,1.5,65.538,0,-3.5,95.741
"6XY80","11115","point-click","winter22","asynch","Female",22,"Spanish","Fourth","USA","I tried my best on each question",3,3,3,"Have a practice graph example to show us how you want us to answer. ","N/A",9.94838333333333,1,"chrome",1440,821,1.18141025641026,3.91057692307692,1.60164835164835,0,0,0,2,-4,0.153846153846154,6.82933333333333,31.52,10.072,132.042,2,5,1,0,5,1,3,2,0,-1,"Orthogonal",30.733,1,1,"Triangular",20.472,0,"Orthogonal",132.042,1,"Triangular",17.032,1,0,125.708,1,-4,284.052
"7OBDZ","11115","point-click","winter22","asynch","Female",20,"Spanish","Third","United States","I tried my best on each question",3,3,3,"","no",12.49575,1,"chrome",1440,764,-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,8.54746666666667,39.4498461538462,6.706,97.661,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",26.757,0,-1,"Orthogonal",97.661,0,"Orthogonal",17.489,0,"Orthogonal",85.484,0,-5,201.196,0,-8,311.652
"7SV52","11115","point-click","winter22","asynch","Male",18,"English","First","United States","I tried my best on most questions",3,3,2,"I was confused at the beginning so most of my first answers are wrong.","No.",13.0848333333333,1.5,"chrome",1440,821,1.55532482223659,9.15641025641026,0.252316311139841,0,0,0,1,-8.5,0.0769230769230769,8.24051666666667,38.0331538461538,4.641,111.332,2,10,0,0,1,0,1,0,0,-1,"Orthogonal",22.345,1,1,"Triangular",9.938,0,"Orthogonal",17.886,0,"Orthogonal",44.874,1,-0.5,117.977,0,-8,376.454
"8NURS","11115","point-click","winter22","asynch","Male",19,"English","Second","US","I tried my best on each question",3,5,5,"n/a","",5.94463333333333,2,"chrome",1920,969,1.81771978021978,5.69391025641026,0.451721073044602,0,0,0,2,-4.5,0.153846153846154,3.9493,18.2275384615385,4.981,39.896,2,6,0,0,5,0,1,4,0,-1,"Orthogonal",9.127,1,1,"Triangular",39.896,0,"blank",27.693,0,"Orthogonal",32.415,1,-1.5,75.23,1,-3,161.728
"9DK63","11115","point-click","winter22","asynch","Female",21,"X-Other","Third","Mongolia","I tried my best on each question",2,4,3,"","no ",11.5772166666667,1,"chrome",1440,789,-0.452250935339171,12.5,-0.0874272786037492,0,0,0,0,-13,0,7.45565,34.4106923076923,5.087,121.45,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",28.217,0,-1,"Orthogonal",88.458,0,"Orthogonal",42.863,0,"Orthogonal",121.45,0,-5,155.772,0,-8,291.567
"9OEG6","11115","point-click","winter22","asynch","Male",18,"Mandarin","First","China","I tried my best on each question",4,4,3,"N/A","No",6.85385,1,"chrome",1920,929,-0.452250935339171,12.5,-0.0874272786037492,0,0,0,0,-13,0,3.7119,17.1318461538462,3.467,46.607,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",14.164,0,-1,"Orthogonal",46.607,0,"Orthogonal",9.482,0,"Orthogonal",16.421,0,-5,121.293,0,-8,101.421
