SUBJECTID,order_num,math_acc,order_acc,weighted
B44PE,14,0.7931034482758621,0.4666666666666667,11.10344827586207
B4TCC,17,0.8620689655172413,0.5666666666666667,14.655172413793103
BASO5,14,0.9310344827586207,0.4666666666666667,13.034482758620689
BK0TH,30,1,1,30
BR500,25,0.9310344827586207,0.8333333333333334,23.275862068965516
BYJU8,16,0.9310344827586207,0.5333333333333333,14.89655172413793
BYKF0,30,0.8620689655172413,1,25.86206896551724
C3Q4L,12,0.896551724137931,0.4,10.758620689655173
CFUMT,2,0.896551724137931,0.06666666666666667,1.793103448275862
CHP0K,21,0.9310344827586207,0.7,19.551724137931036
CLV1E,17,0.6551724137931034,0.5666666666666667,11.137931034482758
CN995,25,1,0.8333333333333334,25
CPRP9,23,1,0.7666666666666667,23
DGJQ3,1,0.7241379310344828,0.03333333333333333,0.7241379310344828
DGVGP,28,0.896551724137931,0.9333333333333333,25.10344827586207
DMUWM,23,0.9310344827586207,0.7666666666666667,21.413793103448274
E0G9F,0,0.896551724137931,0,0
E6KMK,21,0.9655172413793104,0.7,20.27586206896552
E9SDE,29,0.8275862068965517,0.9666666666666667,24
EA6YH,16,0.896551724137931,0.5333333333333333,14.344827586206897
EMKFA,23,0.9310344827586207,0.7666666666666667,21.413793103448274
EZ7J5,21,0.9310344827586207,0.7,19.551724137931036
F4XPD,17,0.9655172413793104,0.5666666666666667,16.413793103448278
F86ZM,28,0.9655172413793104,0.9333333333333333,27.03448275862069
FDRWD,30,1,1,30
FW9D5,22,0.9655172413793104,0.7333333333333333,21.24137931034483
G17YM,29,0.9310344827586207,0.9666666666666667,27
GB4TH,30,0.8275862068965517,1,24.82758620689655
GDDR7,16,0.896551724137931,0.5333333333333333,14.344827586206897
GOVCU,27,0.896551724137931,0.9,24.20689655172414
GXWDP,25,0.896551724137931,0.8333333333333334,22.413793103448278
GY85V,29,1,0.9666666666666667,29
HCGNQ,23,1,0.7666666666666667,23
HUNJ8,27,1,0.9,27
JPZWL,23,1,0.7666666666666667,23
K3AE8,16,0.8275862068965517,0.5333333333333333,13.241379310344827
K5PDZ,21,0.9655172413793104,0.7,20.27586206896552
K7HM9,22,0.8620689655172413,0.7333333333333333,18.96551724137931
K7HSV,5,0.8620689655172413,0.16666666666666666,4.310344827586206
K9UQH,24,1,0.8,24
KEMWH,14,0.9310344827586207,0.4666666666666667,13.034482758620689
KFXNR,29,0.8620689655172413,0.9666666666666667,25
KNH2B,30,1,1,30
KPZTN,9,0.9310344827586207,0.3,8.379310344827585
KSJXR,21,0.8620689655172413,0.7,18.103448275862068
KT7ZF,4,0.5172413793103449,0.13333333333333333,2.0689655172413794
KXRFL,19,0.9310344827586207,0.6333333333333333,17.689655172413794
LCFZM,18,0.9655172413793104,0.6,17.379310344827587
LNVKO,24,0.9655172413793104,0.8,23.17241379310345
LPY8N,28,0.9310344827586207,0.9333333333333333,26.068965517241377
LS93R,11,0.8620689655172413,0.36666666666666664,9.482758620689655
LZSME,30,0.896551724137931,1,26.896551724137932
M3W2D,18,0.8620689655172413,0.6,15.517241379310343
M9WY5,13,0.896551724137931,0.43333333333333335,11.655172413793103
MAJW8,28,0.9655172413793104,0.9333333333333333,27.03448275862069
MJF6K,28,0.9655172413793104,0.9333333333333333,27.03448275862069
MM806,25,0.9655172413793104,0.8333333333333334,24.137931034482758
N34B6,22,0.9655172413793104,0.7333333333333333,21.24137931034483
N36VM,22,0.896551724137931,0.7333333333333333,19.724137931034484
N5NRY,25,0.9655172413793104,0.8333333333333334,24.137931034482758
N8PCJ,8,0.8275862068965517,0.26666666666666666,6.620689655172414
NDMOH,22,0.9655172413793104,0.7333333333333333,21.24137931034483
NH0FO,30,0.9310344827586207,1,27.93103448275862
NTSOK,21,0.9655172413793104,0.7,20.27586206896552
NV47T,28,1,0.9333333333333333,28
O8YL4,16,0.9310344827586207,0.5333333333333333,14.89655172413793
OE3DT,12,1,0.4,12
OFOB1,11,1,0.36666666666666664,11
OHLRP,21,1,0.7,21
OUCFL,7,1,0.23333333333333334,7
P1STY,25,0.9655172413793104,0.8333333333333334,24.137931034482758
P83KE,21,0.896551724137931,0.7,18.82758620689655
PB8WF,24,1,0.8,24
PCKDH,1,0.5172413793103449,0.03333333333333333,0.5172413793103449
PFFEV,21,1,0.7,21
PJYUH,27,1,0.9,27
PQA54,21,0.9655172413793104,0.7,20.27586206896552
PRA08,23,0.8620689655172413,0.7666666666666667,19.82758620689655
PY424,18,0.9655172413793104,0.6,17.379310344827587
Q20EE,26,1,0.8666666666666667,26
Q7A44,30,0.9310344827586207,1,27.93103448275862
QADB9,12,0.9310344827586207,0.4,11.172413793103448
QLO9H,30,1,1,30
QNNZZ,28,0.9655172413793104,0.9333333333333333,27.03448275862069
QOR74,20,1,0.6666666666666666,20
QVWU9,22,0.896551724137931,0.7333333333333333,19.724137931034484
QXNXR,26,1,0.8666666666666667,26
REE6M,3,0.7586206896551724,0.1,2.275862068965517
RRQXQ,17,1,0.5666666666666667,17
S0WU7,26,0.8275862068965517,0.8666666666666667,21.517241379310345
S8NY4,21,0.9310344827586207,0.7,19.551724137931036
SG6TQ,24,0.9655172413793104,0.8,23.17241379310345
SGEJ0,30,0.9655172413793104,1,28.965517241379313
SGTQJ,29,0.896551724137931,0.9666666666666667,26
SHF2Y,14,0.7586206896551724,0.4666666666666667,10.620689655172413
SJJZ8,3,0.6896551724137931,0.1,2.0689655172413794
SQ3V5,30,1,1,30
STJP3,19,0.9655172413793104,0.6333333333333333,18.344827586206897
SV1K5,30,1,1,30
TBQB2,27,0.8620689655172413,0.9,23.275862068965516
TD0NU,27,0.9310344827586207,0.9,25.137931034482758
TE7JZ,16,0.9655172413793104,0.5333333333333333,15.448275862068966
U794E,19,0.896551724137931,0.6333333333333333,17.03448275862069
U820R,11,0.9655172413793104,0.36666666666666664,10.620689655172415
UDSVX,25,0.8620689655172413,0.8333333333333334,21.551724137931032
UH8DS,24,0.9655172413793104,0.8,23.17241379310345
UN6MT,21,0.9310344827586207,0.7,19.551724137931036
UO0XA,24,0.9655172413793104,0.8,23.17241379310345
UQTQ6,26,1,0.8666666666666667,26
US1HX,30,1,1,30
VFA5C,21,0.9655172413793104,0.7,20.27586206896552
VP6G3,5,0.9655172413793104,0.16666666666666666,4.827586206896552
VRHYF,25,1,0.8333333333333334,25
W8QQ3,29,0.896551724137931,0.9666666666666667,26
WB4HC,24,0.9310344827586207,0.8,22.344827586206897
WLO69,28,1,0.9333333333333333,28
WRHPM,16,0.9310344827586207,0.5333333333333333,14.89655172413793
WUB39,12,1,0.4,12
WWMDF,21,0.896551724137931,0.7,18.82758620689655
WYZCU,27,0.9655172413793104,0.9,26.06896551724138
X3B04,22,0.9310344827586207,0.7333333333333333,20.482758620689655
X8P7E,13,1,0.43333333333333335,13
XCK4Q,15,0.9310344827586207,0.5,13.96551724137931
XG38D,23,0.9310344827586207,0.7666666666666667,21.413793103448274
XKX1V,27,0.9310344827586207,0.9,25.137931034482758
XOZJ7,0,0.896551724137931,0,0
XV7KZ,19,0.9655172413793104,0.6333333333333333,18.344827586206897
XWH3F,2,0.8275862068965517,0.06666666666666667,1.6551724137931034
XY3W9,15,0.9655172413793104,0.5,14.482758620689657
XZ05Q,20,0.8620689655172413,0.6666666666666666,17.241379310344826
Y0MZ6,23,1,0.7666666666666667,23
Y7EP3,21,0.896551724137931,0.7,18.82758620689655
Y8LZJ,15,0.8620689655172413,0.5,12.93103448275862
YAFMA,0,0.5172413793103449,0,0
YAZM5,26,0.896551724137931,0.8666666666666667,23.310344827586206
YJN2B,22,0.896551724137931,0.7333333333333333,19.724137931034484
YJP52,0,0.7586206896551724,0,0
YK2A6,22,0.8275862068965517,0.7333333333333333,18.20689655172414
YRELO,28,0.896551724137931,0.9333333333333333,25.10344827586207
