"subject","condition","pretty_condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_mode","SHAPE","SCALE"
"WBR05","113","Tri-Isosceles","spring18","lab-synch","Female",19,"English","Second","united states","NULL","NULL","NULL","NULL","NULL","NULL",12.7254166666667,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"G92Y8","113","Tri-Isosceles","spring18","lab-synch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.6887833333333,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"781AU","111","Orth-Isosceles","spring18","lab-synch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",16.52815,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"YS42C","113","Tri-Isosceles","spring18","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.41821666666667,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"GKC1Y","113","Tri-Isosceles","spring18","lab-synch","Female",22,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",11.13115,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"NVGH4","113","Tri-Isosceles","spring18","lab-synch","Female",20,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",21.46755,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"BKTUJ","111","Orth-Isosceles","spring18","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",14.0787833333333,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"WWOFR","113","Tri-Isosceles","spring18","lab-synch","Female",22,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.2344333333333,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"HZWEH","113","Tri-Isosceles","spring18","lab-synch","Female",22,"Other","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",19.3980333333333,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"4RGO3","111","Orth-Isosceles","spring18","lab-synch","Male",21,"English","Fourth","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",20.2828166666667,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"ELUPZ","113","Tri-Isosceles","spring18","lab-synch","Female",20,"Spanish","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",17.1074333333333,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"VXAHZ","113","Tri-Isosceles","spring18","lab-synch","Male",24,"Other","Third","Finland","NULL","NULL","NULL","NULL","NULL","NULL",10.948,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"J1JP6","111","Orth-Isosceles","spring18","lab-synch","Male",25,"English","Other","USA","NULL","NULL","NULL","NULL","NULL","NULL",22.1772333333333,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"X9PTQ","111","Orth-Isosceles","spring18","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",15.2223,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"TELDD","113","Tri-Isosceles","spring18","lab-synch","Male",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",13.60285,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"T2OHS","113","Tri-Isosceles","spring18","lab-synch","Female",19,"Spanish","Second","UNITED STATES","NULL","NULL","NULL","NULL","NULL","NULL",13.0726166666667,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"W7EBS","111","Orth-Isosceles","spring18","lab-synch","Female",19,"Mandarin or Cantonese","First","China","NULL","NULL","NULL","NULL","NULL","NULL",12.8092333333333,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"94NZK","113","Tri-Isosceles","spring18","lab-synch","Female",22,"English","Fifth","United States","NULL","NULL","NULL","NULL","NULL","NULL",13.8580333333333,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"FA0KM","113","Tri-Isosceles","spring18","lab-synch","Female",19,"Other","First","vietnam","NULL","NULL","NULL","NULL","NULL","NULL",6.31838333333333,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"8LGZ4","111","Orth-Isosceles","spring18","lab-synch","Male",21,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",14.0189666666667,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"SWST4","113","Tri-Isosceles","spring18","lab-synch","Female",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.22685,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"DK1EM","113","Tri-Isosceles","spring18","lab-synch","Male",29,"Other","Fourth","South Korea","NULL","NULL","NULL","NULL","NULL","NULL",9.01451666666667,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"KYTVX","111","Orth-Isosceles","spring18","lab-synch","Male",22,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.7712333333333,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"WLDKB","113","Tri-Isosceles","spring18","lab-synch","Male",18,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",13.9127666666667,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"6DN76","113","Tri-Isosceles","spring18","lab-synch","Female",18,"English","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",8.73113333333333,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"L0W0F","111","Orth-Isosceles","spring18","lab-synch","Female",28,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",9.4247,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"CSU5Z","113","Tri-Isosceles","spring18","lab-synch","Male",22,"English","Fourth","india","NULL","NULL","NULL","NULL","NULL","NULL",14.0575333333333,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"LPABX","113","Tri-Isosceles","spring18","lab-synch","Male",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.6626333333333,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"73N5W","113","Tri-Isosceles","spring18","lab-synch","Female",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.2853833333333,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"XKNWZ","113","Tri-Isosceles","spring18","lab-synch","Female",20,"Other","Third","Vietnam","NULL","NULL","NULL","NULL","NULL","NULL",9.55408333333333,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"J994U","111","Orth-Isosceles","spring18","lab-synch","Male",20,"English","Third","Sri Lanka","NULL","NULL","NULL","NULL","NULL","NULL",13.30185,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"6Y93F","111","Orth-Isosceles","spring18","lab-synch","Male",22,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",17.8723333333333,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"FJV2A","113","Tri-Isosceles","spring18","lab-synch","Female",21,"English","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",13.4011333333333,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"M3NXB","113","Tri-Isosceles","spring18","lab-synch","Female",19,"English","Second","Egypt","NULL","NULL","NULL","NULL","NULL","NULL",14.3720666666667,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"FN9LT","113","Tri-Isosceles","spring18","lab-synch","Female",23,"Other","Fourth","South Korea","NULL","NULL","NULL","NULL","NULL","NULL",13.6394833333333,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"S4G9E","111","Orth-Isosceles","spring18","lab-synch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.89913333333333,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"TCH5L","113","Tri-Isosceles","spring18","lab-synch","Male",22,"Mandarin or Cantonese","Fifth","Indonesia","NULL","NULL","NULL","NULL","NULL","NULL",15.23215,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"X66XB","113","Tri-Isosceles","spring18","lab-synch","Female",21,"Spanish","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.04895,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"5GELG","113","Tri-Isosceles","spring18","lab-synch","Female",20,"Other","Second","Philippines\n","NULL","NULL","NULL","NULL","NULL","NULL",13.9788166666667,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"93YLJ","113","Tri-Isosceles","spring18","lab-synch","Female",23,"Mandarin or Cantonese","Fourth","Hong Kong","NULL","NULL","NULL","NULL","NULL","NULL",10.4283666666667,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"UQWX4","111","Orth-Isosceles","spring18","lab-synch","Male",23,"English","Other","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",12.8825333333333,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"A9CZD","111","Orth-Isosceles","spring18","lab-synch","Female",20,"Mandarin or Cantonese","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.80395,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"CC7G0","111","Orth-Isosceles","spring18","lab-synch","Female",19,"Mandarin or Cantonese","Second","china","NULL","NULL","NULL","NULL","NULL","NULL",10.9969166666667,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"K2YPP","113","Tri-Isosceles","spring18","lab-synch","Male",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.88806666666667,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"B4LD9","111","Orth-Isosceles","spring18","lab-synch","Male",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.3928666666667,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"N8G60","113","Tri-Isosceles","spring18","lab-synch","Female",22,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.5899,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"OY8PV","113","Tri-Isosceles","spring18","lab-synch","Male",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",15.5166333333333,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"YFBWR","113","Tri-Isosceles","spring18","lab-synch","Female",22,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.51168333333333,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"93XU7","113","Tri-Isosceles","spring18","lab-synch","Female",22,"English","Third","America","NULL","NULL","NULL","NULL","NULL","NULL",10.7812833333333,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"UX4QZ","111","Orth-Isosceles","spring18","lab-synch","Male",23,"English","Fifth","united states","NULL","NULL","NULL","NULL","NULL","NULL",14.4078833333333,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"FY6UN","113","Tri-Isosceles","spring18","lab-synch","Female",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.4551833333333,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"QUCDX","111","Orth-Isosceles","spring18","lab-synch","Female",19,"Other","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",11.59425,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"OVZHS","111","Orth-Isosceles","spring18","lab-synch","Female",22,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.8495166666667,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"HWJDK","113","Tri-Isosceles","spring18","lab-synch","Female",19,"English","Second","US","NULL","NULL","NULL","NULL","NULL","NULL",11.2278,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"DD3DE","111","Orth-Isosceles","spring18","lab-synch","Female",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.0378,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"10XMB","113","Tri-Isosceles","spring18","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",15.1564666666667,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"1ZY3L","111","Orth-Isosceles","spring18","lab-synch","Male",20,"English","Third","usa","NULL","NULL","NULL","NULL","NULL","NULL",10.4007333333333,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"ZUJQV","113","Tri-Isosceles","spring18","lab-synch","Female",19,"English","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",9.02006666666667,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"JDT07","113","Tri-Isosceles","spring18","lab-synch","Female",21,"Other","Third","Armenia","NULL","NULL","NULL","NULL","NULL","NULL",17.4412333333333,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"9BBMD","111","Orth-Isosceles","spring18","lab-synch","Male",22,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.6271166666667,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"HJ5O5","111","Orth-Isosceles","spring18","lab-synch","Male",20,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",9.34641666666667,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"X2QZK","113","Tri-Isosceles","spring18","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",15.7394833333333,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"Q8EDD","111","Orth-Isosceles","spring18","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.10525,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"08WET","113","Tri-Isosceles","spring18","lab-synch","Female",19,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.16745,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"0CR6Z","113","Tri-Isosceles","spring18","lab-synch","Female",22,"Other","Fourth","Burma / Myanmar","NULL","NULL","NULL","NULL","NULL","NULL",14.3154833333333,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"F98S2","113","Tri-Isosceles","spring18","lab-synch","Female",22,"English","Fourth","the united states","NULL","NULL","NULL","NULL","NULL","NULL",13.45685,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"VJNWA","111","Orth-Isosceles","spring18","lab-synch","Female",19,"English","Second","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",12.1170166666667,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"DQQQX","111","Orth-Isosceles","spring18","lab-synch","Male",21,"Mandarin or Cantonese","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",13.9024166666667,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"7VQV2","113","Tri-Isosceles","spring18","lab-synch","Female",19,"Other","Second","Iran","NULL","NULL","NULL","NULL","NULL","NULL",10.5411,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"ZB1L5","113","Tri-Isosceles","spring18","lab-synch","Female",19,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.4157833333333,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"Z5Z7P","111","Orth-Isosceles","spring18","lab-synch","Female",23,"English","Fifth","USSA","NULL","NULL","NULL","NULL","NULL","NULL",16.3699666666667,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"XX1TE","111","Orth-Isosceles","spring18","lab-synch","Female",21,"English","Fourth","United states","NULL","NULL","NULL","NULL","NULL","NULL",13.698,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"E3YN6","113","Tri-Isosceles","spring18","lab-synch","Female",20,"English","Second","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",14.6797666666667,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"F3GZE","111","Orth-Isosceles","spring18","lab-synch","Male",19,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",14.3365666666667,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"CK5DF","111","Orth-Isosceles","spring18","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.0937833333333,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"YKJOR","111","Orth-Isosceles","spring18","lab-synch","Male",21,"Mandarin or Cantonese","Third","Canada","NULL","NULL","NULL","NULL","NULL","NULL",8.50596666666667,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"4KEEF","113","Tri-Isosceles","spring18","lab-synch","Female",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.9375666666667,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"WKBNA","111","Orth-Isosceles","spring18","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",14.2046333333333,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"8U980","113","Tri-Isosceles","spring18","lab-synch","Female",18,"Other","First","South Korea","NULL","NULL","NULL","NULL","NULL","NULL",11.5346,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"8XBVF","113","Tri-Isosceles","spring18","lab-synch","Male",19,"English","First","\n\nUnited States","NULL","NULL","NULL","NULL","NULL","NULL",10.4200666666667,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"8FE87","113","Tri-Isosceles","spring18","lab-synch","Male",19,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.4050666666667,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"FBLXY","113","Tri-Isosceles","spring18","lab-synch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.3029,"NULL","NULL","NULL","NULL","laboratory","TRI","isosceles"
"EGP0T","111","Orth-Isosceles","spring18","lab-synch","Female",18,"Mandarin or Cantonese","First","TAIWAN","NULL","NULL","NULL","NULL","NULL","NULL",10.9014833333333,"NULL","NULL","NULL","NULL","laboratory","ORTH","isosceles"
"HSJBQ","11111112","Orth-Equilateral","summer22","asynch","Male",39,"English",NA,"United States","I tried my best on each question","3","5","2","","nope",8.0895,"1","chrome","1707","891","online-replication","ORTH","equilateral"
"6N7FZ","11111112","Orth-Equilateral","summer22","asynch","Male",32,"English",NA,"United States","I tried my best on each question","4","3","4","","",18.5526166666667,"2","chrome","1920","977","online-replication","ORTH","equilateral"
"82VVD","11111112","Orth-Equilateral","summer22","asynch","Female",39,"English",NA,"United States","I tried my best on each question","4","4","5","","No",5.4286,"1","chrome","1440","776","online-replication","ORTH","equilateral"
"H3NDL","11311112","Tri-Equilateral","summer22","asynch","Other-Not Listed",20,"English",NA,"United States","I tried my best on each question","4","3","5","","",8.27885,"1","chrome","1536","754","online-replication","TRI","equilateral"
"087ES","11111112","Orth-Equilateral","summer22","asynch","Male",37,"English",NA,"us","I tried my best on each question","3","4","3","","",7.9126,"4","chrome","1536","755","online-replication","ORTH","equilateral"
"JYQBU","11111112","Orth-Equilateral","summer22","asynch","Male",31,"English",NA,"United States","I tried my best on each question","4","4","1","","",9.00651666666667,"3","chrome","1920","937","online-replication","ORTH","equilateral"
"S0HHG","11111112","Orth-Equilateral","summer22","asynch","Male",24,"English",NA,"United States","I tried my best on each question","4","3","5","","",14.1539833333333,"3","chrome","1920","969","online-replication","ORTH","equilateral"
"MY0UR","11311112","Tri-Equilateral","summer22","asynch","Male",19,"English",NA,"usa","I tried my best on each question","5","3","3","none","no",3.50645,"1","chrome","1637","784","online-replication","TRI","equilateral"
"MVXS8","11311112","Tri-Equilateral","summer22","asynch","Male",31,"English",NA,"United States","I tried my best on most questions","4","3","2","","",6.55833333333333,"1","chrome","1352","761","online-replication","TRI","equilateral"
"FNUCO","11111112","Orth-Equilateral","summer22","asynch","Other-Not Listed",34,"English",NA,"United States","I tried my best on each question","4","3","3","I was confused about how the graph worked and it took me a few questions to finally figure it out, so those first questions are wrong.","",10.0265666666667,"1","chrome","1280","697","online-replication","ORTH","equilateral"
"2P7ZX","11111112","Orth-Equilateral","summer22","asynch","Male",39,"English",NA,"USA","I tried my best on each question","4","3","5","I have never seen a scheduling matrix like this and I am very intrigued by it.","None",15.3937,"1","chrome","1920","1007","online-replication","ORTH","equilateral"
"64SNN","11311112","Tri-Equilateral","summer22","asynch","Female",31,"English",NA,"United States","I tried my best on each question","4","4","2","That chart/graph was unusual so a little difficult to read because of its shape.","No",15.7003,"1","chrome","1600","789","online-replication","TRI","equilateral"
"PUPNU","11311112","Tri-Equilateral","summer22","asynch","Other-Not Listed",27,"English",NA,"USA","I tried my best on each question","3","5","4","","",7.38403333333333,"3","chrome","1920","969","online-replication","TRI","equilateral"
"MV1AX","11111112","Orth-Equilateral","summer22","asynch","Male",61,"English",NA,"UNITED STATES","I tried my best on each question","3","4","3","","No",15.6227833333333,"2","chrome","1920","969","online-replication","ORTH","equilateral"
"D46SH","11311112","Tri-Equilateral","summer22","asynch","Female",23,"English",NA,"United States","I tried my best on each question","2","4","5","I think I semi-misread the graph for the first few questions until I was asked about ends of shifts and I realized how that represented, and then I think everything clicked into place. (But also I might have gotten the first few right anyway, I'm honestly not sure, I just know I didn't consciously fully understand how the graph worked until a couple questions in.) This was so interesting, thank you!","No.",16.0327833333333,"1","chrome","1280","720","online-replication","TRI","equilateral"
"JNM09","11111112","Orth-Equilateral","summer22","asynch","Female",42,"English",NA,"US","I tried my best on each question","4","3","2","I found it useful for start time and length but not breaks and end times.","No",11.48615,"1","chrome","1280","697","online-replication","ORTH","equilateral"
"350NF","11311112","Tri-Equilateral","summer22","asynch","Male",30,"English",NA,"United States","I tried my best on most questions","3","3","1","The coffee break times were really confusing","no",10.0263833333333,"3","chrome","1280","720","online-replication","TRI","equilateral"
"FBHZA","11311112","Tri-Equilateral","summer22","asynch","Male",25,"English",NA,"United States","I tried my best on each question","3","4","5","","No I don't.",25.5873,"1.5","chrome","1366","695","online-replication","TRI","equilateral"
"RR0NP","11311112","Tri-Equilateral","summer22","asynch","Female",47,"English",NA,"United States","I tried my best on each question","4","4","2","Almost at the end I realized the upper left to lower right axis showed the shifts end time but with out some type of additional visualization cue (bold line?) I found I needed to continue doing math for most of the questions.","I don't think so.",23.9325,"1","chrome","1920","937","online-replication","TRI","equilateral"
"66H6K","11111112","Orth-Equilateral","summer22","asynch","Female",33,"English",NA,"United States","I tried my best on each question","4","3","4","","No",15.3023666666667,"1","chrome","1195","748","online-replication","ORTH","equilateral"
"KG1XD","11311112","Tri-Equilateral","summer22","asynch","Male",51,"English",NA,"USA","I tried my best on each question","2","4","3","A bigger graphic would be nice :)","No.",13.7358,"1","chrome","1920","941","online-replication","TRI","equilateral"
"CKQ8J","11111112","Orth-Equilateral","summer22","asynch","Female",28,"English",NA,"US","I tried my best on each question","3","4","4","","no",11.0570666666667,"1","chrome","1536","722","online-replication","ORTH","equilateral"
"EMS03","11111112","Orth-Equilateral","summer22","asynch","Male",52,"English",NA,"United States","I tried my best on each question","3","4","3","The grids were difficult to navigate not having straight lines down to the time, so I sometimes dropped the mouse pointer down to line it up. Hopefully I got all the multiple choices questions correct.","No",15.2398166666667,"1","chrome","2752","1034","online-replication","ORTH","equilateral"
"9BLWS","11311112","Tri-Equilateral","summer22","asynch","Male",36,"English",NA,"USA","I tried my best on each question","4","1","3","maybe a bit more instructions on how to read the pyramid scheduling. ","no",8.34005,"1","chrome","1396","785","online-replication","TRI","equilateral"
"V82NP","11311112","Tri-Equilateral","summer22","asynch","Female",22,"English",NA,"USA","I tried my best on each question","3","4","4","","",6.63628333333333,"1","chrome","1366","768","online-replication","TRI","equilateral"
"TCJCD","11311112","Tri-Equilateral","summer22","asynch","Female",51,"English",NA,"USA","I tried my best on each question","3","3","5","I can't think of anything I might add here. Sorry.","No",16.5846333333333,"4","chrome","1440","707","online-replication","TRI","equilateral"
"35BO6","11111112","Orth-Equilateral","summer22","asynch","Male",26,"English",NA,"United States","I tried my best on each question","4","5","5","Very hard to read the schedule","",7.22048333333333,"1","chrome","1920","976","online-replication","ORTH","equilateral"
"YSHXL","11111112","Orth-Equilateral","summer22","asynch","Female",47,"English",NA,"USA","I tried my best on each question","5","2","3","I truly tried my best. Honest! But the graph was very difficult to follow. I could not understand it so some of my answers were guesses. Not because I didn't try hard, but because I truly did not understand.","Neurological - early onset cognitive decline",12.5915333333333,"3","chrome","1920","961","online-replication","ORTH","equilateral"
"5D438","11111112","Orth-Equilateral","summer22","asynch","Male",32,"English",NA,"US","I tried my best on each question","2","5","5","None","None",11.9236333333333,"1","chrome","1920","969","online-replication","ORTH","equilateral"
"K8UXV","11111112","Orth-Equilateral","summer22","asynch","Male",22,"English",NA,"United States","I tried my best on most questions","1","2","3","I was completely mistaken in the beginning of the task with start time and end time on the graph. This resulted in me getting a number of them wrong, it was a a bad oversight on my end. Apologies for the initial incorrect data, the last few should be correct. If I could redo the task I would, to prove more accurate results on my end. My apologies again, I hope my data still proves useful on this.  ","I do not ",27.22695,"4","chrome","2560","1297","online-replication","ORTH","equilateral"
"X2J7T","11311112","Tri-Equilateral","summer22","asynch","Female",25,"English",NA,"United States","I tried my best on each question","3","3","4","","",6.04848333333333,"1","chrome","1440","821","online-replication","TRI","equilateral"
"S1RTD","11311112","Tri-Equilateral","summer22","asynch","Female",38,"English",NA,"United States","I tried my best on each question","4","3","4","Nothing","No",8.2849,"2","chrome","1536","722","online-replication","TRI","equilateral"
"44H3S","11311112","Tri-Equilateral","summer22","asynch","Female",31,"English",NA,"United States","I tried my best on each question","5","1","4","I foudn the graph so hard to read and understand!","",7.33753333333333,"3.5","chrome","1536","754","online-replication","TRI","equilateral"
"DCKVC","11311112","Tri-Equilateral","summer22","asynch","Male",20,"English",NA,"United States","I tried my best on each question","2","4","4","I enjoyed how complex the chart was","No",26.5479166666667,"1","chrome","1536","873","online-replication","TRI","equilateral"
"6BK5K","11111112","Orth-Equilateral","summer22","asynch","Male",25,"English",NA,"USA","I tried my best on each question","2","4","4","I had a good time!","No.",38.4292,"2","chrome","1600","821","online-replication","ORTH","equilateral"
"GUQ7E","11111112","Orth-Equilateral","summer22","asynch","Female",47,"English",NA,"USA","I tried my best on each question","4","3","5","nothing","no",11.7361666666667,"1","chrome","1280","720","online-replication","ORTH","equilateral"
"GOHER","11311112","Tri-Equilateral","summer22","asynch","Female",24,"English",NA,"USA","I tried my best on each question","5","2","2","","N/A",4.70373333333333,"1","chrome","1536","714","online-replication","TRI","equilateral"
"7MO2B","11111112","Orth-Equilateral","summer22","asynch","Male",28,"English",NA,"United States","I tried my best on each question","4","3","5","N/A","No",18.1039,"3","chrome","1366","696","online-replication","ORTH","equilateral"
"9JE0Q","11311112","Tri-Equilateral","summer22","asynch","Female",49,"English",NA,"United States","I tried my best on each question","4","2","4","Explaining how the graph is read would have been helpful to try and keep information straight.","No",9.16256666666667,"1","chrome","1920","947","online-replication","TRI","equilateral"
"BMT62","11111112","Orth-Equilateral","summer22","asynch","Female",35,"English",NA,"United States","I tried my best on each question","3","5","4","That graph was tricky to read. I would def choose a different graph if I managed the schedule for acme. like one with bars on it. ","My reading conmprehinsion is a reason I double check all problems",38.2314,"1","chrome","1634","783","online-replication","ORTH","equilateral"
"1GLWL","11311112","Tri-Equilateral","summer22","asynch","Female",22,"English",NA,"United States","I tried my best on each question","3","4","4","","",10.0735166666667,"1","chrome","1920","969","online-replication","TRI","equilateral"
"L5J42","11111112","Orth-Equilateral","summer22","asynch","Male",42,"English",NA,"United States","I tried my best on each question","5","1","5","I really enjoyed it even though I don't think I did very well.","No",12.7474,"1","chrome","1920","937","online-replication","ORTH","equilateral"
