"subject","condition","term","mode","question","q","answer","correct","rt_s","response","num_o"
"R1K0J","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,17.823,"A ",2
"R1K0J","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,13.142,"E ",2
"R1K0J","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"A ",FALSE,18.6,"A ",2
"R1K0J","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"H ",FALSE,10.281,"H ",2
"R1K0J","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O ",FALSE,9.045,"O ",2
"R1K0J","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,25.047,"E G ",4
"R1K0J","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,9.604,"B F ",4
"R1K0J","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E ,G ",FALSE,38.517,"E G ",4
"R1K0J","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,14.931,"I ",2
"R1K0J","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"B ,E ",FALSE,7.633,"B E ",4
"R1K0J","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"L ,M ",FALSE,6.214,"L M ",4
"R1K0J","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"G ,P ",FALSE,7.601,"G P ",4
"R1K0J","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"E ,F ",FALSE,7.696,"E F ",4
"R1K0J","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"X ",FALSE,5.448,"X ",2
"R1K0J","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"K ,X ",FALSE,6.346,"K X ",4
"47G4D","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,76.363,"A ",2
"47G4D","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,10.658,"E ",2
"47G4D","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"Z ",FALSE,13.807,"Z ",2
"47G4D","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,11.212,"U ",2
"47G4D","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"",FALSE,37.111,"",0
"47G4D","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,4.52,"E G ",4
"47G4D","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,11.458,"B F ",4
"47G4D","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E ",FALSE,15.641,"E ",2
"47G4D","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,7.426,"I ",2
"47G4D","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"E ",FALSE,30.121,"E ",2
"47G4D","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"B ,F ",FALSE,9.565,"B F ",4
"47G4D","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ",FALSE,8.194,"B ",2
"47G4D","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"F ,X ",FALSE,19.514,"F X ",4
"47G4D","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"B ",FALSE,12.072,"B ",2
"47G4D","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"E ,F ",FALSE,15.245,"E F ",4
"FOMHO","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,19.237,"A ",2
"FOMHO","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,11.491,"E ",2
"FOMHO","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"Z ",FALSE,36.183,"Z ",2
"FOMHO","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,45.106,"U ",2
"FOMHO","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"H ",FALSE,61.658,"H ",2
"FOMHO","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,10.519,"E G ",4
"FOMHO","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,15.627,"B F ",4
"FOMHO","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E ",FALSE,46.052,"E ",2
"FOMHO","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,34.423,"I ",2
"FOMHO","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"M ",FALSE,48.898,"M ",2
"FOMHO","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"B ,F ",FALSE,11.644,"B F ",4
"FOMHO","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ",FALSE,6.281,"B ",2
"FOMHO","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"F ,X ",FALSE,39.925,"F X ",4
"FOMHO","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"B ",FALSE,26.781,"B ",2
"FOMHO","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"B ,F ",FALSE,13.814,"B F ",4
"GXAV1","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,15.668,"A ",2
"GXAV1","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,9.732,"E ",2
"GXAV1","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"Z ",FALSE,22.949,"Z ",2
"GXAV1","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,6.551,"U ",2
"GXAV1","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"",FALSE,63.103,"",0
"GXAV1","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,5.217,"E G ",4
"GXAV1","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,12.656,"B F ",4
"GXAV1","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"I ,J ",FALSE,35.662,"I J ",4
"GXAV1","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,9.593,"I ",2
"GXAV1","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"E ",FALSE,11.68,"E ",2
"GXAV1","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"M ",FALSE,4.417,"M ",2
"GXAV1","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ",FALSE,5.019,"B ",2
"GXAV1","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"F ",FALSE,24.364,"F ",2
"GXAV1","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"B ",FALSE,19.844,"B ",2
"GXAV1","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"E ,F ",FALSE,28.608,"E F ",4
"PTMPD","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,17.84,"A ",2
"PTMPD","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,14.594,"E ",2
"PTMPD","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"Z ",FALSE,20.344,"Z ",2
"PTMPD","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,62.789,"U ",2
"PTMPD","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"C ",FALSE,39.323,"C ",2
"PTMPD","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,8.952,"E G ",4
"PTMPD","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,22.692,"B F ",4
"PTMPD","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E ",FALSE,83.953,"E ",2
"PTMPD","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,25.558,"I ",2
"PTMPD","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"",FALSE,22.925,"",0
"PTMPD","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"B ,F ",FALSE,7.037,"B F ",4
"PTMPD","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ",FALSE,7.293,"B ",2
"PTMPD","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"F ,X ",FALSE,118.014,"F X ",4
"PTMPD","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"B ",FALSE,27.192,"B ",2
"PTMPD","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"B ,F ",FALSE,127.123,"B F ",4
"YV5WY","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,35.526,"A ",2
"YV5WY","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,12.717,"E ",2
"YV5WY","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"Z ",FALSE,8.36,"Z ",2
"YV5WY","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,48.404,"U ",2
"YV5WY","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"U ",FALSE,52.451,"U ",2
"YV5WY","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,5.489,"E G ",4
"YV5WY","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,10.531,"B F ",4
"YV5WY","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E ",FALSE,16.715,"E ",2
"YV5WY","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,13.959,"I ",2
"YV5WY","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"X ",FALSE,30.541,"X ",2
"YV5WY","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"B ,F ",FALSE,7.449,"B F ",4
"YV5WY","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ",FALSE,3.442,"B ",2
"YV5WY","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"F ,X ",FALSE,46.44,"F X ",4
"YV5WY","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"B ",FALSE,24.169,"B ",2
"YV5WY","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"E ,F ",FALSE,23.272,"E F ",4
"LNEF7","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,23.301,"A ",2
"LNEF7","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,9.354,"E ",2
"LNEF7","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"A ",FALSE,15.1,"A ",2
"LNEF7","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"H ",FALSE,21.591,"H ",2
"LNEF7","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"J ,H ,D ,E ",FALSE,44.878,"J H D E ",8
"LNEF7","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ,L ",FALSE,53.343,"E G L ",6
"LNEF7","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"O ,X ",FALSE,50.085,"O X ",4
"LNEF7","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"A ,K ",FALSE,36.038,"A K ",4
"LNEF7","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"E ",FALSE,16.595,"E ",2
"LNEF7","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"E ",FALSE,6.132,"E ",2
"LNEF7","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"L ,M ",FALSE,6.796,"L M ",4
"LNEF7","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"G ",FALSE,4.748,"G ",2
"LNEF7","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"E ,F ",FALSE,8.77,"E F ",4
"LNEF7","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"X ",FALSE,7.355,"X ",2
"LNEF7","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"K ,X ",FALSE,59.432,"K X ",4
"0A9WN","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,101.699,"A ",2
"0A9WN","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,13.319,"E ",2
"0A9WN","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"Z ",FALSE,35.113,"Z ",2
"0A9WN","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,70.131,"U ",2
"0A9WN","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"",FALSE,44.607,"",0
"0A9WN","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,29.162,"E G ",4
"0A9WN","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"O ,X ",FALSE,125.204,"O X ",4
"0A9WN","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"",FALSE,62.415,"",0
"0A9WN","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"E ",FALSE,18.568,"E ",2
"0A9WN","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"E ",FALSE,2.438,"E ",2
"0A9WN","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"E ",FALSE,3.189,"E ",2
"0A9WN","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"I ",FALSE,3.521,"I ",2
"0A9WN","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"E ,F ",FALSE,10.94,"E F ",4
"0A9WN","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"X ",FALSE,5.747,"X ",2
"0A9WN","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"C ",FALSE,9.32,"C ",2
"XV09T","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,20.411,"A ",2
"XV09T","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,16.651,"E ",2
"XV09T","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"B ",FALSE,30.555,"B ",2
"XV09T","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"C ",FALSE,39.278,"C ",2
"XV09T","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O ",FALSE,14.503,"O ",2
"XV09T","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,15.811,"E G ",4
"XV09T","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"D ,J ,N ,X ",FALSE,32.494,"D J N X ",8
"XV09T","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"J ",FALSE,22.648,"J ",2
"XV09T","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,17.68,"I ",2
"XV09T","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"B ",FALSE,7.503,"B ",2
"XV09T","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"B ,F ",FALSE,9.842,"B F ",4
"XV09T","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ",FALSE,7.212,"B ",2
"XV09T","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"I ,J ",FALSE,12.866,"I J ",4
"XV09T","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"O ",FALSE,28.601,"O ",2
"XV09T","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"M ",FALSE,8.674,"M ",2
"9Z01R","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"Z ",FALSE,108.09,"Z ",2
"9Z01R","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"C ,D ",FALSE,59.004,"C D ",4
"9Z01R","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"U ",FALSE,39.523,"U ",2
"9Z01R","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,47.182,"U ",2
"9Z01R","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"F ",FALSE,44.145,"F ",2
"9Z01R","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,12.339,"E G ",4
"9Z01R","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"O ,X ",FALSE,31.908,"O X ",4
"9Z01R","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E ",FALSE,27.996,"E ",2
"9Z01R","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"F ",FALSE,39.046,"F ",2
"9Z01R","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"B ",FALSE,13.758,"B ",2
"9Z01R","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"Z ,X ",FALSE,18.754,"Z X ",4
"9Z01R","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"",FALSE,67.302,"",0
"9Z01R","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"B ,F ",FALSE,35.217,"B F ",4
"9Z01R","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"",FALSE,31.597,"",0
"9Z01R","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"",FALSE,12.856,"",0
"F6QWV","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,13.829,"A ",2
"F6QWV","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,18.425,"E ",2
"F6QWV","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"Z ",FALSE,16.429,"Z ",2
"F6QWV","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,7.863,"U ",2
"F6QWV","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"C ",FALSE,27.922,"C ",2
"F6QWV","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,8.136,"E G ",4
"F6QWV","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,12.864,"B F ",4
"F6QWV","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"I ,J ",FALSE,36.119,"I J ",4
"F6QWV","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,14.241,"I ",2
"F6QWV","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"J ",FALSE,19.397,"J ",2
"F6QWV","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"B ,F ",FALSE,10.234,"B F ",4
"F6QWV","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ",FALSE,4.806,"B ",2
"F6QWV","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"X ",FALSE,19.281,"X ",2
"F6QWV","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"B ",FALSE,20.324,"B ",2
"F6QWV","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"B ,E ",FALSE,16.484,"B E ",4
"0AXM8","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,24.516,"A ",2
"0AXM8","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,9.968,"E ",2
"0AXM8","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"A ",FALSE,28.787,"A ",2
"0AXM8","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"D ,E ",FALSE,14.213,"D E ",4
"0AXM8","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"O ",FALSE,30.53,"O ",2
"0AXM8","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,28.64,"E G ",4
"0AXM8","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,19.577,"B F ",4
"0AXM8","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"O ",FALSE,126.223,"O ",2
"0AXM8","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,22.329,"I ",2
"0AXM8","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"Z ",FALSE,7.627,"Z ",2
"0AXM8","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"B ,F ",FALSE,15.81,"B F ",4
"0AXM8","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ",FALSE,5.082,"B ",2
"0AXM8","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"A ,G ",FALSE,91.507,"A G ",4
"0AXM8","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"O ",FALSE,87.003,"O ",2
"0AXM8","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"",FALSE,74.992,"",0
"S3JZD","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,28.349,"A ",2
"S3JZD","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,9.659,"E ",2
"S3JZD","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"Z ",FALSE,10.996,"Z ",2
"S3JZD","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,35.763,"U ",2
"S3JZD","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"H ,U ",FALSE,80.702,"H U ",4
"S3JZD","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,7.957,"E G ",4
"S3JZD","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,13.855,"B F ",4
"S3JZD","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E ",FALSE,33.499,"E ",2
"S3JZD","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,17.518,"I ",2
"S3JZD","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"X ",FALSE,21.346,"X ",2
"S3JZD","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"B ,F ",FALSE,6.522,"B F ",4
"S3JZD","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ",FALSE,4.774,"B ",2
"S3JZD","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"F ,X ",FALSE,25.393,"F X ",4
"S3JZD","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"O ",FALSE,70.99,"O ",2
"S3JZD","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"E ,F ",FALSE,38.5,"E F ",4
"XHMNM","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,8.801,"A ",2
"XHMNM","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,6.579,"E ",2
"XHMNM","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"A ",FALSE,8.134,"A ",2
"XHMNM","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"H ",FALSE,48.9,"H ",2
"XHMNM","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"X ",FALSE,153.978,"X ",2
"XHMNM","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,45.948,"E G ",4
"XHMNM","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,22.189,"B F ",4
"XHMNM","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E ",FALSE,47.721,"E ",2
"XHMNM","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,17.605,"I ",2
"XHMNM","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"",FALSE,249.502,"",0
"XHMNM","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"B ,F ",FALSE,9.363,"B F ",4
"XHMNM","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ",FALSE,4.788,"B ",2
"XHMNM","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"F ,X ",FALSE,31.032,"F X ",4
"XHMNM","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"B ",FALSE,28.664,"B ",2
"XHMNM","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"F ",FALSE,73.392,"F ",2
"UV0QH","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,40.561,"A ",2
"UV0QH","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,5.256,"E ",2
"UV0QH","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"Z ",FALSE,8.517,"Z ",2
"UV0QH","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,57.152,"U ",2
"UV0QH","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"U ",FALSE,57.475,"U ",2
"UV0QH","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,6.463,"E G ",4
"UV0QH","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,15.268,"B F ",4
"UV0QH","11115","winter22","asynch","Which shift(s) under 7 hours long starts before B starts, and ends after X ends?",8,"E ",FALSE,26.556,"E ",2
"UV0QH","11115","winter22","asynch","Which shift(s) begins before J begins and ends during B?",9,"I ",FALSE,17.372,"I ",2
"UV0QH","11115","winter22","asynch","Which shift(s) end at the same time as F?",10,"X ",FALSE,19.221,"X ",2
"UV0QH","11115","winter22","asynch","Which shift(s) start at 12pm?",11,"B ,F ",FALSE,5.832,"B F ",4
"UV0QH","11115","winter22","asynch","Which shift(s) start at the same time as F?",12,"B ",FALSE,10.249,"B ",2
"UV0QH","11115","winter22","asynch","Which 2 shifts end when Z begins?",13,"F ,X ",FALSE,39.219,"F X ",4
"UV0QH","11115","winter22","asynch","Which shift(s) end at 3pm?",14,"B ",FALSE,20.081,"B ",2
"UV0QH","11115","winter22","asynch","Coffee breaks happen halfway through a shift. </br>Which shifts share a break at 2pm?",15,"B ,E ",FALSE,37.73,"B E ",4
"T2MAH","11115","winter22","asynch","Which shift(s) start at 11 am?",1,"A ",FALSE,27.69,"A ",2
"T2MAH","11115","winter22","asynch","Which shift(s) start at the same time as D?",2,"E ",FALSE,9.297,"E ",2
"T2MAH","11115","winter22","asynch","Which shift(s) begin when C ends?",3,"Z ",FALSE,15.375,"Z ",2
"T2MAH","11115","winter22","asynch","Which shift(s) end at 4 pm?",4,"U ",FALSE,38.338,"U ",2
"T2MAH","11115","winter22","asynch","Coffee breaks happen halfway through a shift.</br> Which shift(s) share a break with I?",5,"U ",FALSE,105.741,"U ",2
"T2MAH","11115","winter22","asynch","Which shift(s) are six hours long?",6,"E ,G ",FALSE,7.902,"E G ",4
"T2MAH","11115","winter22","asynch","Which 2 shifts less than 5 hours long start at the same time?",7,"B ,F ",FALSE,12.854,"B F ",4
