"subject","study","condition","pretty_condition","session","exp_id","sona_id","pool","mode","attn_check","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","totaltime_m"
"M6Y4Z","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","630585f90861b070751c521d","62eec1ce0ae04f6129df1e94","prolific","asynch","FALSE","I tried my best on each question",4,3,3,"Nothing",19,"United States","English","Secondary School/Highschool","Math or Computer Sciences","Male","No","chrome",1600,770,"Windows 10","2022-08-24T04:09:22.361Z","success","summer22",1,5,7.60095
"K5DGU","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","6305bc183e587c9c646d5f33","6305b8d5ac4df0bfd1e5b335","prolific","asynch","TRUE","I tried my best on each question",5,4,3,"There was a typo on one of the questions, I can't remember, but there was one too many ""begins"" in the sentence.",28,"United States","English","Secondary School/Highschool","Math or Computer Sciences","Male","","chrome",1920,969,"Windows 10","2022-08-24T06:24:44.361Z","success","summer22",3.5,0,8.3616
"CZNHA","SGC4D","11311112","TRI-equilateral","suPROLIFIC","6305c006f42920bf5e5e3336","6104b1c50f6057c1d8a6e3a6","prolific","asynch","TRUE","I tried my best on each question",4,4,2,"none ",26,"USA","English","Graduate Degree","Biomedical & Health Sciences","Female","none","chrome",1280,689,"Mac OS","2022-08-24T18:03:50.054Z","success","summer22",1,11,11.9829333333333
"56OL3","SGC4D","11311112","TRI-equilateral","suPROLIFIC","6305c006f42920bf5e5e3336","5d7dcf8f366c9e001bd6ed73","prolific","asynch","TRUE","I tried my best on each question",4,3,2,"",32,"United States","English","Bachelors Degree","Fine Arts","Female","No","chrome",1728,1000,"Mac OS","2022-08-24T19:12:21.198Z","success","summer22",1,1,6.82225
"G7V3A","SGC4D","11311112","TRI-equilateral","suPROLIFIC","6305c006f42920bf5e5e3336","62fd7ee255d0c660dfafff5a","prolific","asynch","FALSE","I tried my best on each question",4,3,5,"",21,"United States","English","some college","Biomedical & Health Sciences","Other-Not Listed","","chrome",1280,800,"Mac OS","2022-08-24T18:48:51.893Z","success","summer22",1,10,6.02103333333333
"QXSGR","SGC4D","11311112","TRI-equilateral","suPROLIFIC","63058a8765a9341fb889e9f8","5f517f5efe32293c4b0fbdb0","prolific","asynch","TRUE","I tried my best on each question",2,4,4,"",49,"USA","English","Bachelors Degree","Social Sciences (incl. CogSci)","Female","","chrome",1536,722,"Windows 10","2022-08-24T03:00:30.798Z","success","summer22",1,12,11.8198333333333
"5GRSD","SGC4D","11311112","TRI-equilateral","suPROLIFIC","6305c006f42920bf5e5e3336","5e149c03864020aa6e1cf04d","prolific","asynch","TRUE","I tried my best on each question",3,3,2,"",40,"USA","English","Bachelors Degree","Social Sciences (incl. CogSci)","Male","n/a","chrome",1920,916,"Windows 10","2022-08-24T19:01:11.978Z","success","summer22",1,0,6.56236666666667
"UZ4K6","SGC4D","11111112","ORTH-equilateral","suPROLIFIC","6305bc183e587c9c646d5f33","59d8ae913e5ea00001e1d05f","prolific","asynch","TRUE","I tried my best on each question",3,5,5,"Nothing in particular. I gave the task my best effort.",33,"United States","English","some college","Natural Sciences","Male","None.","chrome",1360,768,"Windows 10","2022-08-24T07:39:29.850Z","success","summer22",2.5,0,20.7833333333333
"63CND","SGC4D","11311112","TRI-equilateral","suPROLIFIC","6305c006f42920bf5e5e3336","62fba37f3560a85b4eb94aac","prolific","asynch","TRUE","I tried my best on each question",4,4,5,"This was interesting, thank you",44,"USA","English","some college","Biomedical & Health Sciences","Male","NA","chrome",1281,927,"Windows 10","2022-08-24T18:41:24.998Z","success","summer22",3.5,0,13.78505
"FGO1E","SGC4D","11311112","TRI-equilateral","suPROLIFIC","6305c006f42920bf5e5e3336","62957302ad8c1756b553a298","prolific","asynch","TRUE","I tried my best on each question",4,2,4,"",57,"United States","English","Bachelors Degree","Natural Sciences","Male","","chrome",1433,693,"Mac OS","2022-08-24T19:45:28.894Z","success","summer22",1,0,14.9461333333333
