"subject","session","term","condition","ts_n","tt_n","triangular_score","os_n","ot_n","orthogonal_score","explicit","impasse","axis","triangular_time","totalTime","ts_t","tt_t","attn_check","native_language","year","major","country","sex","age"
"6Y93F","foxtrot","spring18","111",0,2,2,3,9,12,"1","1","Orthogonal-XInside-YFull",976754,1072340,389831,586923,1,"English","Fourth","Biomedical & Health Sciences","United States","Male",22
"H2N27","golf","spring18","121",2,1,3,0,2,2,"1","2","Orthogonal-XInside-YFull",277077,360666,124859,152218,1,"Mandarin or Cantonese","First","Social Sciences (incl. CogSci)","china\n","Male",20
"T5SHZ","hotel","spring18","121",4,9,13,0,2,2,"1","2","Orthogonal-XInside-YFull",626209,986945,273931,352278,1,"English","Other","Biomedical & Health Sciences","USA","Female",20
"S4G9E","tree","spring18","111",0,2,2,5,10,15,"1","1","full",377266,593948,143558,233708,1,"English","Fourth","Biomedical & Health Sciences","United States","Female",21
"G443Q","hotel","spring18","121",1,2,3,0,7,7,"1","2","Orthogonal-XInside-YFull",903411,1289655,439667,463744,1,"English","Third","Social Sciences (incl. CogSci)","US","Female",21
"UQWX4","alpha","spring18","111",0,2,2,5,10,15,"1","1","Orthogonal-XInside-YFull",621402,772952,256977,364425,1,"English","Other","Social Sciences (incl. CogSci)","United States of America","Male",23
"A9CZD","charlie","spring18","111",5,8,13,0,1,1,"1","1","Orthogonal-XInside-YFull",461754,708237,142386,319368,1,"Mandarin or Cantonese","Third","Humanities","USA","Female",20
"CC7G0","charlie","spring18","111",5,9,14,0,2,2,"1","1","Orthogonal-XInside-YFull",437569,659815,83459,354110,1,"Mandarin or Cantonese","Second","Social Sciences (incl. CogSci)","china","Female",19
"FSWW4","echo","spring18","121",2,8,10,0,2,2,"1","2","Orthogonal-XInside-YFull",937631,1142115,666280,271351,1,"Spanish","Second","Social Sciences (incl. CogSci)","USA","Female",20
"VT5BG","golf","spring18","121",3,8,11,0,2,2,"1","2","Orthogonal-XInside-YFull",527864,670274,215846,312018,1,"English","Second","Natural Sciences","USA","Female",19
"J2MPW","sox","spring18","121",4,10,14,0,2,2,"1","2","full",305013,443889,123462,181551,1,"English","Fourth","Social Sciences (incl. CogSci)","United States of America","Male",22
"B4LD9","fire","spring18","111",2,1,3,2,7,9,"1","1","full",477577,623572,163568,314009,1,"English","Fourth","Social Sciences (incl. CogSci)","USA","Male",21
"DM4T0","golf","spring18","121",2,4,6,0,6,6,"1","2","Orthogonal-XInside-YFull",739179,924413,359537,379642,1,"Mandarin or Cantonese","First","Social Sciences (incl. CogSci)","USA","Female",19
"UX4QZ","charlie","spring18","111",0,2,2,5,9,14,"1","1","Orthogonal-XInside-YFull",614493,864473,189166,425327,1,"English","Fifth","Social Sciences (incl. CogSci)","united states","Male",23
"8LK9M","hotel","spring18","121",4,8,12,0,1,1,"1","2","Orthogonal-XInside-YFull",373394,666165,143482,229912,1,"English","Fourth","Social Sciences (incl. CogSci)","Lebanon","Female",20
"QUCDX","heaven","spring18","111",0,2,2,5,9,14,"1","1","full",575891,695655,247222,328669,1,"Other","First","Social Sciences (incl. CogSci)","United States of America","Female",19
"39GMD","golf","spring18","121",0,2,2,0,8,8,"1","2","Orthogonal-XInside-YFull",528437,727046,244523,283914,1,"Other","Fifth","Social Sciences (incl. CogSci)","the Philippines","Female",25
"YP2FK","hotel","spring18","121",0,2,2,0,5,5,"1","2","Orthogonal-XInside-YFull",326751,670341,103890,222861,1,"English","Fifth","Social Sciences (incl. CogSci)","USA","Female",21
"OVZHS","fire","spring18","111",0,2,2,4,10,14,"1","1","full",610228,770971,211745,398483,1,"English","Fourth","Humanities","United States ","Female",22
"DD3DE","fire","spring18","111",0,2,2,5,9,14,"1","1","full",577155,722268,224743,352412,1,"English","Third","Biomedical & Health Sciences","United States ","Female",20
"1ZY3L","won","spring18","111",4,7,11,0,1,1,"1","1","full",435704,624044,190396,245308,1,"English","Third","Social Sciences (incl. CogSci)","usa","Male",20
"9BBMD","charlie","spring18","111",0,2,2,5,10,15,"1","1","Orthogonal-XInside-YFull",514205,637627,191154,323051,1,"English","Fourth","Natural Sciences","USA","Male",22
"HJ5O5","heaven","spring18","111",5,9,14,0,1,1,"1","1","full",436866,560785,157658,279208,1,"English","Second","Social Sciences (incl. CogSci)","USA","Male",20
"Q8EDD","charlie","spring18","111",0,2,2,3,10,13,"1","1","Orthogonal-XInside-YFull",545606,726315,213281,332325,1,"English","First","Social Sciences (incl. CogSci)","United States","Female",18
"AFQCB","hotel","spring18","121",1,2,3,0,10,10,"1","2","Orthogonal-XInside-YFull",708170,1054486,410747,297423,1,"English","First","Biomedical & Health Sciences","United States of America","Male",18
