"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_condition","pretty_mode","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"LZSME","221","fall21","asynch","Female",19,"Mandarin or Cantonese","Second","China","NULL","NULL","NULL","NULL","NULL","NULL",34.25765,"NULL","NULL","NULL","NULL","img-impasse","online-replication",10.9333333333333,-0.0802521008403361,7.17307692307692,0.697802197802198,0,10,11,10,0.846153846153846,5.36575,24.765,7.589,58.627,11,0,0,0,2,0,2,0,1,1,"Triangular",42.324,1,1,"Triangular",58.627,1,"Triangular",37.382,1,"Triangular",20.28,5,5,2.68953333333333,6,5,2.67621666666667
"M1REU","111","fall17","lab-synch","Male",22,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.8817666666667,"NULL","NULL","NULL","NULL","none-control","laboratory",13,-0.540508511096746,8.08974358974359,0,0,13,13,13,1,8.76433333333333,40.4507692307692,11.016,126.993,13,0,0,0,0,0,0,0,1,1,"Triangular",71.453,1,1,"Triangular",44.82,1,"Triangular",59.71,1,"Triangular",40.241,5,5,3.29831666666667,8,8,5.46601666666667
"M53XH","321","fall21","asynch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.6962,"NULL","NULL","NULL","NULL","ixv-impasse","online-replication",1.73554460245637,5.40416666666667,2.08816795949149,2.17948717948718,0,2,2,-6,0.153846153846154,5.5875,25.7884615384615,7.888,59.857,2,5,1,2,3,1,3,0,0,-1,"Satisfice",28.884,0,-0.5,"?",29.897,0,"frenzy",43.724,0,"Orthogonal",22.996,0,-2.5,2.40453333333333,2,-3.5,3.18296666666667
"M675E","121","fall17","lab-synch","Female",21,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",9.05926666666667,"NULL","NULL","NULL","NULL","none-impasse","laboratory",12,-0.213585434173669,6.50641025641026,0.769230769230769,0,12,12,12,0.923076923076923,6.21075,28.665,10.559,62.392,12,0,0,0,1,0,0,1,0,0,"blank",25.885,1,1,"Triangular",15.895,1,"Triangular",45.576,1,"Triangular",11.685,4,4,2.63448333333333,8,8,3.57626666666667
"M6DP5","321","fall17","lab-synch","Female",22,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.34896666666667,"NULL","NULL","NULL","NULL","ixv-impasse","laboratory",13,-0.213585434173669,7.50641025641026,0.697802197802198,0,13,13,13,1,4.17041666666667,19.2480769230769,6.115,44.697,13,0,0,0,0,0,0,0,1,1,"Triangular",44.697,1,1,"Triangular",16.21,1,"Triangular",26.495,1,"Triangular",15.896,5,5,1.78778333333333,8,8,2.38263333333333
"MABX4","121","fall17","lab-synch","Male",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.72021666666667,"NULL","NULL","NULL","NULL","none-impasse","laboratory",11.7202380952381,-0.213585434173669,6.92307692307692,0.549450549450549,0,10,10,11.5,0.769230769230769,4.87148333333333,22.4837692307692,8.622,41.058,10,0,3,0,0,3,0,0,0,0.5,"Tversky",33.241,1,1,"Triangular",38.651,0,"Tversky",22.816,1,"Triangular",12.38,3,4,2.54896666666667,7,7.5,2.32251666666667
"MCVE6","311","spring18","lab-synch","Female",21,"English","Fourth","U.S","NULL","NULL","NULL","NULL","NULL","NULL",9.35703333333333,"NULL","NULL","NULL","NULL","ixv-control","laboratory",8.64391025641026,1.40889625080802,6.45581501831502,0,0,8,8,6.5,0.615384615384615,3.97868333333333,18.3631538461538,6.875,39.912,8,2,2,0,1,2,1,0,0,-1,"Orthogonal",39.284,1,1,"Triangular",24.116,1,"Triangular",34.067,1,"Triangular",11.586,2,0.5,1.81668333333333,6,6,2.162
"MKTF4","211","spring18","lab-synch","Male",22,"English","Fourth","U.S","NULL","NULL","NULL","NULL","NULL","NULL",19.7503,"NULL","NULL","NULL","NULL","img-control","laboratory",12.9375,-0.68409825468649,7.95714285714286,0,0,11,13,13,1,11.8493333333333,54.6892307692308,8.411,272.069,13,0,0,0,0,0,0,0,1,1,"Triangular",61.289,1,1,"Triangular",126.413,1,"Triangular",45.173,1,"Triangular",272.069,5,5,4.49425,8,8,7.35508333333333
"MOWH2","121","spring18","lab-synch","Female",21,"English","Second","Sri Lanka","NULL","NULL","NULL","NULL","NULL","NULL",17.93165,"NULL","NULL","NULL","NULL","none-impasse","laboratory",-0.0316849816849817,5,-0.279761904761905,0.833333333333333,0,0,0,-6.5,0,14.3712,66.3286153846154,7.879,206.517,0,5,0,1,7,0,1,6,0,0,"blank",82.631,0,-0.5,"?",206.517,0,"blank",30.654,0,"blank",7.879,0,-1.5,9.35278333333333,0,-5,5.01841666666667
"MRZ30","211","summer22","asynch","Female",22,"English",NA,"USA","I tried my best on each question","4","3","3","I feel like I misread the graph/got confused during the first few questions but then I understood how to interpret it correctly. ","",9.56421666666667,"2.5","chrome","1440","716","img-control","online-replication",9.83974358974359,2.62615815556992,5.44139194139194,0,0,10,10,7,0.769230769230769,5.33048333333333,24.6022307692308,6.257,53.509,10,3,0,0,0,0,0,0,0,-1,"Orthogonal",15.215,1,1,"Triangular",53.509,1,"Triangular",43.108,1,"Triangular",13.088,2,-1,2.28413333333333,8,8,3.04635
"MUULG","211","spring18","lab-synch","Female",19,"Mandarin or Cantonese","First","China","NULL","NULL","NULL","NULL","NULL","NULL",12.04845,"NULL","NULL","NULL","NULL","img-control","laboratory",11.7666666666667,-0.740508511096746,7.92307692307692,0,0,11,11,11.5,0.846153846153846,5.16633333333333,23.8446153846154,6.351,77.832,12,0,0,0,1,0,1,0,1,1,"Triangular",20.998,1,1,"Triangular",18.745,1,"Triangular",26.628,1,"Triangular",16.034,4,5,2.95795,7,6.5,2.20838333333333
"N2UK6","111","fall17","lab-synch","Female",22,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.9894333333333,"NULL","NULL","NULL","NULL","none-control","laboratory",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,8.9022,41.0870769230769,6.366,117.3,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",52.247,0,-1,"Orthogonal",117.3,0,"Orthogonal",24.905,0,"Orthogonal",80.04,0,-5,4.54191666666667,0,-8,4.36028333333333
"N53LC","111","fall17","lab-synch","Female",21,"English","Fourth","US","NULL","NULL","NULL","NULL","NULL","NULL",12.2737666666667,"NULL","NULL","NULL","NULL","none-control","laboratory",-0.605660026248262,12.9230769230769,-0.229584141348847,0,0,0,0,-13,0,8.58373333333333,39.6172307692308,7.287,143.273,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",16.928,0,-1,"Orthogonal",143.273,0,"Orthogonal",28.393,0,"Orthogonal",49.322,0,-5,4.14538333333333,0,-8,4.43835
"N7ZGQ","321","summer22","asynch","Male",18,"English",NA,"United States","I tried my best on each question","1","5","2","","no",4.1209,"2","chrome","1440","788","ixv-impasse","online-replication",11.875,-0.213585434173669,7.50641025641026,0.697802197802198,0,12,12,12.5,0.923076923076923,2.11943333333333,9.782,5.051,20.089,12,0,1,0,0,1,0,0,1,1,"Triangular",10.285,1,1,"Triangular",6.088,0,"Tversky",11.627,1,"Triangular",9.391,5,5,0.707683333333333,7,7.5,1.41175
"N8EYG","211","fall17","lab-synch","Male",21,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",10.22045,"NULL","NULL","NULL","NULL","img-control","laboratory",1.64342006033182,7.09222958414135,0.410754686489981,0,0,2,2,-7,0.153846153846154,6.96193333333333,32.132,8.199,60.217,2,8,0,0,3,0,2,1,0,-1,"Orthogonal",24.931,1,1,"Triangular",32.994,0,"Orthogonal",28.856,0,"Orthogonal",21.772,1,-2,2.48568333333333,1,-5,4.47625
"NL1H0","311","fall17","lab-synch","Female",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.0224166666667,"NULL","NULL","NULL","NULL","ixv-control","laboratory",11.875,0.592824822236587,6.96474358974359,0,0,12,12,11,0.923076923076923,5.46131666666667,25.2060769230769,6.216,67.176,12,1,0,0,0,0,0,0,1,1,"Triangular",56.939,1,1,"Triangular",41.252,0,"Orthogonal",21.022,1,"Triangular",19.505,5,5,2.73163333333333,7,6,2.72968333333333
